Gene	Brain_Male2	Ovary_Female1	Ovary_Female2	Placenta_Indiv1	Placenta_Indiv2	Placenta_Indiv3	Testis_Male3
ENSMODG00000000519	0.16	0	0	0	0	0	532.68
ENSMODG00000015859	174.91	3.02	3.15	0.86	0.5	0.49	31.61
ENSMODG00000003982	0.53	0.37	0.63	3.47	9.67	4.32	0.02
Locus_314663	0	0	0	0	0	0	0.76
Locus_87254	2	0	0	0	0	0	0
ENSMODG00000021281	0	0.84	1.33	1.4	1.07	1.43	3.5
ENSMODG00000003096	307.36	773.27	772.55	323.6	893.8	632.89	66.04
ENSMODG00000001665	27.81	17	57.5	28.25	174.43	120.65	73.26
ENSMODG00000008516	147.2	9.88	8.52	4.98	1.22	4.1	9.51
ENSMODG00000017677	7.43	13.27	10.42	0.23	1.53	3.85	0.75
ENSMODG00000014906	1.12	0.39	0.36	0.06	0.02	0.04	0.09
ENSMODG00000023772	0	0	0	0	0.25	0	0
ENSMODG00000013994	8.51	13.7	17.18	13.57	27.23	14.24	52.23
Locus_313776	0	0	0	0	0	0	1.14
Locus_122094	0.05	0	0.02	0	0	0	15.57
ENSMODG00000008664	6.43	4.49	2.17	2.32	3.42	2.74	2.13
ENSMODG00000013714	0	0	0	0	0	0	0.21
ENSMODG00000022657	0	0	0	0	0	0	0
ENSMODG00000010431	8.65	19.07	41.88	28.83	101.65	29.84	23.13
ENSMODG00000023514	0	0	0	0	0	0	0
Locus_313552	0	0	0	0	0	0	3.77
ENSMODG00000020570	33.51	6.41	1.87	9.2	2.12	2.69	11.45
ENSMODG00000025386	3.53	2.55	2.49	2.67	0.77	2.8	3.9
ENSMODG00000006961	15.78	12.37	37.46	19.53	130.35	49.95	4.91
CUFF.302426	0.19	0.13	0.21	0	0	0	0.09
ENSMODG00000004970	20.72	60.3	17.28	34.65	15.85	21.72	26.74
ENSMODG00000009563	21.9	22.56	19.44	53.95	7.31	34.46	33.5
ENSMODG00000002898	4.83	1.52	1.28	0.29	0.7	0.54	4.7
ENSMODG00000011111	29.81	31.27	18.07	25.27	12.38	20.07	3.76
Locus_34319	0	1.96	2.21	0	0	0	0
Locus_418953	0	0.01	0.01	0	0	0	8.45
ENSMODG00000009294	0.33	13.97	13.74	0.47	3.17	1.32	0.32
ENSMODG00000024363	0	0	0	0	0	0	0
ENSMODG00000024141	2.75	10.5	14.32	25.23	38.82	22.74	4.8
Locus_32560	0.13	0.25	0.48	0.11	0.42	0.16	0.64
blastnXenopus.Locus_157133	0	0	0	0	0	0	0
Locus_230291	0	0	0	0	0	0	7.57
Locus_230658	0	0	0	0	0	0	0.81
ENSMODG00000009001	280.18	79.37	23.32	158.96	28.04	40.94	887.23
Locus_121250	0	0	0	0	0	0	0
Locus_34281	0	0.23	0.04	0	0	0	0
ENSMODG00000020371	0.23	14.39	4.98	0.52	0	0.09	37.43
blastnPan.Locus_177717	0	0	0	0	0	0	0
ENSMODG00000015716	112.28	72.58	20.61	67.35	22.9	13.09	78.06
ENSMODG00000018345	8.04	7.26	9.51	7.17	19.46	13.85	4.79
Locus_376795	0.17	0.04	0	0.07	0	0	0.49
blastnHuman.ENSG00000237359	0	0	0	0	0	0	0
ENSMODG00000011408	18.64	14.08	19.22	9.5	25.9	14.94	5.06
ENSMODG00000012231	2.85	0.01	0.01	0.11	0.11	0.69	0
ENSMODG00000019755	58.76	44.72	41.97	156.92	167.27	117.88	88.42
ENSMODG00000023698	0	0	0	0	0	0	0
ENSMODG00000011236	248.39	62.34	21.29	124.97	28.57	52.18	142.43
ENSMODG00000006058	20.97	14.36	15.57	55.54	115.37	56	11.82
Locus_90333	0	0	0	0	0	0	0.98
ENSMODG00000015117	3.66	8.82	14.47	9.2	43.97	21.75	18.01
ENSMODG00000017873	18.86	27.08	25.49	6.68	15.87	8.27	33.77
ENSMODG00000008051	0	0.26	0.23	0.07	0	0	73.87
ENSMODG00000019265	1.19	0.24	0.56	0	0.18	0.4	1.65
Locus_316959	0	0	0	0	0	0	16.29
Locus_376115	0	0	0	0	0	0	1
ENSMODG00000007677	5.42	10.1	5.12	5.82	5.57	6.05	4.76
ENSMODG00000025338	18.99	0	0	0	0	0	0
Locus_420456	0	0	0	0	0	0	0.16
Locus_322472	0	0.34	0	0.61	0	0	0.17
ENSMODG00000008210	0.35	1.45	1.19	0.52	0.67	0.36	1.48
ENSMODG00000017561	37.33	0.54	0.59	0.19	0.71	0.1	0.15
Locus_322854	0	0	0	0	0	0	1.22
ENSMODG00000008912	15.49	2.22	3.5	23.87	54.72	55.2	6.7
Locus_318194	0	0	0.15	0	0	0	0.59
ENSMODG00000017891	0.08	0.24	0.15	0	0.17	0	0.16
ENSMODG00000019189	34.44	15.06	11.6	27.11	10.62	17.35	12.06
ENSMODG00000006466	0.2	0.87	1.4	0.43	0.53	0.24	0.3
ENSMODG00000023786	0	0	0	0	0.11	0.26	0.1
Locus_35432	0	1.95	0.62	0	0	0	0
ENSMODG00000000085	0.07	0.16	0	8.17	1.05	5.09	0
Locus_390830	0	0	0	0	0	0	1.13
ENSMODG00000006037	2.72	3.63	1.88	2.88	2.92	1.23	5.07
Locus_35189	0	1.91	0	0	0	0	1.42
ENSMODG00000016749	0.4	1.48	1.68	24.37	13.21	0.36	596.49
Locus_92070	0	0	0	0	0	0	1.08
ENSMODG00000023456	0.32	0.76	0.94	0.32	0.12	0.24	0.77
ENSMODG00000011160	26.48	37.33	20.52	11.97	16.13	6.03	645.03
ENSMODG00000024251	0	0	0	0	0	0	0
Locus_418744	0	0	0	0	0	0	9.59
ENSMODG00000019775	10.44	12.44	11.01	12.64	12.65	8.69	12.87
Locus_322341	0	0	0.08	0	0	0	0.76
ENSMODG00000013690	0.2	0.24	0.11	0.08	0.21	0	28.61
ENSMODG00000006852	0.61	6.52	4.86	0.76	1.5	0.67	12.63
Locus_91381	0	0	0	0	0	0	0.24
Locus_315563	0	2.39	0.61	0.24	0	0	0.27
ENSMODG00000011099	4.55	1.27	10	6.72	58.45	12.93	0.52
ENSMODG00000006295	0.28	2.24	1.43	0.3	0.07	0.25	0.41
ENSMODG00000025083	0.4	1.29	1.47	1.37	1.7	1.11	35.54
ENSMODG00000003058	0	0.07	0.11	9.35	18.45	11.17	0.38
ENSMODG00000024835	0	0	0	0	0	0	0
ENSMODG00000020423	0.5	6.11	2.45	1.48	0.07	0.81	2.69
ENSMODG00000023734	5.09	17.41	10.6	9	3.18	6.32	14.21
ENSMODG00000011187	0	16.68	10.75	0.03	0	0	8.25
Locus_373897	0	0	0	0	0	0	1.8
ENSMODG00000007955	0	0.36	0.69	0.08	0	0	0
ENSMODG00000010232	157.84	117.62	27.75	97.36	63.94	30.38	37.12
ENSMODG00000009598	0	5.38	15.22	1.09	1.8	1.85	1.8
ENSMODG00000009505	0	0	0.17	0.08	0.1	0	70.38
ENSMODG00000003130	0.9	0	0.04	0	0	0	0
ENSMODG00000001162	8.05	11.08	14.68	10.99	11.33	19.24	6.81
Locus_88478	0	0	0	0	0	0	8.79
ENSMODG00000010282	3.45	5.64	3.58	4.71	0.48	1.72	38.21
Locus_86620	0	0	0.2	0.23	0	0	1.97
ENSMODG00000009432	0	0.11	0.04	0	0	0	0.06
blastnHuman.ENSG00000248319	0.74	0	0	0	0.78	0	0.36
ENSMODG00000002997	1.14	0.24	0.12	0.16	0.47	0.15	0.03
ENSMODG00000013450	0.54	0.17	0.19	0.3	5.08	0	0.09
Locus_33885	0	0	0	0	0	0	5.41
blastnPlatypus.Locus_31004	0	0	0	0	0	0	0
Locus_92595	0	0	0	0	0	0	1.27
ENSMODG00000005165	0.23	6.58	4.76	0.6	0	0.55	6.45
blastnPan.Locus_82508	0	0	0.23	0	1.31	0.73	0.3
ENSMODG00000003753	1.67	4.93	2.94	8.63	1.63	2.89	0.36
Locus_418653	0.19	0	0	0.16	0.2	0	1.01
ENSMODG00000008593	0.28	1.44	0.23	0.11	0.11	0.24	0.05
ENSMODG00000017789	7.78	14.47	18.91	76.89	54.13	64.21	25.46
blastnPan.Locus_177260	0	0	0	0	0	0	0
ENSMODG00000007877	0	0	0	0	0	0	0
ENSMODG00000019039	75.35	172.98	57.48	71.57	36.69	19.69	406.74
Locus_321854	0	0.81	0	0.96	0	0.33	0.41
ENSMODG00000005476	30.74	18.89	30.95	35.68	109.36	64.22	9.06
ENSMODG00000024099	0	0	0	0	0	0	119.87
Locus_419432	0	0	0	0	0	0	1.68
ENSMODG00000013397	235.77	62.83	418.3	221.27	3637.17	1633.7	20.66
ENSMODG00000003739	0.18	2.27	2.29	3.73	1.86	4.32	0.09
ENSMODG00000019051	23.98	0.07	0.11	0	0	0	3.6
ENSMODG00000002356	117.52	163.02	41.31	172.77	87.94	51.59	554.11
ENSMODG00000005972	0	0.32	0.79	0	0.04	0	98.65
ENSMODG00000016245	0	0	0	0	0	0	0
Locus_320830	0.14	0	0	0	0	0	4.58
ENSMODG00000018035	0.23	0	0.06	0.71	0.24	1.45	0.82
ENSMODG00000003977	58.52	42.95	57.2	10.27	5.44	8.12	23.48
ENSMODG00000007234	0	0	0	0	0	0	0
ENSMODG00000013559	4.96	4.07	4.69	2.19	0.63	2.31	1.62
blastnMacaque.Locus_190093	0	0	0	0	0	0	0
ENSMODG00000009920	0.05	7.52	3.19	5.21	3	3.05	0.26
ENSMODG00000024576	0	0	0	0	0	0	0
ENSMODG00000001008	17.64	112.51	132.78	31.86	70.67	35.31	60.7
ENSMODG00000017242	0.06	0.5	1.49	0.26	1.09	0.58	0.03
ENSMODG00000013676	15.54	32.52	23.67	28.04	70.66	23.55	120.9
ENSMODG00000023945	45.7	79.25	35.95	16.16	17.36	36.61	4142.86
ENSMODG00000008978	28.98	34.1	11.88	27.51	12.04	13.72	12.45
ENSMODG00000001154	0.02	0.04	0.04	0.34	0.34	3.11	0.02
ENSMODG00000010101	0	0	0	0	0	0	0
ENSMODG00000011746	0.18	1.48	1.47	0.7	0.35	1.15	2.75
ENSMODG00000020821	20.98	1.26	1.63	0.41	1.65	0.46	2.55
ENSMODG00000007067	86.14	30.69	34.9	52.1	79.77	56.23	54.27
ENSMODG00000009488	59.77	53.45	11.67	76.88	10.87	20.42	66.56
ENSMODG00000016513	17.35	4.01	4.48	4.25	12.56	3.27	2.1
ENSMODG00000006346	38.01	55.35	24.4	37.36	28.17	15.03	84.41
ENSMODG00000023272	0.57	0.03	0.05	0	0	0	1668.15
ENSMODG00000016846	0.06	0.03	0	0	0	0	0
ENSMODG00000021156	28.78	0.87	0.32	0.21	0.07	0.07	100.62
ENSMODG00000020085	31.79	36.51	18.37	42.5	56.94	19.57	12.7
ENSMODG00000002113	1.25	122.8	108.99	53.44	116.27	82.05	0.34
ENSMODG00000021244	1.83	2.54	1.67	4.44	0.94	7.53	5.92
ENSMODG00000011216	2.69	8.75	20.75	5.46	7.97	8.82	1.71
ENSMODG00000017195	1.55	3.92	2.67	3.55	3.25	2.55	3
ENSMODG00000020271	4.42	0.55	0.31	0	0	0.37	22.65
ENSMODG00000000984	3.49	7.21	14.19	5.12	10.61	6.07	8.17
ENSMODG00000016814	0.38	0.21	0.65	0.46	0.17	0.45	0.18
ENSMODG00000011417	0.2	0.24	1.76	0.92	0.52	0.82	0.62
Locus_192526	0.47	0	0.17	0.79	0	0.55	0
ENSMODG00000002923	0.23	0	0	0	0	0	0.11
ENSMODG00000018193	1.14	0.37	0.13	2.11	0.82	0.43	31.37
ENSMODG00000015687	0.29	0.27	0.1	0.24	0.91	2.03	17.22
ENSMODG00000011030	27.35	1.1	0.46	0.07	0	0	3.13
Locus_314215	0	0.2	0.05	1.05	0.43	0.81	0.07
Locus_88446	0	0	0	0.29	0	0	6.7
Locus_32380	0	0.12	1.42	0.22	0.55	0.31	0.25
ENSMODG00000019688	23.34	16.96	26.33	42.31	61.83	56.4	158.26
ENSMODG00000016037	39.26	25.37	31.01	22.24	73.21	36.08	16.76
Locus_88535	0	0	0	0	0	0	0.67
ENSMODG00000013039	122.98	116.15	30.14	64.13	17.21	23.83	71.32
ENSMODG00000015921	13.5	16.56	23.6	13.31	64.19	24.95	9.35
ENSMODG00000010145	2.03	113.02	61.86	45	16.62	50.74	6.47
ENSMODG00000019076	0	0.21	0.05	0.38	0	0	1.16
ENSMODG00000009573	0	0	0	0.06	0.08	0	0.46
ENSMODG00000016110	11.21	7.56	6.59	8.13	7.41	10.6	13.34
ENSMODG00000014030	0	0	0	0	0	0	0.05
ENSMODG00000011603	9.48	10.04	7.31	13.22	10.86	11.58	1.99
ENSMODG00000004472	21.53	6.26	8.54	64.33	152.37	140.42	9.44
ENSMODG00000017822	6.26	8.18	8.49	0.57	3.04	2.28	38.38
ENSMODG00000004113	0	0.05	0.06	0.01	0	0.01	2.17
ENSMODG00000015392	7.31	5.06	3.71	3.45	3.82	3.38	8.57
CUFF.188238	0.18	0.09	0.11	0	0	0	1.59
ENSMODG00000000354	1.36	62.85	12.52	6.13	4.06	1.04	129.71
Locus_418328	0	0.17	0	0.59	0	0.82	0.34
Locus_33455	0	0	0	0	0	0	2.13
ENSMODG00000004686	0.64	1.57	1.98	0.5	2.38	0.74	0.33
ENSMODG00000020353	162	86.57	61.54	81.91	75.56	54.46	143.48
Locus_188309	0	0	0	0	0	0	1.63
Locus_377015	0	0.11	0.22	0	0	0	5.22
ENSMODG00000015259	14.98	22.52	19.94	24.66	22.82	31.41	11.68
ENSMODG00000005950	57.42	667.63	439.54	244.27	154.63	145.02	3.37
Locus_375379	0	0	0	0	0	0	1.22
Locus_33560	0	0	0	0	0	0	0.38
Locus_420460	0	0	0	0	0	0	0.29
ENSMODG00000005934	1.8	5.7	10.16	45.61	30.07	24.94	0.19
ENSMODG00000003144	0	0.62	0.75	0	0	0	0.36
ENSMODG00000014191	305.48	137.8	115.84	248.22	421.12	308.32	582.78
ENSMODG00000013210	0.09	0.21	0.33	0	0	0	0.02
ENSMODG00000007358	0	0.07	0	0.42	0	0	0.14
ENSMODG00000016298	3.16	31.6	10.48	0.49	1.29	1.56	3.3
ENSMODG00000014742	254.25	87.9	69.38	24.6	22.74	18.01	46.98
ENSMODG00000001374	22.24	18.38	14.45	13.01	13.39	7.89	51.71
ENSMODG00000011455	8.5	5.08	12.5	10.59	29.14	18.43	2.36
ENSMODG00000025559	0	0.21	0.06	24.67	1.4	14.69	2.84
Locus_90267	0	0.2	0	0	0	0	0.2
ENSMODG00000007411	5.68	6.33	6.57	3.22	3.68	5.18	5.56
Locus_376751	0	0	0	0	0	0	3.33
ENSMODG00000018017	0	0.15	0.22	0.47	0.25	0.24	3.09
ENSMODG00000000457	21.15	69.12	211.59	337.45	522.32	1241.72	28.47
ENSMODG00000002781	0.04	0.59	1.07	0.09	0.04	0.21	1.94
ENSMODG00000003255	16.56	18.79	41.65	53.79	524.91	253.54	22.46
ENSMODG00000004851	2.15	5.45	2.92	10.53	3.84	9.04	13.65
Locus_33524	1.43	0.23	0.06	0.27	0	0.19	0
Locus_89997	0.3	1	0.87	0.25	0	0	7.66
Locus_91644	0	0	0	0	0	0	0.91
ENSMODG00000004609	17.22	0.11	0.81	0.3	3.43	0.27	0.06
ENSMODG00000018338	5.49	6.16	8	15.77	19.25	19.92	15.07
Locus_230028	0	0	0	0	0	0	12.16
Locus_33214	0	0.88	1.35	0	0	0	0
ENSMODG00000012090	7.21	22.99	18.69	16.07	7.8	21.74	1.93
Locus_315959	0.11	0	0.17	0	0	0	12.2
ENSMODG00000019519	16.36	17.44	7.35	16.03	15.68	12.89	3.72
Locus_320236	0	0	0	0.14	0	0	2.19
ENSMODG00000001726	22.12	28.28	19.22	15.07	12.09	11.59	25.5
CUFF.276209	0	0	0	1.52	0	0	5.63
Locus_120542	0.12	0.09	0.26	0	0.13	0	0.06
ENSMODG00000013537	0	0	0	0	0	0	1.03
Locus_231402	0	0	0	0	0	0	0.44
Locus_375479	0	0.12	0	3.3	0	6.22	0
blastnMouse.Locus_6476	0.79	0	0	0	0	0	0
Locus_231471	0	0	0	0.04	0	0.05	8.99
ENSMODG00000019920	16.4	32.25	21.05	7.86	8.68	1.75	118.29
ENSMODG00000012753	1	12.63	10.66	14.11	9.4	16.71	19.57
ENSMODG00000008067	4.14	8.24	6.61	7.77	3.24	10.19	5
ENSMODG00000000139	10.64	14.29	12.67	11.32	2.37	6.13	9.73
ENSMODG00000018749	0.58	0.96	0.79	1.91	1.53	0.81	0.38
ENSMODG00000004755	1.7	2.49	3.5	2.85	2.09	7.6	28.6
Locus_99399	0.09	0.61	0.38	0.48	1.2	1.29	0.39
Locus_375189	0.8	0.57	0	0.34	0	0	0.39
ENSMODG00000006154	0	0.05	0	0	0	0	0
Locus_313368	1.64	0.39	0.26	0.09	0.65	0	0.15
Locus_314103	2.99	0.09	0	0	0	0	2.54
ENSMODG00000025731	3	2.69	4.54	2.01	3.83	2.15	4.19
ENSMODG00000016606	32.15	16.22	20.41	29.4	100.35	39.44	11.58
ENSMODG00000007334	1.29	0.61	0.6	0.53	0.34	0.51	2.23
Locus_373968	0	0	0.16	0	0	0	0.21
ENSMODG00000019843	1.47	3.17	10.22	3.81	18.57	9.68	1.42
ENSMODG00000014346	14.46	8.38	7.48	4.52	3.27	6.64	27.49
ENSMODG00000014012	1.55	0.16	0.05	5.83	6.1	3.74	0.03
blastnPlatypus.Locus_14486	0	0	0	0	0	0	0
blastnHuman.ENSG00000250033	0	0	0	0	0	0	0
ENSMODG00000014626	0.22	2.16	306.79	0	0	0.08	0
blastnHuman.ENSG00000251619	0	0	0	0	0	0	0
ENSMODG00000006289	70.65	20.95	112.29	812.02	3914.21	3097.91	20.67
ENSMODG00000020599	40.28	44.81	89.76	133.91	325.85	579.52	26.87
ENSMODG00000010210	14.95	8.92	18.95	10.04	114.54	26.86	17.61
Locus_322212	0	0	0	0	0	0	9.96
ENSMODG00000006768	1.7	5.26	3.95	25.86	15.97	13.87	6.08
ENSMODG00000020116	11.9	34.7	34.29	47.61	49.98	65.32	10.19
Locus_229887	0	0	0	0	0	0	0.16
ENSMODG00000011211	10.84	19.63	20.42	43.49	26.14	34.05	49.44
ENSMODG00000009061	4.62	8.59	15.64	25.37	20.03	44.65	11.57
CUFF.89934	24.7	0.18	0.84	0	0	0	0
ENSMODG00000009661	5.43	3.36	4.9	1.09	2.44	2.96	0.1
ENSMODG00000016655	1.72	10.01	8.07	2.24	1.3	0.76	0.83
Locus_228518	0	0	0	0	0	0	0.93
ENSMODG00000004977	0.2	0.09	0.1	8.99	18.99	20.14	91.79
ENSMODG00000016560	336.82	56	68.64	173.72	220.1	176.26	176.49
ENSMODG00000010902	3.91	5.98	9.25	1.76	4.96	3.26	5.18
ENSMODG00000009020	0	0	0	0	0	0	19.57
ENSMODG00000010946	0.08	0.89	0.53	0.14	0.34	0	0.12
ENSMODG00000003242	2.65	4.43	4.64	3.83	8.11	3.29	2.7
ENSMODG00000000446	15.09	8.06	1.39	23.06	7.11	24.26	43.64
ENSMODG00000020444	0.22	3.71	1.53	0	0	0	66.18
ENSMODG00000000927	0.12	0.16	0.08	0.29	0.36	2.18	0
ENSMODG00000001317	0	0.03	0.13	0	0.44	0	28.99
Locus_91073	0	0	0.15	0	0	0	0.61
ENSMODG00000018249	0	0	0.06	0.07	0.08	0.09	0.56
ENSMODG00000025006	0	0	0	0	0	0	0.07
Locus_186779	0.23	0.92	0.42	1.76	0.08	0.36	6.37
Locus_231324	0.51	1.84	0.99	0.18	0.81	0.1	11.45
blastnMacaque.Locus_394627	0	0	0	0	0	0	0
Locus_374871	0	0	0.03	0	0	0	1.25
ENSMODG00000013102	7.87	0.28	0.12	0	0	0	0.1
ENSMODG00000024744	0.38	5.25	7.82	1.33	0.43	1.85	0.56
blastnPan.CUFF.238341	0	0	0	0	0	0	0
ENSMODG00000018080	0.06	0.16	0.08	0.71	0.34	0.51	23.51
ENSMODG00000010639	2.19	1.62	4.25	15.5	9.98	12.72	13.05
ENSMODG00000018662	2.76	5.51	3.97	9.54	4.26	8.04	1.73
CUFF.303614	0.89	0.43	0	0	0.63	1.05	0.29
ENSMODG00000021334	0	0.72	0.42	0.38	0.75	0.31	0.13
ENSMODG00000024131	0.48	0.23	0.18	0	0	0	1595.76
ENSMODG00000025178	3.21	2.26	2.74	3.33	4.36	3.27	1.01
ENSMODG00000018159	95.63	98.16	99.28	82.6	184	105.69	24.65
ENSMODG00000006488	0	0	0.03	0	0	0	0
ENSMODG00000007459	9.37	7.81	4.08	1.57	0.33	1.18	16.53
ENSMODG00000012035	8.59	6.71	8.83	4.49	6.05	6.57	11.76
ENSMODG00000001943	36.94	45.87	34.89	46.8	37.72	46.01	27.21
ENSMODG00000003959	39.99	27.65	10.83	42.01	12.98	14.1	2.51
ENSMODG00000012172	0.25	1.17	0.98	0	0.09	0	0.91
ENSMODG00000001766	2.48	18.64	12.49	31.96	36.33	40.05	2.34
Locus_418820	0	0	0	0	0	0	0.69
blastnHuman.ENSG00000236528	0	0	0	0	0	0	0.53
Locus_377943	0	0.89	0.31	0.14	0	0	0
ENSMODG00000020201	29.82	44.16	23.87	46.74	16.46	31.13	25.65
ENSMODG00000013834	7.91	2.57	1.2	3.07	0.49	1.82	74.54
Locus_420134	0	0	0	0	0	0	2.65
ENSMODG00000015954	3.37	2.91	4.49	3.85	12.41	9.6	7.95
ENSMODG00000020838	7.8	0.68	0.78	0.46	3.59	1.74	4.91
ENSMODG00000025090	10.88	11.08	0	20.59	0.22	0	17.82
Locus_88187	0	0	0.91	0	0	0	0.4
ENSMODG00000024153	5.6	5.22	9.36	4.06	5.47	6.92	3.12
ENSMODG00000005903	0	0.46	0.49	0	0.2	0.45	0.09
ENSMODG00000008622	0	0.58	3.46	0.93	0.26	0.72	0.18
ENSMODG00000015094	19.25	11.77	16.32	28.25	103.12	35.02	0.92
ENSMODG00000023646	5.26	6.99	6.1	6.73	8.54	4.48	7.47
Locus_121318	0	0	0	0	0	0	0.68
Locus_419061	0	0	0.04	0	0	0	0.74
blastnMouse.Locus_2933	0	0	0	0	0	0	0
ENSMODG00000023058	6.56	4.62	1.87	2.5	1.43	1.61	1.93
Locus_377206	0	0	0	0	0	0	0.08
ENSMODG00000007259	104.3	0.51	1.19	3.5	8.57	6.14	3.64
CUFF.331115	0	0.08	0.12	0	0	0	0
ENSMODG00000016629	0	0.35	0.27	0.04	0	0	0.05
ENSMODG00000020517	20.2	7.46	11.26	4.79	3.61	6.81	2.18
Locus_228924	0	0.11	0.34	0	0	0	1.7
ENSMODG00000011437	0.19	1.2	4.88	0.63	2.14	3.35	2.25
ENSMODG00000007896	0	0	0	0	0	0	0
ENSMODG00000008351	19.89	21.88	7.23	5.88	1.31	2.21	11.44
ENSMODG00000018505	4.8	13.14	14.63	9.14	14.88	9.27	8.87
ENSMODG00000012281	6.59	1.98	6.94	11.56	25.51	52.3	26.87
ENSMODG00000004336	14.62	22.7	7.76	10.61	7.36	5.77	27.84
Locus_390917	0	0.12	0.27	0.52	1.17	0	0.54
ENSMODG00000025409	53.42	14.51	14.04	12.97	23.32	10.67	5.86
ENSMODG00000019655	12.04	23.23	11.33	10.32	14.72	8.39	19.01
ENSMODG00000023561	1.27	2.89	1.53	3.16	2.89	1.98	1.99
ENSMODG00000000227	25.45	40.21	15.67	47.02	15.44	22.8	40.5
ENSMODG00000020858	907.44	754.86	610.23	367.34	1330.53	678.2	510.06
ENSMODG00000014401	1.53	14.72	11.69	2.82	3.83	1.66	119.53
ENSMODG00000004031	0.64	0	1.17	0	0.68	0	0
ENSMODG00000010285	3.36	5.96	6.95	5	3.95	6.19	18.66
ENSMODG00000003263	3.44	4.12	3.24	15.73	13.96	5.04	0.77
ENSMODG00000009253	0	1.38	1.5	5.86	5.53	9.13	18.87
blastnPlatypus.Locus_189761	0	0	0	0	0	0	0
Locus_35877	0	0	0	0	0	0	2.74
ENSMODG00000005320	2.67	0.81	1.16	31.48	39.05	30.97	31.12
Locus_420542	0	0	0.39	0	0	0	0.17
ENSMODG00000006427	386.14	32	18.99	3.47	2.88	2.78	7.67
Locus_87397	0	0	0	0	0	0	1.44
ENSMODG00000006917	12.77	0.09	0.24	0.04	0.2	0.17	3.47
Locus_314706	0	0.06	0	0.1	0	0	11.72
ENSMODG00000009422	0.89	7.51	3.84	0.51	0.59	0.4	7.54
ENSMODG00000025508	0	0	0	0	0	0	0
ENSMODG00000017079	30.92	6.72	2.07	17.56	8.47	13.35	7.51
ENSMODG00000013358	9.58	5.07	3.59	1.87	0.2	1.02	3.06
CUFF.319088	0.12	0.22	0.27	0.26	0.22	0.19	0.2
ENSMODG00000011506	84.56	28.21	37.35	80.81	182.23	127.07	23.83
ENSMODG00000016234	0	0.44	0.19	0.79	0.42	2.36	0.13
ENSMODG00000018909	8.84	22.99	21.01	40.17	9.47	23.46	240.57
Locus_87414	0	0.06	0.19	0	0.28	0	0.7
ENSMODG00000014446	0.52	10.97	12.23	48.72	80.55	25.02	0.63
Locus_375873	0.36	3.77	0.26	0.91	0	0.42	1.74
ENSMODG00000004055	247.26	29.78	13.01	128.96	47.61	140.22	5.57
CUFF.222779	0.07	0.04	0.03	0	0	0	1.69
ENSMODG00000002325	0.43	2.03	3.41	0.91	0.9	2.64	3.36
Locus_121914	0.16	1.89	0.54	0.84	0	0	0.16
ENSMODG00000013810	0	0	0.11	0	0	0	0
blastnPlatypus.Locus_94636	0	0	0	0	0	0	0
ENSMODG00000006953	0.3	14.04	7.22	7.53	0.56	8.5	32.18
ENSMODG00000010130	0.11	0	0.08	0	0	0	0
ENSMODG00000019328	5.04	7.36	11.39	9.51	10.31	10.25	43.4
CUFF.115639	0.61	0.07	0.72	0.51	0.48	0.54	0.29
ENSMODG00000009479	21.03	39.61	19.03	33.03	27.53	15.44	6.72
ENSMODG00000005427	17.36	19.03	33.49	22.46	49.43	34	15.92
ENSMODG00000023868	2.87	1.71	3.79	0.61	5.67	2.54	32.53
ENSMODG00000005604	3.14	4.22	10.98	7.51	24.49	30.4	3.94
ENSMODG00000013307	141.58	154.14	53.54	264.94	154.18	260.45	219.03
ENSMODG00000011284	76.99	65.79	55.33	40.2	102.5	43.76	55.14
Locus_88285	0	0.1	0.16	0	0	0	0
ENSMODG00000007280	0.17	6.54	10.22	7.85	4.11	27.68	2.36
ENSMODG00000013917	10.42	0.1	0.07	1.11	0.14	0.84	0.03
ENSMODG00000004035	24.33	12.31	8.48	7.34	5.37	5.93	4.94
ENSMODG00000006918	0.29	3.27	1.39	0.02	0.06	0.1	58.95
Locus_391171	0.74	1.13	2.69	5.53	2.34	3.5	1
Locus_120207	0	0	0	0	0	0	0.57
ENSMODG00000011584	0.03	5.74	9.18	2.8	10.19	1.4	0.55
ENSMODG00000008581	122.9	329.28	724.46	356.17	998.51	1382.61	104.6
Locus_120828	0	0	0	0	0	0	3.49
Locus_33923	0	0	0	0.33	0	0	0.38
ENSMODG00000017215	14.8	22.9	18.6	27.48	77.71	39.2	42.99
blastnHuman.ENSG00000223726	0	0	0	0	0	0	0
CUFF.322119	0.52	0.09	0.12	0.25	0.55	0.18	0.18
ENSMODG00000002769	2.61	6.71	4.66	1.6	0.59	0.78	4.11
Locus_230219	0	0	0	0	0	0	1.3
blastnOrangutan.CUFF.137977	0	0	0	0	0	0	0
ENSMODG00000024286	0	0	0	0	0	0	0
ENSMODG00000004387	1.88	0.03	0.62	24.79	82.28	31.91	0.31
ENSMODG00000014596	0	0	0	0	0	0	0.14
ENSMODG00000023187	0	0	0	0	0	0	0
ENSMODG00000011107	98.59	11.65	13.92	18.75	16.64	17.28	16.7
ENSMODG00000001629	85.12	27.13	17.67	20.67	11.56	26.64	26.78
ENSMODG00000006340	0.1	1.09	1.69	0.04	0.1	0.06	0.07
ENSMODG00000001586	33.33	11.61	11.85	20.9	7.8	21.82	23.47
