Gene	Brain_Male3	Brain_Male4	EmbryonicKidney_Indiv1	Liver_Male3	Ovary_Female1	Ovary_Female2	Ovary_Female3	Placenta_Female1	Placenta_Indiv3	Placenta_Indiv4	Placenta_Male1	Testis_Male3	Testis_Male4
ENSMUSG00000091698	0.01	0	0	0	0.05	0.04	0	0.05	0.1	0.03	0.13	3.59	1.42
CUFF.138292	0	0	0	0	0	0	0	0	0	0	0	3.03	0
ENSMUSG00000037286	5.24	9.66	10.17	9.74	14.65	9.19	8.86	27.92	15.8	12.49	39.92	10.22	21.87
ENSMUSG00000047361	3.76	5.38	0.07	0.01	7.31	4.08	2.78	0.93	0.05	0.12	0.29	94.96	308.43
Locus_52640	0	0	0	0	0	0	0	0	0	0	0	1.29	2.04
Locus_21722	0	0	0	0	0	0	0	0	0	0	0	0.59	1.33
ENSMUSG00000086327	0	0	0	0.05	0	0	0	0	0	0	0	41.32	59.66
Locus_39836	0	0	0	0	0	0	0	0	0	0	0	0.7	0
ENSMUSG00000024427	4.36	1.74	5.47	2.55	1.81	1.85	2.06	2.93	1.41	4.59	1.08	0.9	0.55
Locus_26629	0	0	0	0	0	0	0	0	0	0	0	1.41	12.45
ENSMUSG00000085396	1.68	9.32	7.19	3.46	10.65	9.58	10.03	8.78	5.31	7.44	5.62	0.38	1.56
ENSMUSG00000021579	0.19	0.07	0	0.74	0.08	0.55	0.27	0.2	0.01	0.05	0	0.01	0.15
ENSMUSG00000037525	3.51	2.22	3.26	5.12	3.79	2.02	1.81	4.75	5.08	3.04	8.23	12.11	8.13
ENSMUSG00000026289	8.28	10.58	5.22	8.84	6.08	4.23	4.64	7.06	5.01	4.37	6.99	2.09	2.45
ENSMUSG00000044499	2.08	2.19	0.03	0	0.05	0.01	0.01	0.02	0	0	0	0	0.04
ENSMUSG00000018776	0.03	0.07	0.17	0.02	0.11	0.21	0.19	0.1	0.06	0	0.08	62.74	48.71
ENSMUSG00000030541	18.2	17.67	119.89	61.25	38.99	26.43	26.98	56.6	61.98	34.44	60.38	5.15	3.8
ENSMUSG00000074030	4.14	4.62	2.45	2.17	3.38	2.58	2.92	2.24	3.63	2.38	3.3	6.87	7.3
Locus_93999	0	0	0	0	0	0.1	0	0	0	0	0	0.58	0
Locus_92070	0	0	0	0	0	0	0	0	0	0	0	1.15	0.24
Locus_34784	0	0	0	0	0	0	0	0	0	0	0	2.39	2.34
ENSMUSG00000031834	19.67	26.47	10.06	5.8	10.99	7.41	7.81	3.44	5.28	6.9	2.71	7.89	6.82
Locus_99676	0	0	0	0	0	0.05	0	0	0	0	0	0.48	10.39
ENSMUSG00000044903	0	0	0	0	0	0	0	20.86	128.79	27.8	93.14	0.13	0.17
Locus_80599	0	0	0	0	0	0	0	0	0	0	0	4.98	0.94
ENSMUSG00000022602	49.36	5.48	0.58	0.05	0.14	0.27	0.43	0.1	0.25	0.11	0.04	61.84	60.13
ENSMUSG00000074037	0.02	0.01	0	0	0.02	0	0	0.04	0	0.02	0.02	0.05	0.02
ENSMUSG00000091933	0	0	0	0.02	0.03	0.03	0	0	0	0	0.04	17.62	8.98
ENSMUSG00000086188	0.11	0	0	0	0	0.02	0.02	0.02	0	0.03	0.03	0.01	0
Locus_105757	0	0	0	0	0	0	0	0	0	0	0	0.25	0
blastnMacaque.Locus_209696	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087194	0	0	0	0	0	0.01	0	0	0	0	0	0	0
ENSMUSG00000073288	0.03	0.16	0	0.04	0.1	0.17	0.18	0.05	0	0	0	0.06	0
ENSMUSG00000067813	0.02	0.02	0.02	43.43	0.04	0	0.03	1.38	0.11	0.06	0.11	0.51	0.61
ENSMUSG00000070719	0.01	0.01	0.04	0	0	0.03	0.01	8.09	10.18	8.04	13.34	4.03	4.86
CUFF.22329	0	0	0	0	0	0.11	0	0	0	0	0	0.42	0.43
ENSMUSG00000024910	0.02	0.1	0.04	0.54	0.45	0.74	0.49	0.06	0.08	0.11	0.29	0.12	0
CUFF.18686	0	0.16	0	0	0	0	0	0	0	0	0	0.16	0
ENSMUSG00000053168	0	0	0	1.04	0	0	0.04	0	0	0	0	0	0
ENSMUSG00000018042	6.42	6.61	13.07	101.8	24.72	26.61	31.54	67.17	71.72	92.17	45.35	7.86	12.14
ENSMUSG00000028159	1.58	1.41	1.96	0.66	4.19	6.14	5.46	2.15	1.2	0.67	2.13	20.38	9.09
Locus_53617	0	0	0	0	0	0	0	0	0	0	0	0.53	0
ENSMUSG00000018727	0.02	0.04	0.42	0.31	1.95	1.65	1.55	1.2	0.56	0.71	0.36	20.87	18.47
ENSMUSG00000086847	0.11	0	0.73	0.04	0.05	0.05	0.05	0.59	0.28	0.16	0.6	0	0
Locus_74675	0	0	0	0	0	0	0	0	0	0	0	1.79	3.17
ENSMUSG00000015120	5.59	6.27	7.78	3.66	5.13	5.96	5.96	2.35	4.31	4.03	3.6	6.07	5.03
ENSMUSG00000042448	0.11	0.06	0.38	0	0.02	0.02	0	0.09	0	0.07	0.05	0	0
ENSMUSG00000032358	0.01	0.05	0.58	0.01	0.15	0.28	0.29	5.5	8.6	5.67	7.29	0.01	0.03
ENSMUSG00000072473	0.52	0.06	0	0	5.34	4.4	3.01	0.12	0	0.19	0	109.01	195.2
ENSMUSG00000069892	0.06	0.01	0.04	0.47	0.69	0.7	0.74	1.89	0.14	1.53	0.24	0.15	0.01
ENSMUSG00000019877	153.59	141.25	33.15	68.29	30.73	52.79	48.95	34.43	30.39	36.58	28.25	9.13	11.78
ENSMUSG00000031107	5.68	7.65	3.99	1.6	8.09	2.95	2.51	6.92	3.93	1.67	13.81	3.95	6.86
blastnHuman.Locus_69966	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000030209	2.86	8.01	0.03	0	0.06	0.08	0.17	0.01	0	0	0	2.6	8.48
ENSMUSG00000051483	46.87	31.19	10.68	112.23	27.02	22.9	19.87	15.16	16.86	9.64	15.97	21.51	37.94
blastnHuman.ENSG00000237852	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070524	0.22	0.19	0.15	0	0.02	0	0	0	0	0.1	0	0.02	0.13
Locus_104358	0	0	0	0	0	0	0	0	0	0	0	0.17	0.3
CUFF.95552	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000255126	0	0	0	0	0	0	0	0	0	0.46	0	0	0
CUFF.240781	0	0	0	0	0	0	0	0	0.05	0	0.06	0.56	0.94
Locus_41401	0	0.15	0	0	0.46	0	0	0	0	0	0	0.9	2.44
ENSMUSG00000022575	1.82	1.32	3.47	30.31	15.04	10.68	10.3	8.27	2.44	8.44	2.38	6.28	1.97
ENSMUSG00000039934	1.53	1.36	0.72	14.65	1.92	3.32	2.94	0.98	0.45	1.13	0.44	5.05	2.96
ENSMUSG00000053825	19.87	44.76	0.06	0.15	0.2	0.04	0.03	0.19	0.02	0.02	0.02	3.13	8.51
ENSMUSG00000042807	2.48	5.85	0.73	0.64	1	0.97	1.18	2.07	0.59	2.01	0.37	0.29	1.02
ENSMUSG00000037234	7.62	7.95	8.48	13	10.29	10.81	12.58	11.01	6.69	7.23	12.6	2.11	3.06
ENSMUSG00000022892	563.69	518.64	104.41	43.76	113.04	92.36	96.68	195.48	112.7	177.49	141.83	39.02	65.06
ENSMUSG00000031428	71.92	61.94	2.48	0.02	1.32	1.92	1.34	0.02	0.03	0.05	0.03	1.19	1.23
ENSMUSG00000020190	8	5.28	32.18	43.91	15.13	16.67	22.83	20.17	49.67	38.11	28.61	20.16	10.52
ENSMUSG00000031654	11	13.52	0	0	0.28	0.04	0.04	0	0.23	0.35	0.3	7.94	2.38
blastnPan.Locus_177260	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028270	3.99	2.8	0.43	8.82	19.6	22.23	17.45	9.98	0.48	4.89	1.75	1.58	0.84
Locus_3042	0	0	0	0	0	0	0	0	0	0	0	0.54	0.26
CUFF.66068	0	0	0	0	0	0	0	0	0	0	0	0.24	2.1
ENSMUSG00000026527	64.19	81.97	0.09	0.73	2.02	1.94	3.21	0.05	0.02	0	0.08	0.02	1.69
ENSMUSG00000043460	3.24	10.43	0.02	0.01	0.04	0.08	0.08	0	0.05	0	0	1.03	2.47
ENSMUSG00000069049	9.33	7.4	4.07	17.72	0	0	0	0	5.97	4.93	3.49	10.02	16.33
ENSMUSG00000019158	23.62	20.96	11.09	18.68	10.82	2.77	3.41	5.27	7.22	7.08	6.01	1.37	1.2
Locus_40456	0	0	0.2	0	0	0	0	0	0.15	0	0	0.91	7.07
ENSMUSG00000060336	0.97	0.85	1.61	0.36	0.91	1.82	1.9	0.9	0.99	0.84	0.71	0.18	0.48
ENSMUSG00000024791	0.07	0.02	16.37	0.21	4.81	2.92	2.67	0.75	10.15	0.29	13.98	24.5	19.48
ENSMUSG00000036731	0.08	0.04	0.05	0	0.03	0.03	0.07	0.47	0	1.14	0.09	0.15	0.08
CUFF.24711	0	0	0	0	0	0	0	0	0	0	0	0.6	1.52
Locus_110900	0.12	0	0.15	0.13	0.05	0	0	0	0	0	0	0	0
ENSMUSG00000074780	12.52	24.18	3.09	25.26	45.56	10.9	11.27	39.35	27.13	14.25	92.41	60.97	267.68
ENSMUSG00000003992	9.86	7.6	5.31	0.41	2.19	2.93	2.35	0.91	0.34	0.93	0.36	1.94	1.15
ENSMUSG00000051978	6.9	8.06	2.41	7.71	10.77	4.09	4.69	20.32	5.72	4.67	16.97	18.39	21.58
ENSMUSG00000020689	0.56	0.77	0.56	2.67	15	7.54	11.02	34.03	52.82	27.92	67.75	0.45	1.89
blastnMacaque.Locus_474553	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047161	0.63	1.45	0.71	0.01	0.17	0.16	0.13	0.45	0.05	0.08	0.04	0.01	0.27
ENSMUSG00000044927	27.37	17.81	7.22	1.73	10.08	0.77	0.64	1.42	1.9	0.86	1.02	97.06	16.63
ENSMUSG00000033634	0.19	1.88	0.36	537.01	0.53	0.22	0.2	0.17	0.02	0.07	0.03	0.32	0.2
ENSMUSG00000002968	10.47	9.11	10.37	8.05	9.73	6.74	9.23	11.73	20.16	32.19	7	25.93	11.66
Locus_98329	0	0	0	0	0	0	0	0	0	0	0	1.22	0
ENSMUSG00000066838	4.82	2	2.11	1.05	1.73	3.86	3.66	2.66	2.73	3.86	1.64	1.46	0.54
ENSMUSG00000006395	5.94	2.04	0.8	46.3	17.61	7.45	6.49	11.5	1.47	4.33	1.46	2.13	1.39
blastnMacaque.Locus_190093	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054874	3.84	5.95	8.13	5.19	8.73	4.94	6.92	5.36	10.78	10.61	5.18	6.22	6.03
ENSMUSG00000048534	0.19	0.23	0	0.57	0.48	0.61	0.42	4.07	2.66	1.79	2.3	0.02	0.09
ENSMUSG00000074166	1.42	0.9	1.03	2.26	1.35	2.1	1.57	0.83	0.5	0.76	0.64	0.54	1.05
ENSMUSG00000062391	0.06	0.04	0	0	0.14	0.06	0.07	0	0	0	0	1.48	9.03
Locus_60414	0	0	0	0	0	0	0	0	0	0	0	6.3	0
ENSMUSG00000022123	1.09	0.74	0.85	0	0.25	0.15	0.3	46.98	1.05	32.28	0.22	0.14	0.68
ENSMUSG00000062209	3.41	6.67	2.48	0.34	0.04	0.08	0.07	0.01	0	0	0	0.11	0.45
ENSMUSG00000044424	42.99	1.37	0.65	68.96	35.73	29.14	50.28	32.38	23.44	4.72	29.07	92.2	1.83
ENSMUSG00000059401	5.9	6.17	0.59	0.31	9.56	11.78	10.08	0.62	0.45	1.34	0.3	1.71	1.86
ENSMUSG00000029788	0.02	0	0.16	0	0	0	0	0.21	0.13	0.26	0.12	47.61	35.58
ENSMUSG00000057037	0.03	0	0	170.87	0.05	0	0.09	0	0.02	0	0	7.61	0
ENSMUSG00000073572	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002384	0.04	0.02	0.04	0.04	0.01	0.06	0.08	3.58	4.53	5.93	2.42	0.44	0.84
ENSMUSG00000084971	0	0	0	0	0	0	0	0	0	0	0	23.07	14.91
ENSMUSG00000070374	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035944	1.25	2.31	2.12	27.97	4.99	7.96	6.08	4.42	5.11	6.06	2.56	1.11	0.87
ENSMUSG00000071653	29.18	14.75	32.57	58.78	23.63	24.02	21.39	33.32	70.44	23.54	76.93	111.88	73.53
Locus_86878	0	0	0.16	0.1	0	0.44	0.12	0	0	0	0	0.52	0
CUFF.233735	0	0	0	0	0	0	0	0	0	0	0	2.44	0.19
Locus_103918	0	0	0	0	0	0	0	0	0.05	0	0.14	1.04	2.42
ENSMUSG00000050822	3.46	1.58	0.83	0.03	0.29	0.42	0.37	1.1	0.22	2.78	0.08	0.05	0.08
ENSMUSG00000090392	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_45733	0	0	0	0	0	0	0	0	0	0	0	1.95	2
blastnHuman.ENSG00000226252	0.61	0	0	0	0	0	0	0	0.41	0	0	22.19	27.11
Locus_3085	0	0	0	0	0	0	0	0	0	0	0	2.26	17.25
ENSMUSG00000017400	34.93	33.57	0.97	0.04	0.34	0.22	0.37	0.95	0.48	0.77	1.68	3.69	8.39
ENSMUSG00000039509	6.89	7.29	9.3	4.1	7.11	5.41	5.54	5.03	11.41	3.99	14.41	24.76	21.68
ENSMUSG00000049606	7.5	7.51	7.88	4.7	6.5	7.93	8.43	6.16	3.27	5.36	3.51	16.23	15.43
ENSMUSG00000071497	0.68	0.18	1.14	1.03	0.6	5.48	4.65	0.83	15.06	7.07	2.65	0.45	0.28
ENSMUSG00000046750	0.37	0.52	0.09	0	0.07	0.06	0.09	0	0	0.05	0	108.36	367.71
ENSMUSG00000025963	1.08	1.07	0.03	0	2.44	2.18	1.53	0	0.02	0.05	0	180.11	153.62
ENSMUSG00000032259	3.98	7.53	0.06	0	0.04	0.02	0.03	0	0.01	0.02	0.04	0.33	0.7
Locus_81123	0	0	0	0	0	0	0	0	0	0	0	2.26	0
ENSMUSG00000028011	0.59	0.2	0	1441.85	0.65	0.02	0.02	0.54	0.61	1.01	3.15	0.16	0.11
ENSMUSG00000075088	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085628	0.57	0.41	0.73	2.48	1.41	1.08	1.22	1.77	2	2.16	1.85	5.11	3.07
ENSMUSG00000038084	19.57	30.03	11.44	32.63	14.36	12.4	11.89	11.73	10.95	8.1	18.58	10.85	18.51
ENSMUSG00000074909	16.2	21.62	5.48	12.24	10.55	5.92	5.97	5.79	3.96	2.67	7.67	3.57	8.64
ENSMUSG00000024481	0.01	0.05	0.06	0.01	0.28	0.56	0.49	0.05	0.03	0.35	0.01	0.34	0.23
Locus_66237	0.08	0.12	0.29	0	0	0	0	0	0.11	0	0	0.19	0
ENSMUSG00000086212	0.68	0.24	0.1	0.14	0.09	0.23	0.25	0.76	0.36	1.15	0.17	0.51	0.44
ENSMUSG00000031725	0.03	0.01	0	259.2	4.99	12.96	11.63	0	0	0.07	0	0.07	0.02
ENSMUSG00000036777	13.19	11.86	13.85	0.28	10.75	6.42	5.04	2.4	13.69	1.13	22.86	11.02	23.65
ENSMUSG00000032051	7.53	3.55	2.88	78.3	226.93	175.51	130.97	27.99	31.48	14.87	45.5	36.29	24.54
ENSMUSG00000052406	17.42	19.07	10.8	12.84	19.97	9.66	9.81	10.14	8.88	6.21	18.36	9.17	18.09
ENSMUSG00000042894	0	0	0	0	0	0	0	0	0	0	0	0	0
CUFF.100765	0.08	0.2	0	0	0.32	0.21	0.17	0	0	0.04	0.04	0	0
ENSMUSG00000034973	4.56	7.07	4.48	2.35	2.77	3.79	4.3	5.24	4.51	6.17	3.55	5.11	9.07
Locus_41264	0	0	0	0.3	0.4	0.75	0.88	0	0	0.19	0.2	0	0.18
ENSMUSG00000060743	7.09	2.89	1.87	11.65	6.37	13.62	12.34	6.77	3.84	4.01	3.97	22.68	4.16
ENSMUSG00000048391	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000071342	0.51	1.8	0.04	0	0.2	0	0.03	0	0	0.04	0	0.87	0.34
ENSMUSG00000050994	0.27	0.43	0.04	1.23	4.24	3.83	3.31	0.03	0.01	0.01	0.01	39.74	87.3
ENSMUSG00000027076	29.69	17.03	9.75	30.43	9.64	8.54	7.92	8.09	14.56	10.05	15.81	15.09	10.38
ENSMUSG00000059820	3.17	3.96	5.89	4.1	5.14	5.69	5.51	6.12	5.66	4.78	6.66	4.98	6.37
Locus_2432	0	0.04	0.2	0	0.1	0.1	0.11	0	0	0	0	0.19	0.17
ENSMUSG00000038644	1.95	1.38	7.31	1.59	7.51	1.7	2.35	2.47	9.32	2.3	16.79	5.75	4.02
ENSMUSG00000085925	0.14	0.16	0.02	0	0	0	0	11.82	3.62	15.81	3.87	0	0
ENSMUSG00000022718	5.06	9.35	9.35	3.59	11.47	5.73	5.22	11.56	20.83	7.84	38.62	5.65	33.41
Locus_14087	0	0	0	0	0	0	0	0	0	0	0	4.17	2.53
ENSMUSG00000018068	2.3	4.15	9.18	2.01	4.49	3.94	3.79	6.29	6.28	4.54	8.4	3.41	6.25
CUFF.155463	0	0	0	0	0	0	0	0	0	0	0	0.55	0.64
ENSMUSG00000042185	1.44	3.46	6.02	1.26	3.75	4.7	5.02	1.68	2.86	2.56	1.94	3.07	5.79
ENSMUSG00000074199	0	0	0	0	0	0.07	0.07	1.57	0.37	2.38	0	0	0
ENSMUSG00000053765	0	0.03	0.03	0	0.02	0.11	0.09	0	0.02	0	0.03	0	0
ENSMUSG00000021943	1.13	1.38	0.68	1.95	2.22	2.54	2.57	0.13	0.02	0.01	0.01	0.36	0.07
ENSMUSG00000037977	1.93	2.38	0.42	0.48	0.26	0.18	0.44	4.02	1.64	3.69	0.66	0.22	0.06
Locus_66776	0	0	0.28	0	0	0.09	0	0	0	0	0	5.61	0
ENSMUSG00000032172	42.8	25.79	1.18	0.17	0.68	0.96	1.5	0.17	0.3	0.9	0.25	1.38	0.36
Locus_92756	0	0	0	0	0	0	0.04	0	0	0	0	2.57	12.49
ENSMUSG00000092136	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_74484	0	0	0	0	0	0	0	0	0.14	0.06	0.18	1.34	1.42
ENSMUSG00000014547	0.55	3.98	2.69	2.07	5.88	6.04	6.02	6.12	5.98	8.45	6.41	0.94	3.84
ENSMUSG00000052364	17.26	10.61	0.57	0.55	2.09	2.07	1.86	0.64	0.18	0.54	0.12	1.09	0.34
ENSMUSG00000090586	0.15	0.05	0.68	0.17	0.26	0.11	0.2	0.1	0.12	0	0.05	2.1	11.38
ENSMUSG00000039356	7	8.25	16.81	10.48	12.89	8.74	8.45	4.85	17.02	3.97	25.08	7.43	13.93
ENSMUSG00000020639	3.75	4.81	0.68	0.81	0.33	0.58	0.39	0.12	0.08	0.07	0.17	143.74	120.76
ENSMUSG00000032845	0.05	0.11	0.02	0.01	0	0	0.01	0	0	0.06	0.01	0.23	0.41
ENSMUSG00000025580	11.28	8.04	17.26	13.99	12.18	8.03	6.95	12.24	20.35	7.84	20.29	25.09	13.3
Locus_52804	0	0	0	0	0	0	0	0	0	0	0	3.17	0.76
ENSMUSG00000063020	0	0	0	0	0	0	0	0	0	0	0	0	0.09
ENSMUSG00000025453	2.86	2.87	14.21	9.4	4.53	5.56	5.74	0.78	1.87	1.57	0.86	10.58	8.61
ENSMUSG00000030001	0.03	0	0	0	0.36	0.33	0.22	0	0	0.06	0	1.54	1.29
Locus_82527	0	0	0	0	0	0	0	0	0	0	0	1.8	5.96
ENSMUSG00000029338	0.61	0.5	7.58	19.76	16.02	18.64	14.96	3.45	2.14	3.58	3.34	10.09	3.01
ENSMUSG00000071686	0.1	0	0	0	0	0	0	0	0	0	0	119.01	120.86
CUFF.14369	0	0	0	0	0	0	0	0	0	0.14	0	0.05	0.81
ENSMUSG00000034947	0.44	0.15	1.89	6.96	2.91	2.93	2.63	22.15	33.31	18.51	28.32	4.55	5.29
ENSMUSG00000022325	1.83	1.39	5.14	2.95	3.4	2.69	2.27	1.61	3.95	1.38	7.13	1.23	1.2
ENSMUSG00000027329	4.33	3.19	4.31	1.39	8.68	5.95	5.26	0.76	0.41	0.65	0.12	16.03	16.82
ENSMUSG00000042198	8.39	4.59	3.59	9.64	2.12	2.91	2.57	2.8	1.59	2	1.29	16.37	6.77
ENSMUSG00000027790	0.05	0	0	0	0	0	0.01	0	0	0	0	0.01	0.01
ENSMUSG00000062157	0.07	0.1	1.36	0.03	0.58	1.11	0.97	5.05	2.92	5.65	2.62	0.22	0.31
ENSMUSG00000046676	0	0	0	0	0	0	0	0	0.05	0	0	0	0
blastnMacaque.Locus_394545	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092108	0	0	0	0	0	0	0	0	0	0	0	0	0
CUFF.113659	0	0	0	0	0	0	0	0	0	0	0	0.3	4.8
Locus_21712	0	0	0	0	0	0	0	0	0	0	0	0.29	7.28
Locus_60060	0	0	0	0	0	0	0	0	0	0	0	0.27	1.01
Locus_11959	0.23	0.39	0.03	0	0.16	0.02	0	0	0.35	0.02	0.36	0.05	2.37
CUFF.188265	0	0	0	0	0	0	0	0	0	0	0	0.51	1.03
ENSMUSG00000068758	0.29	0.23	0.67	0.68	1.62	1.33	1.26	6.1	5.86	16.82	1.9	11.17	6.01
ENSMUSG00000091661	0.06	0	0	0.14	0	0.15	0.16	0	0	0.21	0	0	0.4
ENSMUSG00000048562	0.27	0.3	0	0	0	0	0	0.02	0	0.03	0.04	0	0.02
ENSMUSG00000060508	0	0	0	0	3.33	2.34	1.74	0.05	0.01	0.04	0.04	0.48	0.37
ENSMUSG00000040699	5.87	5.97	14.31	1.1	1.85	4.19	4.14	5.16	33.25	14.38	11.47	94.09	52.29
ENSMUSG00000054417	0	0	0	0.4	0.06	0	0	0	0	0	0	0	0
Locus_54254	0	0	0	0	0	0	0	0	0	0	0	0.9	0
ENSMUSG00000046380	0.79	1.23	3.08	0.15	0.91	0.82	0.75	0.72	1.16	0.72	0.46	4.62	6.74
ENSMUSG00000043531	3.58	7.45	1.32	0	0.2	0.26	0.26	0.11	0.06	0.3	0.03	0.02	0.47
ENSMUSG00000046404	0.88	1.99	2.29	4.46	1.57	2.47	2.79	1.35	0.95	1.34	0.56	22.59	29.77
Locus_98172	0	0	0	1.06	0	0	0	0.34	0	0	0	0	0
ENSMUSG00000038007	2.15	1.32	5.5	8.09	0.83	2.02	2.09	28.02	2.26	42.83	2.78	1.22	1.31
ENSMUSG00000020308	22.05	14.38	3.12	10.3	6.09	1.17	1.57	7.14	11.4	12.6	4.28	14.91	5.02
Locus_2648	0	0	0	0.07	0.08	0	0	0	0	0	0	1.56	0.6
Locus_99399	0.44	0.68	0	0	0.13	0	0	0	0	0	0	0.26	1.73
ENSMUSG00000078907	0.21	0.02	0.06	0	0.17	0.14	0.17	0	0.03	0.04	0.01	45.72	51.91
ENSMUSG00000026601	0.05	0.18	0.07	0	2.67	1.09	1.04	0.18	0.05	0.16	0.13	87.33	343.77
blastnMacaque.Locus_18353	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085319	0.07	0	0	0	0.08	0	0	0	0.18	0.11	0	0	0
ENSMUSG00000020044	17.69	8.85	16.97	9.91	26.71	44.58	43.66	28.96	2.89	38.76	3.01	5.35	8.8
ENSMUSG00000024812	8.86	8.57	12.01	11.91	10.83	9.85	8.72	31.48	38.07	32.27	35.02	12.95	13.95
ENSMUSG00000068580	3.8	3.6	6.56	5.16	4.47	4.86	4.92	4.61	7.25	9.14	3.59	8.83	8.57
ENSMUSG00000038244	39.8	39.83	1.71	4.89	6.19	5.92	5.21	10.61	12.46	8.76	14.47	1.97	3.45
Locus_11697	0	0	0	0	0	0	0.08	0	0	0	0	0.29	1.56
ENSMUSG00000023017	12.7	16.08	0.24	0	0.01	0.03	0.03	0.02	0.03	0.02	0	0.03	0.05
blastnHuman.ENSG00000250033	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090712	0	0	0	0	0	0	0	0	0.02	0	0	0	0
ENSMUSG00000030695	302.32	233.28	84.88	30.35	84.65	79.95	91.86	65.71	113.13	115.29	79.03	100.03	69.55
ENSMUSG00000030735	29.2	27.6	24.29	86.89	39.91	20.49	26.25	20.93	47.98	17	54.2	26.12	50.03
ENSMUSG00000048373	0.72	0.62	2.6	0	0.02	0.05	0	1.05	45.44	1.25	19.95	0	0
CUFF.222472	0	0	0	0	0	0	0	0	0	0	0	0.81	1.83
ENSMUSG00000090102	0.03	0	0	0	0.04	0.04	0.1	0	0.02	0	0	15.73	14.31
ENSMUSG00000029674	12.97	8.61	2.68	0.6	1.95	1.33	1.56	6.11	31.61	10.4	19.39	3.96	2.41
blastnOrangutan.Locus_194110	0	0	0	0	0.21	0	0.24	0	0	0	0	0	0
ENSMUSG00000032508	2.64	1.13	4.82	12.79	7.29	8.22	9.14	15.51	22.78	13.83	19.99	7.91	9.35
CUFF.40989	0.37	0.98	0	0	0	0	0	0	0	0	0	0	0.12
ENSMUSG00000037331	21.75	31.88	11.33	56.3	32.03	17.73	18.61	27.43	28.7	25.4	48.97	120.26	203.23
ENSMUSG00000089738	2.71	1.91	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049164	1.97	2.46	6.88	5.15	4.09	5.22	4.87	7.76	5.44	4.79	8.04	6.17	8.42
ENSMUSG00000089901	0.03	0.01	0.76	0.12	2.81	12.51	9.22	0.32	0.04	0.13	0.1	0.15	0.06
ENSMUSG00000030751	42.8	22.15	29.06	89.12	29.59	35.32	30.82	34.81	57.82	26.79	71.41	20.03	8.33
ENSMUSG00000049357	0.8	1.21	0.91	0.63	2.15	0.8	0.53	0.91	0.18	0.32	0.35	18.71	30.61
Locus_74994	0	0	0	0	0	0	0	0	0	0	0	1.11	0.23
ENSMUSG00000043259	19.89	17.1	0.87	0.21	3.95	5.04	5.51	1.8	0.07	0.74	0.11	4.17	3.61
Locus_40275	0	0	0	0.06	0	0	0	0	0	0	0	0.2	0.55
ENSMUSG00000017386	1.83	1.35	20.98	11.17	5.89	4.46	5.78	5.38	11.91	9.53	5.55	1.26	3.34
ENSMUSG00000013160	37.89	22.47	10.98	20.42	7.84	7.62	7.37	16.45	12.87	13.78	12.1	7.99	4.55
ENSMUSG00000039347	101.19	57.75	7.06	0.21	24.98	55.52	48.12	1.43	1.74	2.3	0.78	5.73	3.51
ENSMUSG00000091474	4.95	3.46	4.02	3.02	2.07	5.56	5.82	1.48	3.02	1.14	2.37	2.42	2.77
ENSMUSG00000021365	2.62	1.69	8.19	3.93	12.36	13.8	13.53	10.58	2.68	13.13	2.65	1.71	2.15
ENSMUSG00000051198	0.06	0	0	0	0	0	0	0	0	0	0	15.5	4.76
ENSMUSG00000054510	0	0.02	0	0	0.09	0.04	0.02	0	0	0.05	0.03	0.39	0.5
ENSMUSG00000004043	0.31	0.26	0.35	1.81	6.81	5.21	4.11	1.49	1	1.68	0.67	0.83	0.46
blastnMacaque.Locus_394627	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016239	0.57	1.48	0.16	1.07	1.46	1.69	1.23	16.75	7.87	14.32	9.99	3.49	6.98
ENSMUSG00000070856	0	0	0	0	0	0	0	0	0	0	0	0.03	0
ENSMUSG00000027306	0.09	0.05	13.78	0.18	4.12	5.3	4.41	1.48	6.25	0.47	6.04	20.22	15.68
Locus_60657	0.63	0.59	0	0	0	0	0	0	0	0	0	0.03	0
ENSMUSG00000084867	0.4	0.69	1.18	0.44	0.47	1.19	1.16	0.26	0.39	0.22	0.22	0.07	0.26
