Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Placenta_Indiv1	Placenta_Indiv2	Placenta_Indiv3	Testis_Male1	Testis_Male2	Testis_Male3
ENSMODG00000011985	0.03	0	0.06	0	0.08	0.32	0.6	0.19	0	0.35	0.51	1.52	1	0.06	0.06	0.07	0.13	0	0
ENSMODG00000003062	40.9	33.35	58.79	15.74	14.46	32.43	27.42	0.48	0.72	0.15	0.22	3.08	0.89	1.19	0.46	0.6	11.15	30.37	31.9
ENSMODG00000000424	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.13	0	19.03	10.33	4.41
ENSMODG00000023294	22.35	12.03	15.81	16.06	14.6	1.41	0.78	0.41	0.83	0.25	0.37	0.91	1.03	0.65	0.09	0.92	1.09	0.72	0.29
ENSMODG00000010610	20.16	24.01	25.46	11.78	20.72	6.46	6.79	3.77	1.52	15.77	29.45	5.64	3.45	26.34	9.94	15.26	43.81	51.95	83.06
ENSMODG00000023875	1.26	0.84	0.78	0.93	1.04	0.48	0.65	0.56	0.43	1.82	2.3	0.99	0.84	0.42	0	0.11	0.56	0.65	0.45
ENSMODG00000000720	11.19	8.46	16.11	11.17	9.49	6.22	7.15	8.22	8.08	6.26	5.81	16.32	8.19	16.48	3.24	7.09	8.34	7.79	12.03
ENSMODG00000008931	0.55	0.25	0.24	0.15	0.12	0.06	0.04	4.27	2.24	0.03	0.04	1.71	0.97	129.53	50.42	21.59	0.11	0.27	0.13
ENSMODG00000013624	0	0	0	0	0	0	0	0	0	3.75	7.89	0	0	0	0	0	0	0	0.03
blastnPlatypus.Locus_141459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000238063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000017109	30.85	31.68	36.59	40.27	34.13	23.7	13.86	7.75	8.67	102.36	141.06	20.39	14.16	10.92	13.4	6.25	153.63	169.35	187.56
ENSMODG00000007444	4.57	2.48	3.31	0.27	0.54	0	0	0	0	0	0	0	0.04	0	0	0	0	0.11	0
ENSMODG00000020088	31.19	43.13	106.37	30.21	33.75	22.51	23.27	25.97	27.01	29.61	33.18	123.73	43.99	71.8	51.02	33.87	33.08	47.02	56.53
ENSMODG00000016524	3.05	7.27	9.81	4.01	5.07	0.98	1.59	3.44	4.63	1.41	4.17	5.59	5.02	2.73	3.47	5.3	15.77	13.73	14.19
ENSMODG00000015208	96.72	96.28	113.78	74.86	66.32	33.43	23	106.84	76.66	162.24	95.19	33.56	27.35	40.59	28.38	43.46	17.58	17	14.57
ENSMODG00000019237	72.02	104.45	38.63	86.63	99.09	690.32	347.31	158.84	130.52	193.3	211.94	16.84	55.8	49.07	94.81	108.26	126.21	147.44	50.7
ENSMODG00000015967	14.73	24.86	5.74	24.82	27.19	79.44	46.66	54.63	56.75	50.91	58.16	6.57	31.01	9.3	42.18	17.95	9.01	12.3	2.97
ENSMODG00000019372	5.72	4.43	21.39	0.56	0.75	4.7	13.11	3.19	2.76	2.53	0.62	17.83	5.2	75	1.75	6.5	10.93	11.23	50.25
ENSMODG00000025730	0.42	0	0.16	0.29	0.09	2.39	1.8	1.04	0.88	0	0.63	4.76	2.71	10.51	5.56	1.92	0.93	2.21	1.2
ENSMODG00000010552	16.4	16.67	25.84	16	16.59	19.52	18.05	14.9	13.16	18.22	13.99	29.15	11.38	21.75	6.55	12.87	31.97	52.88	42.8
ENSMODG00000008410	0.4	0.28	0.26	0.61	1.21	0	0.11	0.19	0	0	0	0.13	0.14	5.73	3.43	6.11	0	0	0
ENSMODG00000005949	91.85	99.24	55.73	112.21	105.66	313.19	170.11	144.31	138.47	214.84	255.13	108.97	121.68	175.49	104.41	227.7	174.07	234.36	101.12
Locus_392129	2.63	3.13	2.89	2.15	0.86	1.8	1.2	2.62	3.97	1.93	0	5.33	0.54	1.56	0	0	5.58	2.41	4.68
ENSMODG00000001004	0.1	0.1	0.05	0.11	0.11	0.24	1.11	0.07	0	0	0.19	1.55	0.43	0.04	0	0	10.46	13.53	16.48
Locus_87384	0.76	1.32	0.73	0.87	0.29	0	0	1.59	1.88	0	0.48	3.67	2.02	1.27	1.24	1.33	0.47	0.23	0.19
ENSMODG00000006692	0.18	0.29	1.55	0.32	0.21	0.66	0.26	0.9	0.58	3877.09	3636.41	0.23	0.02	1.22	0.49	7.03	29.83	41.61	25.45
blastnHuman.ENSG00000231061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000016420	7.58	3.88	15.36	3.28	1.29	2.39	6.35	8.54	19.26	6.17	3.29	96.06	30.05	25.55	13.1	7.38	517.21	755.83	2191.58
ENSMODG00000000631	31.56	38.5	100.8	23.62	25.86	20.19	18.3	28.38	40.89	18.21	20.28	53.62	34.62	121.52	96.75	75.67	18.66	21.13	39.29
Locus_322217	0.43	0	1.23	0	0	0	0.69	0	0.9	0	0	0.42	0.15	0.36	0	0	0.79	0	0
ENSMODG00000007816	45.18	54.17	55.9	22.43	25.15	123.35	70.87	10.2	10.82	7.54	11.63	7.67	4.11	24.59	16.46	13.92	95.84	119.92	115.44
ENSMODG00000004783	0.2	0.34	0.08	0.09	0.09	15.71	41.73	0.11	0.51	0	0	1.31	1.52	0.07	0.07	0.25	0.3	0.15	0.24
ENSMODG00000003187	0.01	0	0	0	0	0	0	24.04	6.72	0	0	0.64	0.14	6.52	2.14	15.87	0.19	0.23	0.47
ENSMODG00000025573	3.3	6.34	8.1	1.4	1.04	2.91	0.89	0.42	0.21	0.52	0.39	69.61	14.38	2.87	3.43	2.34	152.06	420.09	257.99
ENSMODG00000015947	5.52	3.73	4.34	3.99	3.05	2.14	2.23	1.28	1.36	1.9	1.93	1.59	1.88	0.51	0.68	1.13	1.78	1.26	1.22
ENSMODG00000023260	4.91	4.76	4.68	8.88	6.67	18.29	15.04	1.38	0.84	0.51	1.51	0.92	1.18	0.74	0	0.21	3.87	3.27	1.73
ENSMODG00000016102	0	0	0	0.07	0	0	0.1	0	0	0	0	0.15	0.2	0.16	0.11	0.07	0	0	0
ENSMODG00000019417	1.65	3.39	3.43	1.13	1.34	0	0	3.65	4	11.81	12.39	19.6	10.75	133.7	24.19	30.02	7.81	6.91	16.5
Locus_232145	0.32	0	0	0	0	0	0	1.18	0.9	4.37	4.84	0.83	1.15	0.71	4.16	1.33	0	0	0.11
Locus_120307	0.47	0.49	0.9	0	0.8	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0
Locus_32414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.54	2.3
Locus_91032	0.18	0	0.7	0	0	1.74	0	0	0	0	0	1.06	0.52	0.3	0	0	0	0	0
Locus_34823	0	0	0.28	0	0	0	0	0	0	0	0	0.29	0	0	0	0	0	0	0.58
ENSMODG00000021363	8.41	7.71	8.09	7.33	9.2	6.04	10.79	11.26	14.22	7.8	12.8	13.24	19.28	10.07	21.87	16.55	10.31	7.86	6.37
Locus_419681	0	0	0	0	0.44	0	0	0	0	0.5	0	0	0.07	0.16	0.17	0.4	0	1.06	0.39
blastnMouse.Locus_40443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000007385	8.01	12.36	22.54	1.25	0.68	5.21	4.2	4.55	3.34	0.25	0	0.34	0.25	0	0.62	0.1	0	0	0.05
ENSMODG00000008572	478.83	293.05	641.41	422.99	347.04	174.74	147.73	54.58	76.04	38.39	16.83	53.64	21.85	61.26	8.19	102.85	29.2	39.46	36.37
Locus_390731	0.46	0.96	0.06	0.08	0	0	0	0	0	0	0	0	0	0	0	0	127.41	208.58	107.19
ENSMODG00000003309	0.75	0.94	0.44	1.17	1.12	12.19	6.72	13.11	6.54	21.87	39.47	1.59	3.85	8.06	8.37	6.08	0.49	0.28	0.38
Locus_99353	1.21	2.23	0.28	0.11	0	0	0	0	0.62	0	0	0.09	0.04	0	0	0	2.71	8.18	2.27
ENSMODG00000024734	0.25	0	0	0	0	2.39	0	0	1.05	0	3.8	0.24	0.18	0.41	0	0	0	0.91	0
Locus_189917	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0.37	0.91	1.88
ENSMODG00000003807	54.17	94.77	78.01	3.49	3.59	0	0.28	49.05	8.49	0	0	0.2	0.71	0.05	1.02	0.12	0.85	1.26	1.06
ENSMODG00000013114	3.88	3.24	2.65	1.78	1.68	0	0	33.89	26.19	38.28	32.72	5.22	7.6	26.62	14.56	21.58	0.46	0.53	0.61
ENSMODG00000002250	19.41	15.96	25.11	16.39	13.47	9.04	8.09	9.48	12.09	23.75	17.54	31.92	14.16	13.92	3.3	4.68	6.76	12.32	10.34
ENSMODG00000002729	7.54	6.06	23.31	6.3	5.71	4.9	7.04	5.79	6.03	4.72	4.92	41.35	10.96	13.07	4.17	9.13	33.11	67.63	93.3
ENSMODG00000014088	1.64	3.76	0.54	5.31	7.33	36.18	22.44	3.46	4.77	2.32	5.58	3.7	6.36	0.84	9.85	6.38	7.96	4.13	1.12
Locus_373633	0.28	1.18	0.27	1.3	0.65	0	0.23	0	0.6	0	0	0.42	2.16	0.24	0.25	0	2.11	2.6	0.71
ENSMODG00000017445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000015328	41.33	49.07	17.11	74.46	50.93	80.54	111.41	169.68	124.96	271.16	153.59	20.45	61.35	34.76	66.36	87.54	84.82	99.95	45.5
blastnMouse.Locus_74309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000023735	0.24	0	0.23	0	0.27	0.58	0.77	4.37	3.05	37.85	7.33	9.54	14.02	18.82	8.15	22.44	0.45	1.32	1.92
Locus_191417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68	1.24	0
ENSMODG00000013118	9.66	8.26	5.1	3.97	5.98	0.67	1.43	7.87	6.37	0	0	3.03	6.22	0.51	0.45	1.52	0.41	0.15	0.06
Locus_391033	0.5	1.38	0.8	0	0.19	0	0.13	0.23	0	0	0	0.24	0.12	0.14	0	0	1.54	1.06	2.72
CUFF.317757	8.77	8.36	5.79	7.48	11.43	22.8	6.43	3.5	6.36	7.75	3.81	7.85	3.81	5.42	1.34	1.57	4.66	15.62	2.75
ENSMODG00000006113	37.68	46.02	35.92	73.36	78.32	87.41	40.65	54.7	44.49	37.57	39.55	33.92	42.88	30.22	52.52	41.25	33.24	36.2	19.76
ENSMODG00000017606	9.46	22.6	10.1	11.12	15.78	0.28	0	1.93	0	0.89	0	19.13	13.94	4.6	4.63	3.74	155.42	129.5	172.14
ENSMODG00000017268	29.92	25.15	30.07	32.77	28.18	9.05	6.59	6.76	8.16	6.18	5.38	6.81	3.87	3.95	2.02	2.33	0.56	0.42	0.49
blastnMouse.CUFF.122810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000023799	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0.22	1.63	0.68	0	0	0
ENSMODG00000016146	1.46	2.43	3.02	4.05	4.31	23.78	36.96	38.83	55.13	43.18	47.15	10.43	8.67	10.68	17.7	7.05	2.52	2.67	2.26
ENSMODG00000012699	2.68	0.51	1	2.08	0.91	2.83	3.38	1.51	2.21	6.91	5.3	2.35	1.62	4.98	0.53	3.21	5.95	6.54	5.86
Locus_372668	0.21	0	0	0	0	0	0	0	0	0	0	0	0.31	0	2.27	0	1.58	0.39	0.42
Locus_88305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08	1.03	2.72
ENSMODG00000007798	24.26	45.43	6.77	37.93	44.07	74.07	47.94	37.29	38.65	23.55	24.08	7.91	13.22	10.52	18.17	12.51	13.06	28.99	5.26
Locus_372858	0	1.28	0	0	0	0	0	0.43	0	0	0	0.3	0	1.28	0	2.26	0	0	0
Locus_319084	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	1.27	0	1.53
Locus_391351	0.11	0	0.22	0.26	0	0	0.54	0.32	0.48	0	0.86	0.22	0	0	0	0	0	0.62	0.68
ENSMODG00000024198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000025610	2.15	0.95	3.05	0.78	0.26	0	1.46	1.9	3.36	1.75	0.86	1.89	11.97	17.16	93.33	255.92	15.17	15.37	14.24
ENSMODG00000015040	202.08	245.56	152.44	264.44	247.47	81.25	42.42	24.6	20.77	38.39	42.2	23.94	23.93	21.14	30.52	19.73	28.38	25.79	18.67
ENSMODG00000016732	3.15	7.68	0.31	4.01	3.77	54.62	66.76	11.13	21.56	8.19	15.47	76.03	200.36	50.56	99.16	86.66	19.25	3.87	2.88
ENSMODG00000022794	2.7	1.56	2.03	1.46	1.2	2.68	4.26	1.32	2.69	1.25	0.5	4.66	3.01	3.87	6.73	2.32	3.43	2.74	5.13
ENSMODG00000002731	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.23	0.38	0	0	0
ENSMODG00000003183	11.6	14.8	12.29	14.14	14.56	18.35	15.78	10.6	8.8	13.07	10.38	10.84	11.55	8.23	16.74	7.66	15.02	16.99	16.02
ENSMODG00000018219	0.56	0.64	0.2	0.35	0.23	0	0	0.43	0.43	4.76	1.56	0	0	0.94	0.73	3.12	0.19	0	0.31
ENSMODG00000001425	0.23	0.63	0.36	0.78	0.17	0.18	0.55	0.42	0	0.59	0	0.07	0.47	0.19	0.27	0.24	4.5	4.23	16.14
Locus_33791	0.21	0.34	0	0.09	0.09	0.2	0.2	0.23	0.7	0	0	0.97	0.42	1.65	0.96	0.17	0.31	0.08	0.7
ENSMODG00000005990	15.09	15.55	28.81	12.78	11.8	15.73	19.38	21.91	19.53	22.66	22.45	43.35	17.15	66.36	10.61	24.01	16.55	24.28	35.67
ENSMODG00000009519	0	0	0	0	0	0	0	0.21	0	0	0	0.73	0.35	0	0.2	0.08	0.14	0.2	0.11
ENSMODG00000015600	128.79	124.09	265.21	108.35	120.42	65.57	51.02	77.44	84.93	90.28	87.05	145.6	87.15	118.55	74.23	73.94	255.74	433.8	350.08
Locus_392570	1.73	5.17	1.59	0	0.09	0	0	0.21	0	0	0	3.79	2.09	0.19	1.21	0.39	1.54	1.24	0.56
blastnPlatypus.Locus_49241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_375084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02	1.66	1.63
ENSMODG00000005273	2.37	3.38	1.67	2.52	3.43	325.39	318.34	2.75	2.94	2.09	2.64	2.72	3.06	56.3	19.39	25.94	5.38	6.36	5.19
Locus_376014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21	0.79	3.02
ENSMODG00000006602	15.1	11.57	24.75	4.93	3.4	4.43	4.02	2.5	3.15	0.77	0.45	25.06	6.56	9.53	0.58	1	10.43	11.1	27.37
Locus_193360	0	0	0	0.35	0	0	0	0.43	0.65	0	1.16	3.29	1.44	0.25	0	0.32	0	0.28	0.46
ENSMODG00000023889	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0.56	0	0.15
ENSMODG00000008557	4.02	8.01	2.69	9.63	12.88	207.58	107.69	44.07	50.26	25.52	67.84	148.45	95.37	73.63	60.21	63.44	80.76	53.28	24.33
ENSMODG00000013613	27.56	48.51	39.1	35.83	43.27	39.88	28.97	45.33	47.9	35.22	35.73	44.31	27.86	61.75	99.44	45.22	30.55	37.72	27.34
ENSMODG00000014646	22.52	13.6	23.24	12.36	10.04	5.08	8.12	5.92	5.17	2.1	4.35	7.82	9.09	9.63	5.67	5.98	33.05	24.82	45.7
ENSMODG00000023305	1.36	2.72	1.6	0.95	0.41	0	0.29	0.83	0	0	0	32.33	35.87	3.45	4.65	2.86	41.88	72.72	109.73
ENSMODG00000021071	0.81	0.52	0.84	0	0	0.9	0.5	0.35	0.26	0	0.95	3.48	5.95	0.93	1.89	1.04	0.46	0.23	0.37
ENSMODG00000011337	387.71	389.9	172.16	366.59	335.77	225.71	133.25	176.3	127.21	109.25	108.66	52.39	121.36	67.47	133.05	143.7	21.66	26.7	12.49
ENSMODG00000023748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000020481	22.24	25.31	66.25	8.1	8.66	1.15	0.75	0.15	0.18	0.84	0.75	1.88	1.17	0.58	0.12	0.27	0.81	0.86	2.71
ENSMODG00000014651	283.73	386.41	530.94	411.63	466.65	1061.68	775.09	307.61	384.28	477.71	513.05	301.29	292.98	686.22	733.71	706.67	767.52	364.23	1290.26
Locus_391478	0	0	0	0.27	0	0	0.37	0.33	0.49	0	0	0.34	0.08	0	0.21	0.24	0	0	0
Locus_89207	0.09	0.59	0.63	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0.35	1.03	1.88
Locus_315645	0.2	0	0.19	0	0	0	0.16	0	0.42	0	0	2.42	1.14	0	0	0	0.37	0	0.2
Locus_313637	0	0	0.24	0	0	0.6	0	0	0	0	0	1.97	0.64	0	0	0	0	0	0
ENSMODG00000005675	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
ENSMODG00000018087	0	0	0	0	0	0	0	13.12	11.22	0	0	0	0	0	0	0	1.34	0.81	0.77
ENSMODG00000007113	0.71	0.64	0.69	1.64	3.14	1.47	1.39	0.57	0.43	7.63	12.82	1.8	4.17	0.93	11.73	3.31	6.07	4.49	2.04
Locus_189003	0.56	0	0.15	1.28	0.91	7.24	3.96	0.44	1.35	0	0	0.16	0.12	0	0	0	0.3	0	0.08
Locus_376030	0	0	0.17	0	0	0.43	0	0	0	0	0	0	0	0	0	0	0.34	0.83	3.16
ENSMODG00000002977	35.47	65.69	83.22	8.31	8.63	0	0.13	0.57	0.52	0	0	2.25	2.59	0.14	0.07	0	19.73	20.58	31.5
ENSMODG00000005351	188.93	246.92	193.85	40.14	64.97	0.3	0.23	0.06	0.09	0	0	1.91	1.31	0.19	0.2	1.19	0.19	0.61	0.35
ENSMODG00000000788	8.2	12.93	6.23	60.28	92.85	156.77	64.91	61.75	54.49	15.63	16.78	4.59	6.53	185.43	355.15	191.07	13.83	11.24	5.7
ENSMODG00000023754	27.35	42.31	36.99	36.97	46.28	42.13	22.37	18.13	29.76	19.53	29.87	18.01	11.65	18	25.8	6.23	257.52	351.7	238.77
ENSMODG00000019551	0.22	0	0.42	0	0	0	0	0	0	0	0	2.14	6.66	0.36	0.78	2.75	55.38	43.78	16.16
Locus_320875	0.14	0	0.27	0	0	0	0	0	0	0	0	0.14	0.1	0.23	0	0	1.56	1.02	9.33
blastnHuman.XLOC_005815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000010689	8.22	8.89	3.96	8.21	15.1	20.78	10.87	11.48	16.42	18.83	29.55	1.27	3.52	5.19	25.64	21.2	5.94	10.6	2.73
ENSMODG00000017935	0.1	0	0.08	0.05	0	0	0.03	0	0	0	0	0.02	0	0.03	0	0.08	0.15	0	0.14
ENSMODG00000004594	0.73	0.32	0.41	0.21	0.14	1.38	1.17	0.59	0.58	14.79	12.36	2.51	2.17	1.74	3.19	1.43	91.63	109.2	106.24
ENSMODG00000006889	1.75	2.03	1.33	2.24	1.96	4.54	5.99	9.85	9.1	14.2	13.76	6.82	8.91	4.25	5.88	6.85	4.8	4.42	2.63
ENSMODG00000002566	0.14	0	0.16	0	0	0	0	0.77	0.23	0.14	0	2.61	4.33	0.14	0.15	0	0.62	1.58	1.3
ENSMODG00000005974	6.2	3.28	3.9	4.09	2.56	26.28	16.05	6.29	3.78	2.48	2.25	2.8	1.43	4.25	0.86	2.06	4.35	3.61	3.86
ENSMODG00000008396	0.3	0.3	0.24	0.25	0.24	2.82	0.14	1.84	2.26	0.28	0.14	1.01	2.6	0.5	0.19	0.67	1.26	1.24	0.85
ENSMODG00000018687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.83	0	0.33
CUFF.113702	0	0	0	0	0	0	0	0	0	0	0	1.22	0.07	0	0	0	0	0	0
ENSMODG00000012644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34
Locus_228802	0.25	0	0	0.57	0.56	0	0	0	0	0	0	0.12	0.09	0	0	0	0	0	0
ENSMODG00000012053	8.71	10.97	8.91	12.61	12.35	11.03	7.2	18.76	18.68	28.22	32.82	12.61	11.32	16.43	15.86	22.13	11.67	12.09	10.72
ENSMODG00000021519	1.94	2.55	1.53	0.62	0.78	0	0	0	0	0	0	0.02	0.05	0	0.02	0	0.41	0.56	0.23
ENSMODG00000007573	81.63	61.95	67.38	105.32	108.35	73.3	40.56	14.43	12.98	53.07	59.93	11.46	9.99	20.82	11.23	18.6	21.16	16.06	17.43
Locus_375181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04	0.68	0.74
ENSMODG00000005958	13.46	13.08	33.89	7.09	6	2.91	6.33	11.3	12.2	5.74	8.47	48.53	22.59	59.58	29.67	25.96	5.27	6.03	17.86
ENSMODG00000010720	0.07	8.75	0	0.42	0.08	1.06	0.65	3.08	3.58	0.38	0.28	1.05	2.29	3.55	5.64	3.24	0.14	0.41	0.44
blastnMouse.Locus_52928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_316811	0.61	1.82	4.03	0.6	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000015093	1.83	4.46	5.57	1.41	1.23	12.26	5.96	3.05	4.68	1379.16	1880.5	49.27	36.9	9.21	19.75	9.66	23.58	31.03	52.55
ENSMODG00000000220	102.14	98.84	176.46	72.89	76.53	46.69	42.96	21.43	20.85	28.55	21.76	31.02	20.9	47.22	15.53	28.76	12.22	14.65	19.32
Locus_91259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.24	3.69	0.8
Locus_391100	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0.93	0	0.81	1.55
ENSMODG00000009341	1.11	2.13	0.63	3.2	1.8	4.67	4.02	2.59	5.5	0.96	1.41	4.63	5.24	14.36	18.04	12.06	5.87	8.17	8.1
ENSMODG00000014003	22.17	27.14	29.99	54.08	50.86	68.66	37.21	30.43	34.33	35.44	31.73	25.84	23.39	29.32	61.13	30.33	20.66	24.26	17.06
ENSMODG00000020848	0	0	0	0	0	0	0	0	0	0	0	0.02	0.13	0	0	0	2.46	1.3	1.44
ENSMODG00000005184	39.18	66.45	80.41	57.36	75.61	21.97	24.94	31.97	46.89	83.34	70.83	79.48	93.2	36.72	189.48	61.72	22.94	27.94	22.53
ENSMODG00000006372	8.02	5.91	11.55	5.85	5.5	3.5	6.75	3.83	3.28	3.2	3.88	8.71	4.9	14.88	1.89	7.47	10.21	9.66	17.7
blastnGorilla.Locus_338001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_33458	0.28	0.29	0.13	0.16	0	1.34	1.35	0	0	0.36	0	0.55	0.05	0.12	0	0	0	0.13	0.42
ENSMODG00000009358	19.1	29.95	25.32	3.72	2.65	0.39	0.13	0	0	0	0	1.93	2.58	0.4	0.34	0.17	0.4	0.4	0.59
ENSMODG00000007617	3.24	6.38	9.81	1.88	2.71	0.5	0.52	1.45	1.38	0.08	0.57	37.94	10.3	1.78	1.91	0.53	38.26	51.75	173.21
ENSMODG00000001236	100.26	143.33	521.68	96.89	111.22	79.86	71.74	66.87	71.6	86.6	69.74	382.55	88.03	227.29	102.39	78.98	84.61	212.69	244.51
Locus_376652	0.18	0.74	0.34	0	0	0	0	0	0	0	0	1.21	0.26	0	0	0	0	0	0
ENSMODG00000014036	17.92	17.32	20.54	17.2	25.44	37.84	30.85	14.1	16.53	11.75	21.08	9.41	9.66	10.57	11.9	11.09	19.07	21.05	20.54
ENSMODG00000002955	4.17	1	38.84	1.84	1.28	4.22	7.07	3.58	7.79	23.94	17.67	27.51	4.23	44.21	4.71	6.71	2.08	2.64	18.12
ENSMODG00000023369	26.67	19.99	9.05	30.17	21.87	56.05	40.64	172.18	140.35	142.38	173.75	11.17	19.43	85.66	132.47	177.58	10.34	20.74	5.35
ENSMODG00000000317	1.97	1.83	0.98	1.01	2	0.35	0.82	1.02	1.85	0	0	2.14	5.6	0	1.04	0	148.23	152.08	82.64
ENSMODG00000017494	4.7	9.54	3.09	7.81	8.74	8	4.71	3.64	2.59	2.92	2.95	1.53	1.71	1.03	2.34	1.11	20.12	12.14	6.08
ENSMODG00000007927	9.42	4.41	7.03	6.62	4.82	4.6	5.24	7.78	4.88	12.88	8.05	4.8	3.75	7.19	3.42	6.04	6.07	7.75	4.41
Locus_373986	0.92	1.35	2.24	1.86	1.85	0.13	0.69	0.23	0.34	0	0.21	1.19	0.63	0.49	0.63	0.28	1.31	9.76	5.58
ENSMODG00000018859	0	0	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	1.48	1.34	1.19
Locus_317778	0	0	0	0	0	0	0	0.33	0	0	0	0.8	0	0	0	0	1.3	2.57	1.51
ENSMODG00000017744	100.97	182.22	392.33	139.53	130.47	138.3	214	79.51	122.11	195.51	165.83	148.74	34.75	346.43	176.37	92.36	56.59	128.22	216.41
ENSMODG00000009747	0.13	0.69	0.16	0.1	0	1	0.33	0.23	0	0.64	1.9	0.82	0.54	2.7	0.97	1.92	0	0.31	0.12
ENSMODG00000000709	1.08	1.8	0.83	0	0.25	488.76	233.28	0.6	0.46	0	0	0	0.16	0	0	0	3.2	1.78	4.19
ENSMODG00000016412	5.9	5.79	5.6	4.01	4.07	2.49	2.37	4.13	4.4	2.88	3.11	3.5	3.33	3.66	2.59	5.51	5.95	4.15	4.77
ENSMODG00000008685	10.73	8.79	8.58	6.96	5.12	6.44	7.44	6.14	6.46	11.98	15.18	8.77	10.58	16.57	16.43	21.15	22.2	21.7	22.32
Locus_122632	0	0	0.38	0	0	0	0.32	1.67	0.84	0	0	0.39	0	0.66	1.06	0	0.74	0	0.2
ENSMODG00000003887	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0
Locus_88858	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	1.69	1.25	0
ENSMODG00000017418	0	0	0	0.14	0.14	0	0	0	0	0.32	0	0.06	0.04	0	0	0	0	0	0
ENSMODG00000012210	50.54	117.99	78.91	77.73	91.66	458.59	370.12	333.02	240.49	361.26	372.43	77.39	88.79	115.69	226.26	187.23	63.9	39.27	52.73
ENSMODG00000012254	19.41	23.05	19.43	3.7	2.63	7.48	5.29	11.07	10.12	3.78	23.24	2.45	1.93	3.54	1.24	0.68	70.1	54.35	62.69
ENSMODG00000011719	21.95	18.67	11.09	9.38	13.26	0.17	0	7.22	2.79	0	0	0.05	0.13	0.03	0	0	0.13	0.03	0.09
Locus_99296	10.16	7.3	21.39	3.74	3.71	0	0.03	0.74	0.95	0.52	0.31	0.52	0.19	0.34	0.04	0	0.08	0.07	0.12
ENSMODG00000012219	24.13	25.48	57.55	25.86	23.36	14.06	14.76	13.13	12.42	14.21	9.35	33.83	16.54	25.16	9.34	12.49	13.47	23.12	42.77
ENSMODG00000011663	7.39	8.01	4.97	6.35	8.65	0.44	1.43	1.79	2.22	3.53	2.44	2.33	6.45	1.48	5.38	2.63	3.23	3.9	2.01
ENSMODG00000020513	5.54	4.38	10.43	3.35	2.91	2.7	3.69	3.78	3.6	3.53	5.56	12.26	6.49	15.31	2.47	8.29	3.11	3.07	5.55
ENSMODG00000003945	5.04	4.77	3.83	2.82	2.99	6.08	7.75	8.75	4.83	16.58	13.86	7.75	18.32	7.46	12.83	13.48	15.74	15.91	13.04
