Gene	Brain_Male2ss	Brain_Male7	EmbryonicBrain_Indiv1	EmbryonicBrain_Indiv2	EmbryonicLiver_Indiv1	Ovary_Female3	Placenta_Indiv3	Placenta_Indiv4	Placenta_Male1	Testis_Male3
XLOC_012662	0	0	1.38	0.31	0	0	0	0	0	0
blastnOrangutan.Locus_240669	0	0	0	0	0	0	0	0	0	0
ENSG00000183246	0.02	0	0.06	0.22	0	0.01	0	0.01	0.01	0.27
ENSG00000170293	0.49	0.19	0	0	4.22	1.36	3.44	4.52	1.98	0.13
ENSG00000186847	0	0	0	0	0.21	36.44	74.95	12.53	46.3	0.05
ENSG00000163714	8.61	14.86	12.46	11.21	21.13	8.52	3.98	2.94	10.42	20.46
blastnGorilla.Locus_352895	0	0	0	0	0	0	0	0	0	0.5
ENSG00000124225	10.66	10.62	5.42	5.02	0.09	9.44	5.5	3.05	3.49	1.45
ENSG00000100036	0.58	0.82	0.6	0.22	0	0.62	0.27	0.29	0.17	1.18
ENSG00000136011	0	0.01	0	0	46.72	1.35	0.49	0.19	0.28	2.42
ENSG00000119523	6.76	4.07	4.33	7.07	18.13	10.48	16.24	16.32	11.62	6.19
ENSG00000051108	31.16	18	7.36	7.89	52.67	56.29	87.38	75.16	36	12.37
ENSG00000138119	0.53	0.87	0.76	1.4	1.9	8.34	29.19	28.44	32.93	0.78
ENSG00000132507	30.07	19.2	9.35	7.26	18.96	34.52	77.92	95.59	46.61	24.43
ENSG00000134318	21.98	55.02	8.63	7.31	18.2	6.09	5.5	3.3	25.6	10.1
blastnGorilla.Locus_294325	0	0	0	0	0	0	0	0	0	0
blastnGorilla.CUFF.202038	0	0	0	0	0	0	0	0	0	0.18
ENSG00000256232	0	0.05	0	0	0	0.08	0.15	0.33	0.23	0.16
ENSG00000136805	3.93	20.4	15	15.6	0	1.04	0.03	0	0.04	2.1
ENSG00000164125	11.91	6.26	2.66	2.57	8.84	36.45	6.06	3.55	6.71	2.66
ENSG00000115221	0	0	0	0	0.41	0.79	6.36	3.07	3.72	1.05
ENSG00000172548	0.83	1.31	0	0	0	0.26	0.17	0.25	0.04	0.03
ENSG00000227282	0	0	0	0	0	0	0	0	0	0.13
ENSG00000167771	3.79	4.1	7.7	6.14	0	0.96	0.66	0.34	1.01	1.7
ENSG00000152284	0.42	0.38	0.67	0.35	1.21	7.78	3.88	4.38	2.58	2.04
ENSG00000163029	4.71	8.98	2.02	1.74	6.68	2.2	1.5	1.09	9.19	48.26
ENSG00000255918	0	0	0	0	0	0	0	0	0	0
ENSG00000137261	11.05	9.83	18.51	20.86	0	0.04	0.14	0.01	0.03	0.76
blastnGorilla.Locus_105721	0	0	0	0	0	0	0	0	0	0.17
ENSG00000185666	0.83	3.16	4.68	3.89	0.13	0.01	0.98	0.94	0.44	0.71
ENSG00000107951	3.24	2.35	4.72	4.56	4.04	3.33	1.85	2.09	2.03	10.59
ENSG00000128989	107.72	121.09	22.19	24.03	30.84	15.15	15.89	15.46	15.79	19.42
ENSG00000184465	1.52	2.01	9.88	7.15	3.43	4.11	0.32	0.51	0.32	5.83
ENSG00000168398	0.4	0.65	0.12	0.09	0.03	0.96	0.68	0.45	2.58	0.25
ENSG00000169299	1.78	1.54	3.01	1.82	4.34	6.84	11.43	7.93	7.72	2.55
Locus_193154	0	0	0	0	0	0	0	0	0	2.47
ENSG00000077498	0	0	0	0	0	0	0	0	0	0
ENSG00000204519	0.42	0.8	6.2	4.01	4.86	0.59	0.85	1.03	1.36	1.89
ENSG00000135414	3.98	8.54	8.46	7.96	0.63	1.97	1.1	0.89	1.65	0.89
ENSG00000008382	6.51	7.45	5.26	4.18	2.65	4.4	8.12	11.13	5.3	2.08
ENSG00000230404	0	0	0	0	0	0	0	0	0	0.64
blastnMacaque.Locus_427288	0	0	0	0	0	0	0	0	0	0
ENSG00000173559	0.81	0.83	1.38	1.21	6.6	3.63	2.53	2.6	3.32	7.05
ENSG00000148187	7.56	6.86	4.48	6.42	18.54	5.12	3.33	4.72	6.64	20.11
ENSG00000108469	1.71	2.75	1.05	1.11	0.93	2.76	2.9	2.78	2.35	4.32
blastnMouse.Locus_82598	0	0	0	0	0	0	0	0	0	0
ENSG00000118777	5.81	6.01	3.2	3.59	15.26	2.99	7.1	5.9	4.96	0.99
blastnPan.CUFF.264258	0	0	0	0	0	0	0	0	0	0.34
ENSG00000172572	0.45	0.28	0.89	1.22	3.14	2.15	6.16	6.2	3.94	0.41
ENSG00000177156	25.98	16.84	6.26	3.82	9.72	35.26	42.33	50.13	30.47	11.69
ENSG00000164708	1.56	1.25	0.41	1.45	0.57	0.95	1.43	0.08	0	64.59
ENSG00000129158	17.11	14.25	2.36	3.27	4.63	4.81	1.23	1.96	2.38	2.96
blastnMacaque.Locus_370579	0	0.8	0	0	0	0.32	0	0	0	0.33
ENSG00000128564	13.85	11.54	1.4	1.01	0	0.03	0.21	0.16	0.06	0.11
blastnPan.CUFF.171036	0.05	0.04	0	0	0	0	0	0	0.02	0
blastnMacaque.Locus_192001	0	0.26	0	0	0	0	0	0	0	0
ENSG00000070759	1.69	2.24	0.3	0.41	2.81	2.54	1.64	1.61	3.24	7.39
ENSG00000134152	4.95	4.97	12.51	10.64	8.44	4.45	4.18	2.76	3.15	5.76
Locus_159294	0	0	0	0	0	0.25	0	0	0.15	0.53
ENSG00000206181	0	0	0	0	0	0	0	0	0	2.03
ENSG00000166825	0.07	0.17	0.27	0.12	55.73	5.09	28	25.83	16.62	0.4
ENSG00000251270	0	0	0	0	0	0	0	0	0	0.27
ENSG00000105483	0.78	0.86	2.58	2.4	4.33	2.6	4.54	4.75	2.29	3.22
blastnMacaque.Locus_372335	0.24	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_209641	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_312405	0	0	0	0	0	0	0	0	0	0.08
ENSG00000163848	3.63	3.62	12.53	13.08	18.63	4.06	2.48	1.25	2.32	3.25
ENSG00000187855	0.05	0.02	0	0	0	0.01	0	0	0	0.03
blastnPan.CUFF.107341	0	0	0	0	0	0	0	0	0	0
ENSG00000213471	0.25	0.37	0.06	0.04	0	0.09	0.07	0.02	0.04	18.32
ENSG00000174982	0	0	0	0	0	0	0	0	0	0
Locus_174255	0	0	0	0	0	0	0	0	0	2.77
blastnMouse.Locus_45878	0	0	3.48	0.79	0	0	0	0	0	0
Locus_37963	0	0	0	0	0	0	0	0	0	0.45
blastnMacaque.Locus_188899	0	0.24	0	0	0	0	0	0	0	0
ENSG00000141979	0.08	0.1	0	0	0	0.1	0	0	0	114.23
blastnGorilla.Locus_224321	0	0	0	0	0	0	0.26	0	0	0.14
ENSG00000154478	2.41	5.36	2.18	2.31	0	0	0	0	0	0.05
ENSG00000106038	0	0	0	0	0	0.1	0.03	0.03	0.03	0.05
blastnMacaque.Locus_100926	0	0	0	0	0	0	0	0	0	0
ENSG00000233860	0.19	0.08	0.63	0.32	0	0.31	0.23	0	0	0.06
ENSG00000235740	0	0	0	0	0	0	0	0	0	8.79
ENSG00000172456	0.91	0.67	1.33	1.4	4.07	0.71	0.65	0.97	1.15	1.41
ENSG00000180304	103.22	135.63	44.42	28.95	46.86	47.71	81.59	105.47	99.52	102.43
ENSG00000138801	41.58	40.42	19.88	15.58	6.39	11.91	10.59	10.26	15.11	12.03
ENSG00000127914	12.37	46.26	12.96	10.35	17.15	3.85	1.27	0.61	24.67	27.13
ENSG00000225378	0	0	0	0	0	0	0	0.12	0	0
blastnPan.Locus_129568	0	0	0	0	0	0	0	0	0	0.09
blastnMacaque.Locus_339448	0	0	0	0	0	0	0	0	0	0
ENSG00000116996	0	0	0	0	0	0.08	0.61	0.2	0.09	0
Locus_103033	0	0	0	0	0	0	0	0	0	2.86
blastnMacaque.Locus_313880	0	0	0	0	0	0	0	0	0	0
ENSG00000248630	0	0.01	0	0	0	0	0	0	0	0
blastnGorilla.Locus_132898	0	0.22	1.8	0.31	0	0	0	0	0	0
blastnPan.CUFF.296990	0	0	0	0	0	0	0	0	0	0
ENSG00000166068	9.96	10.62	13.46	12.71	10.11	4.99	5.16	3.43	3.99	2.42
ENSG00000177614	20.2	23.84	21.02	27.57	2.05	0.92	1.24	0.86	1.12	2.7
blastnGorilla.Locus_149573	0	0.27	1.1	2.52	3.45	0.05	0	0	0.13	0.06
ENSG00000112473	12.46	26.67	7.16	9.55	14.63	30.05	79.84	80.76	110.57	23.85
ENSG00000249818	0	0	0	0	0	0	0	0	0	3.25
ENSG00000236172	0	0	0	0	0	0	0	0	0	12.29
ENSG00000167371	39.61	34.36	10.1	11.21	0	7.11	0.84	0.85	0.29	2.05
blastnPan.Locus_178157	0	0	0	0	0	0	0	0	0	0
ENSG00000237330	0	0	0	0	0	0.12	2.41	0.69	0.32	0
Locus_117709	0	0	0	0	0	0	0	0	0	1.36
ENSG00000114857	5.01	12.17	12.21	13.22	15.91	5.91	1.51	1.2	3.46	15.56
blastnMacaque.Locus_62423	0	0	0	0	0	0	0	0	0	0
ENSG00000232558	0	0.11	0	0	0	0	0	0	0	0
ENSG00000152684	4.56	3.43	5.98	4.68	16.39	4.26	11.71	11.5	10.46	3.48
ENSG00000164093	0	0	0	0	0	0.03	8.62	8.14	26.85	0.33
ENSG00000254552	0	0	0	0	0	0	0	0	0	0.37
ENSG00000250411	0	0	0	0	0	0	0	0	0.6	4.99
ENSG00000235711	1.86	1.93	0	0	0.13	0.01	0.01	0	0	0.05
blastnGorilla.Locus_441960	0	0	0	0	0	0	0	0	0	0
ENSG00000132016	0.45	0.51	4.44	2.38	0.58	0.51	0.26	0.34	0.27	2.99
Locus_12199	0	0	0	0	0	0	0	0	0	0
ENSG00000221890	51.62	53.7	12.28	11.89	0.12	1.77	0.25	0.24	0.28	1.08
ENSG00000168348	0.89	0.46	0	0.02	0	0.01	0	0	0	0.14
ENSG00000226684	0.25	0.21	6.85	8.29	0	0.08	0	0	0	1.66
blastnOrangutan.Locus_266447	0	0	0	0	0	0	0	0	0	0.27
CUFF.44781	0.1	0.13	0	0	0	0.03	0	0	0.04	0.14
ENSG00000172671	0.65	0.46	1.31	1.37	4.48	1.11	0.39	0.43	0.42	27.85
XLOC_011549	0	0	0	0	3.26	0.05	0.1	0	0.77	0.37
ENSG00000182628	12.26	11.27	8.93	9.87	9.01	7.28	5.55	4.81	13	7.21
ENSG00000160219	0.33	0.4	0.07	0.12	6.33	0.78	1.78	1.2	1.32	2.63
ENSG00000155100	3.41	6.38	2.8	3.78	3.92	3.09	1.84	1.81	2.48	3.33
blastnMouse.ENSMUSG00000086243	0	0	0	0	0	0	0	0	0	0
ENSG00000183255	15.83	9.08	22.18	20.3	33.86	80.37	130.89	124.82	74.98	33.12
ENSG00000133026	36.09	91.37	18.7	19.28	17.39	15.07	37.45	35.33	116.01	11.08
Locus_147168	0	0	0	0	0	0	0	0	0	2.64
ENSG00000165556	0	0	0	0	0	3.9	0	0	0.02	0
ENSG00000187492	0	0.04	0	0	0	0.16	0.04	0.04	0.02	2.54
ENSG00000183054	0.03	0.02	0	0	0	0	0	0	0.01	0.04
blastnOrangutan.Locus_79735	0	0	0	0	0	0	0	0	0	0.23
ENSG00000171129	0	0	0	0	0	0	0	0	0	0
ENSG00000176937	0	0	0	0	0	0	0	0	0	0
ENSG00000143437	5.21	8.12	8.35	7.85	12.82	10.34	11.49	12.65	21.56	13.23
ENSG00000134590	76.89	25.23	38.08	33.56	11.74	62.07	100.6	114.62	16.31	4.53
ENSG00000111726	43.2	61.16	6.91	3.73	24.34	17.25	16.71	12.74	30.5	54.99
ENSG00000111229	10.9	5.91	6.2	5.3	8.2	17.37	28.37	29.71	12.51	4.52
ENSG00000198783	14.32	14.27	2.42	2.64	2.94	8.05	7.26	9.33	18.07	24.05
CUFF.13514	0.1	0.04	0	0.06	0	0.07	0	0	0	0.07
ENSG00000244482	0	0.01	0	0	0.4	0.36	2.14	1.53	0.87	0.03
blastnOrangutan.Locus_34993	0	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_18862	0	0	0	0	0	0	0	0	0	0.16
ENSG00000228033	0	0	0	0	0	0	0	0	0	1.37
ENSG00000109689	9.09	13.52	5.51	7.06	3.56	5.81	3.63	2.31	6.76	8.2
Locus_62806	0	0	0	0	0	0	0	0	0	0.72
ENSG00000163995	8.29	8.35	2.53	3.03	0.12	0.56	0.73	0.27	0.79	0.25
ENSG00000134954	2.7	3.58	2.91	3.42	17.08	13.06	20.77	20.48	13.54	3.1
Locus_103123	0	0	0	0	0	0	0	0	0	0.05
blastnMacaque.Locus_313912	0	0	0	0	0	0	0	0	0	0.36
ENSG00000205835	0.08	0.03	0.14	0.19	2.24	0.05	0.07	0.04	0.12	0.41
ENSG00000104237	0.02	0.01	0.03	0.05	0	0.05	0.03	0.01	0.17	0.66
ENSG00000153822	2.45	0.98	0.31	0.59	0.11	0.58	1.1	0.16	1.01	0.29
ENSG00000232628	0.21	0.04	0	0	0	0.11	0	0	0	0
ENSG00000115216	19.65	20.81	14.83	15.35	20.21	19.85	41.02	54.07	46.5	30.34
ENSG00000170624	0.81	0.81	1.17	0.76	1.56	3.43	0.23	0.14	0.15	0.3
ENSG00000244067	0	0	0	0	4.23	0.49	0.31	0.05	0.03	6.86
ENSG00000167705	3.46	4.15	0.6	0.54	8.47	2.16	5.55	7.05	4.19	1.64
blastnMacaque.Locus_99932	0.4	0	0	0	0	0	0.12	0	0	0.07
ENSG00000119138	19.66	18.24	1.55	1.51	19.01	32.55	4.27	5.65	2.47	2.63
blastnMacaque.Locus_289844	0	0	0	0	0	0	0	0	0	0
ENSG00000106333	0.27	0.16	0.23	0.28	1.09	22.95	21.78	17.08	9.72	2
ENSG00000151364	0.51	0.43	0.54	1.14	0	2.05	2.07	2.1	0.54	0.29
ENSG00000250921	0	0	0	0	0	0	0	0	0	0.19
ENSG00000163631	0.18	0.09	54.87	43.12	75228.18	0.1	1.8	0.89	0	1.12
ENSG00000148019	2.48	3.44	3.44	3.96	4.97	1.54	0.82	0.81	2.76	6.04
blastnGorilla.Locus_177370	0	0	0	0	0	0	0	0	0	0
ENSG00000177946	4.95	6.88	5.03	3.5	1.87	2.19	3.36	3.84	4.42	6.81
CUFF.282822	0	0	0	0	3.99	0.33	0	0	0	0
Locus_121174	0	0	0	0	0	0	0	0	0	0.57
ENSG00000101294	4.37	5.1	7.87	7.56	5.45	13.78	41.14	29.82	20.95	4.67
blastnMacaque.Locus_395819	0	0	0	0	0	0.08	0	0.16	0	0
Locus_38008	0	0	0	0	0	0	0	0	0	1.87
ENSG00000164187	15.21	15.82	9.31	11.17	13.47	1.66	2.28	0.97	2.53	3.31
ENSG00000154553	0.72	0.38	1.79	1.69	4.01	11.83	3.75	5.51	1.21	0.72
ENSG00000136492	0.2	0.22	2.91	2.62	6.54	0.67	0.26	0.33	1.09	11.39
Locus_193884	0	0	0	0	0	0	0	0	0	2.38
Locus_100419	0	0	0	0	0	0	0	0	0	3.21
ENSG00000074603	9.78	10.19	7	7.28	8.04	3.68	3.26	2.5	3.07	7.57
ENSG00000251443	0	0	0	0	0	0	0	0	0	0
ENSG00000132518	0.1	0.13	0.17	0.08	0.91	0.07	0.04	0.01	0.02	0.64
ENSG00000251556	0	0	0	0	0	0	0	0	0	0.89
blastnMouse.CUFF.226927	0	0	0	0	0	0	0	0	0	0
blastnPan.Locus_159764	0	0	0	0	0	0	0	0	0	0
ENSG00000197803	3.46	0.83	5.66	3.71	3.81	4.69	1.16	1.61	1.25	0.9
blastnMouse.Locus_87099	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_473673	0	0	0	0	0	0	0	0	0	0.22
blastnPan.CUFF.147657	0	0	0	0	0	0	0	0	0	0
ENSG00000137960	0.36	0.11	0.08	0	15.11	1.5	1.65	1	1.82	0.89
ENSG00000087266	0.49	0.55	4.88	5.06	1.76	2.24	2.8	2.67	0.88	0.59
ENSG00000152104	0.15	0.68	0.48	0.33	0.52	0.29	1.17	1.07	2.26	1.22
Locus_147489	0	0	0	0	0	0	0.52	0.29	0.48	0
blastnMacaque.Locus_273395	0	0	0	0	0	0	0	0	0	0
ENSG00000169605	0	0	0	0	0	0.09	16.52	3.19	0.24	0
ENSG00000233928	0.67	0.35	0.56	0.19	0	0	0	0	0	0
Locus_101902	0	0	0	0	0	0	0	0	0	1.57
ENSG00000237541	0	0.17	0	0	6.87	4.8	3.72	2.64	1.91	0.63
ENSG00000128829	9.95	15.19	7.39	7.89	17.22	6.74	10.21	10.87	21.46	7.23
ENSG00000197102	61.67	113.12	103.74	97.99	24.47	12.98	22.05	18	27.03	39.99
ENSG00000123576	0	0	0	0	0	0	0.43	0.09	0.24	9.35
blastnGorilla.Locus_441105	0	0	0	0	0	0	0	0	0	0
ENSG00000092098	5.01	4.6	4.07	1.72	1.65	7.53	10.71	10.16	6.86	8.56
ENSG00000186924	0	0	0	0	0	0	0	0	0	0
ENSG00000138031	7.04	8.74	9.03	7.53	0.28	12.07	23.88	24.54	14.53	1.44
ENSG00000102053	1.63	1.91	2.66	3.2	1.11	0.59	0.03	0.02	0.03	0.05
ENSG00000166275	15.67	7.49	8.75	8.62	24.35	9.34	8.51	7.4	8.86	7.97
blastnMacaque.Locus_115593	0	0	0	0	0	0	0	0	0	0
ENSG00000254846	0	0	0	0	0	0.07	0.14	0	0	0
blastnMacaque.Locus_188495	0	0	0	0	0	0	0	0	0	2.3
ENSG00000137558	0.27	0.16	0.51	0.45	3.43	2.01	0.13	0.07	0.06	0.02
ENSG00000205020	0	0	0	0	0	0.38	0.24	0.27	0	0
ENSG00000137411	2.32	5.09	6.34	5.45	2.58	3.38	2.05	2.84	2.27	2.75
blastnMacaque.CUFF.283664	0	0	0	0	0	0	0	0	0	0
ENSG00000181585	4.27	5.42	2.8	1.06	0.34	0.42	0.55	0.47	0.57	1.59
ENSG00000136643	10.78	12.03	10.05	10.29	11.41	3.92	3.47	2.85	4.01	13.08
Locus_76723	0	0	0	0	0	0	0	0	0	7.57
ENSG00000234917	5.69	1.37	3.51	2.58	0	0.28	0	0	0.07	2.02
ENSG00000249022	0	0	0	0	0	0.06	0	0	0	0
ENSG00000183389	0	0	0	0	0	0	0	0	0	0
ENSG00000153936	4.4	2.94	4.33	4.78	8.9	4.47	3.05	1.7	1.9	1.83
blastnPan.Locus_106186	0.33	0.14	0	0	0	0	0	0	0	0.46
ENSG00000140750	3.07	5.23	10.33	8.04	9.13	8.48	24.16	25.26	24.76	15.28
blastnPan.CUFF.227983	0	0.39	0	0	0	0	0	0	0	0
ENSG00000122678	0.92	0.76	2.14	1.48	0.38	4.84	2.75	3.19	1.05	1.3
blastnGorilla.Locus_73777	0.88	0.73	0	0	0	0	0	0	0	0.3
ENSG00000143001	0.08	0.1	0	0	0	0.15	0.24	0.21	0	0.05
ENSG00000124459	2.55	2.53	6.74	3.98	7.23	2.63	1.81	2.13	2.98	2.15
ENSG00000178235	15.95	16.26	26.94	23.05	0	0	0.01	0	0	0.01
ENSG00000229206	0	0.7	33.79	35.15	0	0	0	0	0	0.08
ENSG00000128534	1.47	1.51	3.46	3.27	2.78	4.43	1.98	2.42	3.31	4.35
ENSG00000104804	0.31	0.72	0.15	0.23	0	0.19	0.03	0.09	0.05	13.86
blastnPan.Locus_177998	0	0	0	0	0	0	0	0	0.2	0.17
ENSG00000130176	0.97	1.17	0	0	3.18	105.92	24.08	47.27	11.29	28.41
Locus_69162	0	0	0	0	0	0	0	0	0	1.25
ENSG00000008282	6.14	5.82	5.49	4.39	23.34	47.87	45.6	41.41	19.85	27.55
blastnPan.Locus_2425	0	0	0	0	0	0	0	0	0	0
ENSG00000198670	0.05	0.07	0.05	0.03	4.93	0.02	0.01	0	0.01	0.31
ENSG00000180913	0	0	0	0	0	0	0	0	0	0
XLOC_014356	0	0	0	0	0	0	0	0	0	0.26
ENSG00000230732	0.74	3.01	2.5	4.89	0	0.06	0	0	0.86	3.25
ENSG00000102010	0.11	0.05	0	0	0.17	0.47	4.33	4.23	1.96	0.28
ENSG00000133858	5.03	7.51	11.18	11.98	13.34	5.87	3.16	1.5	4.32	10.33
ENSG00000223581	0	0	0	0	0	0	0	0	0	0
CUFF.461830	0	0	0	0	0	0	0	0	0	0.47
ENSG00000156273	2.69	2.16	9.13	11.71	34.46	5.65	12.63	6.05	11.28	16.95
ENSG00000167207	0	0.02	0	0	0.04	0.62	0.61	0.52	0.11	0.06
ENSG00000241220	0	0	0	0	0	0.04	0	0.09	0.11	0.09
ENSG00000188735	1.4	2.29	3.05	3.02	1.07	2.12	0.65	0.83	0.61	0.98
ENSG00000155307	0.72	0.5	1.22	1.35	15.45	1.37	2.55	1.98	1.78	0.2
ENSG00000165934	4.95	6.89	5.49	6.74	22.11	5.92	9.23	6.64	11.74	22.58
ENSG00000169877	0	0	0.33	0	1087.63	0.06	13.88	4.58	19.89	4.87
ENSG00000196187	2.79	8.23	0.2	0.49	1.35	4.47	4.22	5.5	3.66	0.71
blastnGorilla.Locus_17190	0	0	0	0	0	0	0	0	0	0
ENSG00000131059	0	0	0	0	0	0	0	0	0	19.65
ENSG00000116726	0	0	0	0	0	0	0	0	0	0.04
ENSG00000172361	1.86	3.91	0.19	0.26	0	0.35	0.25	0.23	1.9	475.49
ENSG00000162576	0.49	0.37	0.88	0.56	2.31	28.81	45.43	38.17	23.96	4.86
ENSG00000154016	0.57	0.51	0.89	1.68	0.52	2.44	7.01	7.66	2.2	2.21
ENSG00000236355	0	0	0	0	0	0	0	0	0	0
ENSG00000143774	20.03	18.73	10.43	6.13	15.4	19.8	27.6	36.32	9.47	6.48
ENSG00000188124	0	0	0.33	0.11	0	0	0	0.07	0	0
blastnMacaque.Locus_428981	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_246178	0	0	0	0	0	0	0	0	0	0
ENSG00000189292	0.38	0.1	0.32	0.54	1.34	10.51	3.39	2.59	0.71	3.36
blastnGorilla.Locus_258073	0	0	0	0	0	0	0	0	0	0.55
ENSG00000171786	0.2	0.17	0.27	0.28	0	0.04	0.05	0.08	0.03	0
blastnGorilla.Locus_105342	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_192394	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_115973	0	0	0	0	0	0	0	0	0	0
ENSG00000131467	18.53	14.57	10.32	13.83	10	22.3	24.25	26.63	16.32	11.6
ENSG00000196092	0.01	0.02	0.02	0.01	0.18	0.01	0.04	0	0.03	0.15
ENSG00000149133	0	0	0	0	0	0	0	0	0	0
ENSG00000255178	0	0.04	0.17	0	0	0	0	0	0	0.98
ENSG00000169972	0.66	0.52	0.91	0.57	0.1	3.85	3	3.6	1.11	1
CUFF.40723	0	0	0.19	0.1	0	0	0	0	0	3.14
blastnPan.Locus_42380	0	0.49	0	0	0	0	0	0	0	0
ENSG00000101349	15.49	16.92	17.39	20.43	0	0.12	0.01	0	0.16	0.14
ENSG00000067225	322.73	373.16	60.67	64.15	17.05	95.49	198.15	201.8	195.08	111.18
blastnMacaque.Locus_39483	0	0	0	0	0	0	0	0	0	0
blastnMouse.CUFF.173748	0	0	0	0	0	0	0	0	0	0
ENSG00000101353	1.03	1.04	0.45	0.41	0.56	0.53	0.36	0.55	0.29	8.51
ENSG00000165300	16.99	11.64	19.51	21.65	0	0.34	0	0	0	0.1
CUFF.147822	0.16	0.2	1.58	2.87	0	0	0	0	0	1.02
ENSG00000118260	3.19	4.47	14.63	18.02	14.33	3.78	3.59	3.02	4.34	6.8
ENSG00000171492	15.99	12.79	7.32	9.03	17.65	3.3	7.61	5.07	5.37	5.42
blastnGorilla.Locus_393218	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_101652	0	0	0	0	0	0	0	0	0	0
ENSG00000239677	0	0	0	0	0	0.41	0	0.14	0.32	0.07
blastnPan.Locus_8477	0	0	0	0	0	0	0	0	0	0
ENSG00000227248	0.13	0.84	10.21	3.18	0	0	0	0	0.1	1.17
blastnMacaque.Locus_272600	0	0	0.58	1.58	0	0	0	0	0	0
ENSG00000172380	2.13	0.85	4.07	4.65	28.44	24.73	33.62	29.07	15.54	3.81
Locus_102985	0	0	0	0	0	0	0	0	0	0.75
blastnOrangutan.Locus_218229	0	0	0	0	0	0	0	0.22	0	0
ENSG00000253524	0	0	0	0	0	0.08	0	0	0	0
ENSG00000185246	20.18	20.46	12.71	13.24	17.35	10.71	2.84	2.82	6.27	13.13
ENSG00000253508	0	0	0	0	0	0	3.59	4.44	1.8	0
ENSG00000203908	0	0.08	0	0	0	0	0	0	0	0.1
ENSG00000180043	0.03	0	0	0	0	0	0	0	0	10.82
blastnPlatypus.CUFF.164066	0	0	0	0	0	0	0	0	0	0
ENSG00000140471	1.21	0.62	9.21	9.33	5.05	1.85	1.49	1.16	0.73	1.29
ENSG00000141458	8.61	9.64	5.86	7.47	7.43	8.33	18.77	18.64	12.42	4.86
ENSG00000186716	8.09	10.39	4.96	3.89	0.96	2.77	5.43	5.88	6.53	2.82
ENSG00000188263	0.03	0.08	0.05	0.02	0	0.01	0	0	0	0.05
ENSG00000183889	0	0	0.12	0.08	0	0.23	0	0	0	0.07
ENSG00000234817	0	0.09	0	0	0	0.06	0.06	0.12	0.02	0.48
XLOC_011882	0	0	0	0	0	0	0.75	0	0	0
ENSG00000064995	17.75	18.97	9.04	9.52	11.55	17.73	19.06	18.85	24.31	30.95
ENSG00000108883	15.95	23.14	16.47	11.78	15.3	14.59	23.19	30.42	32.41	23.66
ENSG00000227987	0	0	0	0	0	0	0	0	0	0
ENSG00000086758	9.09	19.26	31.66	33.16	18.36	12.7	10.13	9.68	12.91	17.5
ENSG00000140538	4.11	5.23	18.31	22.95	0.64	0.33	0.1	0.12	0.08	0.36
blastnMacaque.Locus_60897	0	0	0	0	0	0	0	0	0	0
ENSG00000140262	6.88	7.81	13.24	14.19	22.1	11.78	9.76	7.2	9.37	9.83
ENSG00000230536	0	0	0	0	0	0	0	0	0	0.05
ENSG00000171944	0	0	0	0	0	0	0	0	0	0
ENSG00000249704	0	0	0	0	0	0	0	0	0	0.14
ENSG00000157869	8.29	6.04	4.51	4.09	8.06	5.35	4.57	4.64	4.88	18.73
ENSG00000170049	4.93	5.95	2.62	2.67	0	1.16	0.24	0.37	0.03	0.72
blastnMacaque.Locus_18559	0	0	0	0	0	0	0	0	0	1.43
ENSG00000047849	25.46	28.38	18.83	18.28	6.17	13.4	23.84	23.78	18.24	18.93
blastnMacaque.Locus_188138	0	0	0	0	0	0	0	0	0	0
XLOC_006948	0	0	0	0	0	0	0	0.4	0.08	0
blastnGorilla.Locus_269297	0	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_439553	0	0	0	0	0	0	0	0	0	0.31
ENSG00000022976	3.73	3.43	2.02	2.76	2.53	2.92	1.59	2.13	2.72	18.46
ENSG00000143368	6.68	4.56	4.81	5.99	4.12	21.78	35.34	37.73	12.47	12.07
blastnMacaque.Locus_221387	0	0	0	0	0	0	0	0	0	0
ENSG00000187166	0	0.03	0	0	0	0	0	0	0	45.06
ENSG00000057593	0.84	1.37	0.23	0.34	13.48	0.46	0.14	0.02	0.37	1.56
blastnPan.CUFF.228605	0	0.05	0	0	0	0	0	0	0	0
ENSG00000110195	0.18	0	0	0	0.14	0.93	30.19	21.55	19.29	0.04
XLOC_001496	0	0	0	0.55	0	0	0.1	0.11	0.12	0.05
ENSG00000148832	1.62	1.67	1.37	1.53	1.58	1.77	1.25	1.24	0.74	19.58
ENSG00000188157	2.64	6.78	3.89	2.82	0.56	4.48	11.45	7.55	4.59	1.85
ENSG00000231068	0	0	0	0	0	0	0	0	0	0
ENSG00000171503	12.32	9.87	3.26	3.16	30.76	4.11	4.28	3.46	11.86	17.26
blastnMouse.CUFF.127970	0	0	0	0	0	0	0	0	0	0
