Gene	Brain_Male2	Ovary_Female1	Ovary_Female2	Testis_Male3
ENSGALG00000022075	0	0	0	0.05
ENSGALG00000004722	0.12	4.62	4.37	0.17
ENSGALG00000014742	7.11	0.05	0	0
ENSGALG00000012650	8.35	18.98	23.9	11.04
ENSGALG00000004586	18.13	1.94	17.42	4.34
ENSGALG00000005185	1.55	3.22	18.39	0.31
ENSGALG00000008791	91.27	27.19	16.24	27.94
ENSGALG00000004262	0	0.06	0.03	0.2
ENSGALG00000008745	12.14	32.81	14.58	60.15
ENSGALG00000023086	14.95	17.66	17.41	15.25
ENSGALG00000003049	61.88	0	0	2.7
Locus_19574	0	0	0	0.99
ENSGALG00000024112	102.42	70.54	40.11	79.85
Locus_126926	0	1.48	0.78	1.59
Locus_84484	6.09	0	0.19	0
ENSGALG00000001425	15.56	6.44	3.23	9.03
ENSGALG00000012987	2.06	12.4	2.64	116.9
ENSGALG00000022086	0	0	0	1.86
ENSGALG00000015211	95.82	16.19	7.4	27.33
ENSGALG00000020788	3.25	2.24	2.1	3.02
ENSGALG00000022061	0	0	0	0
ENSGALG00000005718	0.47	0.05	0.13	1.1
ENSGALG00000016363	101.17	52.1	36.36	94
ENSGALG00000005332	32.43	2.53	2.28	1.04
ENSGALG00000005140	18.15	3.67	2.21	4.14
ENSGALG00000023128	9.59	1.06	7.07	12.22
ENSGALG00000023159	0	0	0	0
ENSGALG00000016626	1.18	4.82	1.51	33.65
ENSGALG00000019352	0	0.28	0.13	0.28
Locus_87939	0.71	2.28	3.02	0.13
Locus_46731	0.83	0.21	0.31	5.51
ENSGALG00000010889	13.22	40.51	13.13	20.67
Locus_97686	0	0	0	0.17
Locus_102011	0.37	0.05	0	10.23
ENSGALG00000007052	35.47	59.92	37.23	24.74
ENSGALG00000006315	0.63	11.08	7.59	0.82
ENSGALG00000012513	25.77	19.1	16.34	65.92
ENSGALG00000006435	6.84	8.2	8.61	6.27
ENSGALG00000011358	0.68	0.28	5.52	0.05
Locus_51826	0	0	0	0.07
Locus_49520	0.28	0.07	0.2	0.94
blastnOpossum.Locus_88009	0	0	0	0
ENSGALG00000012454	3.21	7.56	11.56	1.3
ENSGALG00000011388	145.92	141.84	58.55	87.28
ENSGALG00000021710	0	0.27	0	2.14
blastnHuman.ENSG00000247019	0	0	0	0.25
ENSGALG00000007750	31.71	32.83	18.05	25.91
ENSGALG00000009968	19.27	49.41	18.91	33.62
ENSGALG00000019019	0	0.02	0.05	0
ENSGALG00000016510	0.14	1.34	3.89	0.18
ENSGALG00000002124	6.22	3.34	6.27	4.47
ENSGALG00000004375	112.14	58.19	35.56	59.12
ENSGALG00000004991	31.98	22.89	10.51	62.08
Locus_88278	0.21	0.94	0	0.82
ENSGALG00000008452	42	43.82	21.38	161.54
ENSGALG00000014777	1.37	1.15	0.38	5.61
ENSGALG00000010870	179.21	264.96	182	148.43
ENSGALG00000007366	63.66	0.05	0.09	0.48
ENSGALG00000000770	0	0.57	2.8	0
ENSGALG00000017050	1.64	6.55	7	1.89
ENSGALG00000009228	99.01	49.36	31.76	79.93
ENSGALG00000002827	36.08	21.02	29.5	145.8
ENSGALG00000003003	0.16	0.66	1.74	3.09
ENSGALG00000013207	43.68	15.96	7.03	24.64
ENSGALG00000004223	1.84	4.86	4.2	0.11
ENSGALG00000003998	19.54	28.01	28.23	20.03
Locus_48418	0	0	0	26.2
ENSGALG00000008308	40.56	19.8	35.42	1.93
Locus_126300	0	0	0	1.92
Locus_19391	0	0.03	0	0.89
ENSGALG00000000812	632.39	215.52	125.15	193.68
CUFF.118331	0.1	0.27	0	0.04
ENSGALG00000009640	5.3	0	0	1.86
CUFF.36688	0.17	0.41	0.5	0.18
ENSGALG00000012934	56.38	1.25	0.51	9
ENSGALG00000000189	27.41	20.68	13.83	64.29
ENSGALG00000010551	7.4	2.83	5.65	1.39
ENSGALG00000002563	29.79	93.61	28.72	139.24
CUFF.251009	0	0.44	0	0
ENSGALG00000009680	1.38	1.31	8.73	1.02
Locus_66027	0.51	4.59	6.72	0.98
ENSGALG00000011228	77.12	40.52	20.42	36.34
Locus_20020	0.23	0.15	0.25	1.09
ENSGALG00000001473	61.2	38.91	19.43	21.23
ENSGALG00000014134	0.07	0.53	0.67	0.03
blastnHuman.CUFF.140136	0	0	0	0
blastnHuman.ENSG00000225790	0	0	0	0
CUFF.142094	0.92	0.01	0	0.05
Locus_46447	0.06	0.02	0.16	3.69
Locus_84316	0	0.07	0	0.21
ENSGALG00000008885	99.97	23.63	9.98	3.39
Locus_45904	0	0	0	3.09
ENSGALG00000007628	119.2	32.59	14.72	15.75
ENSGALG00000007793	55.88	24.84	21.91	13.73
Locus_126554	0	0	0	1.23
Locus_118288	0	4.74	0.07	0.21
ENSGALG00000019564	0.33	0.39	2.94	0.42
ENSGALG00000005914	102.76	103.36	45.1	38.85
Locus_48165	0.81	1.69	1.72	0.72
CUFF.126844	0.17	0.11	0.19	0.37
ENSGALG00000008929	37.84	0.07	0.12	1.5
ENSGALG00000010139	20.47	1.66	2.99	0
ENSGALG00000016328	56.98	53.5	77.35	10.25
ENSGALG00000005471	6.01	4.33	1.17	0.19
ENSGALG00000022277	2.33	8.65	4.49	4.72
ENSGALG00000009011	15.66	18.35	11.55	47.99
CUFF.223292	0	0	0	0.61
ENSGALG00000003284	22.07	35.1	22.71	119.7
Locus_29175	0	0	0	0.46
ENSGALG00000010658	12.18	14.54	31.82	33.76
ENSGALG00000023725	7.43	10.3	36.61	16.93
Locus_126806	0	0.02	0	1.39
ENSGALG00000024261	9.35	7.78	44.07	24.45
ENSGALG00000004698	285.69	183.13	68.28	270.94
ENSGALG00000001775	22.43	28.55	5.27	140.08
ENSGALG00000015516	15.48	4.96	1.1	4.31
ENSGALG00000008230	17.81	20.55	20.44	44.57
CUFF.79730	0	0	0	1.41
ENSGALG00000023806	460.81	148.6	44.08	221.39
Locus_19639	0.21	1.2	2.19	0.51
Locus_117386	0	0	0	1.1
Locus_119031	0	0	0	1.19
Locus_19205	0	0	0	0.57
CUFF.17154	0	0	0.07	1.61
Locus_88177	0	0	0	3.33
Locus_118364	0.55	0	0	0.83
ENSGALG00000005612	11.48	12.12	13.56	45.56
ENSGALG00000002957	0.13	0.02	0.09	0.49
ENSGALG00000014355	20.22	16.11	8.79	36.92
ENSGALG00000012763	26.23	61.52	21.28	18.37
ENSGALG00000016220	1.57	0.25	2.71	1.95
ENSGALG00000011469	55.82	7.25	6.78	9.28
ENSGALG00000006110	0.06	0.3	0.87	12.64
ENSGALG00000022602	0	0	0	0
blastnMacaque.Locus_271866	0	0	0	0
ENSGALG00000005490	137.86	149.85	450.68	167.47
ENSGALG00000004152	0	0.04	0	0
ENSGALG00000013789	10.94	53.11	20.72	26.28
ENSGALG00000003572	46.13	65.6	16.99	67.02
ENSGALG00000013100	11.76	53.02	26.26	14.35
Locus_104975	0.25	0.06	0.07	1.66
blastnPlatypus.Locus_11353	0	0	0	0
ENSGALG00000016581	2.32	3.45	6.39	3.52
ENSGALG00000006074	2.82	4.38	0.65	36.13
ENSGALG00000016105	25.25	6.26	11.9	2.51
ENSGALG00000021334	13.96	21.43	9.73	27.34
CUFF.66627	0	0	0	1.68
ENSGALG00000009745	4.11	1.32	1.52	1.26
ENSGALG00000011813	5.65	1.92	3.9	0.9
ENSGALG00000021992	0	0	0	0.01
ENSGALG00000011579	0.05	0.27	0.87	0.19
ENSGALG00000003147	24.64	45.53	64.08	39.52
Locus_21806	0.03	0	0.01	4.03
CUFF.167793	0	0.08	0	0.16
CUFF.171234	0	0	0	0.7
ENSGALG00000005340	5.76	17.33	7.29	10.69
ENSGALG00000015767	0.25	4.85	8.25	1.03
Locus_126597	3.16	0.1	0	0.49
Locus_63839	2.12	0.2	1.33	1.56
ENSGALG00000009771	4.99	29.2	15.19	4.32
ENSGALG00000014937	8.34	9.55	10.85	13.4
ENSGALG00000009502	32.73	23.77	14.34	21.69
CUFF.209081	0.13	0.67	0.21	1.18
ENSGALG00000012407	13.19	0.02	0.03	1.28
ENSGALG00000008786	7.4	34.93	7.98	12.3
Locus_65731	0.32	0.16	0.62	0.03
ENSGALG00000003118	1.85	4.36	11.19	3.4
ENSGALG00000003196	2.42	8.73	42.07	0.88
Locus_127202	0.7	0.34	1.08	0.15
ENSGALG00000001884	57.66	11.01	7.11	14.23
ENSGALG00000002622	6.1	6.47	5.87	0.73
ENSGALG00000013663	0	0	0	0.48
ENSGALG00000015245	2.25	1.52	3.42	4.9
ENSGALG00000001436	17.39	12.54	6.5	5.66
ENSGALG00000008185	3.03	12.36	4.92	5.29
blastnHuman.ENSG00000242686	0	0	0	0
ENSGALG00000001371	0.11	0.01	0.04	0.26
ENSGALG00000020721	9.69	29.54	9.28	47.31
ENSGALG00000007309	0	0	0	0.48
ENSGALG00000004495	1.02	45.87	39.67	109.38
blastnHuman.ENSG00000234070	0	0	0	0
ENSGALG00000007715	25.38	19.5	33.81	19.9
ENSGALG00000008875	1042.37	22.41	4.11	26.64
ENSGALG00000005178	0.46	0	0	0.55
ENSGALG00000015379	252.9	0.52	0.53	2.51
ENSGALG00000007275	0.13	1.18	3.72	0.06
Locus_49397	2.1	2.55	0.53	1.48
CUFF.237756	0	0	0	1.73
Locus_46324	0	0.09	0.11	0.69
ENSGALG00000012944	32.74	1.89	1.11	9.13
CUFF.252899	0.73	0.57	0	1.66
ENSGALG00000008208	212.88	230.64	86.51	230.13
ENSGALG00000010368	14.43	5.28	8.08	7.93
ENSGALG00000014033	42.31	20.85	10.94	20.72
ENSGALG00000012063	2.26	1.76	0.43	34.9
ENSGALG00000006068	29.38	25.4	24.17	18.58
Locus_87370	0	0	0	1.29
ENSGALG00000001042	39.81	20.62	15.87	11.18
blastnHuman.ENSG00000235724	0	0	0	0.81
ENSGALG00000020049	0	0.06	0.05	0.88
CUFF.164050	1.48	1.2	0.3	0.17
ENSGALG00000021443	2.48	2.06	12.63	2.57
Locus_102753	1.1	2.21	0.15	0.16
ENSGALG00000005147	17.76	67.65	25.13	49.83
ENSGALG00000016176	52.35	0	0.03	0.15
ENSGALG00000006153	8.17	10.2	5.91	6.72
ENSGALG00000007817	0.55	19.07	3.99	0.16
ENSGALG00000017370	280.72	114.42	69.4	103.2
ENSGALG00000005504	0	6.8	11.47	0.82
blastnHuman.ENSG00000232590	0	0	0	0.39
ENSGALG00000013210	20.32	11.51	9.48	17.97
ENSGALG00000015598	19.17	0.48	0.71	2.06
Locus_19446	0	0	0	3.84
ENSGALG00000011854	12.21	32.84	9.13	126.77
ENSGALG00000014525	96.19	34.07	21.21	104.95
ENSGALG00000005678	23.04	77.95	39.52	20.1
ENSGALG00000014140	8.1	38.1	19.78	35.09
ENSGALG00000008455	4.96	9.74	4.38	18.74
ENSGALG00000009453	131.24	187.24	60.22	69.7
ENSGALG00000014881	52.25	9.42	2.91	153.14
ENSGALG00000006683	7.38	53.15	45.42	12.4
ENSGALG00000005995	12.5	4.45	5.72	10.54
Locus_98206	0	0.2	0.1	2.64
ENSGALG00000001270	108.61	57.43	16.7	43.1
ENSGALG00000005739	27.83	14.01	18.4	3.99
ENSGALG00000015618	2.94	0.07	0.02	8.1
ENSGALG00000013881	2.58	2.82	8.56	4.22
ENSGALG00000000636	12.73	21.9	34.78	14.61
ENSGALG00000020444	3.73	23.62	6.56	49.23
ENSGALG00000008006	4.58	0.39	0.17	14.36
Locus_19331	0	0.05	0	0.81
ENSGALG00000011970	0.59	0.25	0.91	0.2
ENSGALG00000000687	1.97	9.8	3.17	13.68
ENSGALG00000011526	13.78	9.22	18.51	15.54
ENSGALG00000010130	17.42	17.34	22.99	22.55
ENSGALG00000003928	0	0	0	0
ENSGALG00000011603	27.45	20.79	24.31	27.04
ENSGALG00000014901	22.85	19.61	12.04	49.99
ENSGALG00000003650	27.67	28.55	17.53	56.78
ENSGALG00000011822	25.12	23.62	11.1	44.42
ENSGALG00000015225	23.62	46.68	23.31	50.8
ENSGALG00000007102	41.71	50.53	19.17	32.79
ENSGALG00000016286	2.36	2.11	3.57	0.22
ENSGALG00000017299	55.75	111.11	615.3	122.24
ENSGALG00000016752	78.76	19.34	19.42	47.33
ENSGALG00000008219	117.38	23.99	18.45	12.62
ENSGALG00000009911	4.2	5.86	3.24	6.68
ENSGALG00000005375	1.81	1.43	3.48	1.24
ENSGALG00000014490	8.02	7.29	9.47	21.74
CUFF.24296	0	0	0	0.85
Locus_47327	0.13	2.85	2.54	1.3
ENSGALG00000006259	8.95	4.24	12.47	1.77
ENSGALG00000015151	43.33	2.65	3.21	22.17
ENSGALG00000007554	13.2	11.72	8.68	5.68
ENSGALG00000001201	43.73	11.14	16.77	23.38
Locus_74290	0	0	0	0.68
ENSGALG00000005222	1.2	11.64	8.89	0.96
ENSGALG00000006140	10.41	16.68	22.5	7.98
ENSGALG00000014966	0.13	0.05	0.15	2.19
Locus_46872	0	0	0	1.76
Locus_117310	0	1.61	0	0
ENSGALG00000024405	0	0	0.08	0.07
ENSGALG00000004785	2.39	2.06	9.04	0.71
ENSGALG00000019054	3	2.81	2.84	4.88
ENSGALG00000024312	0	0	0	1.43
ENSGALG00000006775	8.62	84.35	94.67	21.79
ENSGALG00000003358	10.15	13.92	15.14	12.98
ENSGALG00000004969	4.96	0.52	4.61	4.74
Locus_71387	0	0	0	0.45
ENSGALG00000021079	2.71	1.29	6.62	0.23
ENSGALG00000009118	0.57	2.17	0.35	0.09
Locus_79878	0	0	0	0.38
Locus_20334	0	0	0	2.48
Locus_77174	0	0	0	0.47
ENSGALG00000004070	7.7	17.49	6.42	11.54
ENSGALG00000013377	29.94	10.56	4.61	6.65
Locus_126938	0	1.83	0	0
ENSGALG00000008618	194.77	157.06	40.53	237.57
ENSGALG00000009515	9.8	20.11	8.76	15.82
ENSGALG00000003075	0.18	0.01	0	0.05
ENSGALG00000008954	42.73	3.89	2.19	6.94
Locus_69456	4.05	0.03	0.02	0.22
ENSGALG00000005426	0.62	0.12	0.44	0.71
Locus_19029	0	0	0	0.94
ENSGALG00000002647	0.92	1.35	0.43	7.22
ENSGALG00000012053	0.11	10.53	3.98	2.06
ENSGALG00000023365	2.07	8.37	8.61	1.17
CUFF.208981	0.16	0.69	0.36	0
ENSGALG00000016349	1.16	2.59	0.66	6.24
ENSGALG00000008802	0.32	0	0	0.05
ENSGALG00000023626	5.44	4.44	6.89	0.07
CUFF.226754	0.02	0.04	0.01	0.43
ENSGALG00000008010	18.46	28.98	14.3	11.81
ENSGALG00000008674	36.74	16.51	3.11	78.87
CUFF.119782	0	0	0	0.21
ENSGALG00000015877	62.82	63.63	22.96	31.76
ENSGALG00000009610	2.35	3.52	2.67	37.84
ENSGALG00000015288	21.35	16.8	8.64	47.02
ENSGALG00000006274	0	0.07	0.55	0.64
ENSGALG00000006860	144.13	34.28	12.07	120.5
Locus_117905	0	0.18	0.32	12.59
Locus_50045	0.15	0.13	0.12	2.33
ENSGALG00000017530	0.08	0.12	0.3	0.07
ENSGALG00000010745	40.2	84.51	27.71	644.35
ENSGALG00000012108	0	1.14	0.15	0.41
ENSGALG00000011773	0	0	0.93	0
ENSGALG00000001916	15.04	4.5	9.14	16.88
ENSGALG00000014840	0.08	0.04	0	0.44
ENSGALG00000004859	17.06	161.93	50.78	8.2
ENSGALG00000000196	36.09	62.49	124.77	68.16
ENSGALG00000001197	20.16	25.47	11.7	0.25
ENSGALG00000022907	0.41	0.05	2.26	0.09
Locus_68269	0	0	0	0.22
Locus_64622	0.71	0.37	0.6	0.19
ENSGALG00000017589	14.75	15.43	51.02	5.36
ENSGALG00000011375	18.39	17.51	15.96	31.02
Locus_127247	0	0	0.05	0.9
ENSGALG00000014484	5.28	11.08	11.68	20.92
Locus_29259	0	0	0	1.64
ENSGALG00000003506	4.66	77.82	57.07	1.64
CUFF.213079	0	0.05	0	2.48
ENSGALG00000004899	26.62	36.69	16.29	50.54
ENSGALG00000024476	2.45	3.65	6.6	3.89
CUFF.69038	0	0	0	0.94
ENSGALG00000015168	0.17	0.97	2.02	3.98
Locus_119130	0	0.43	1.18	0.41
ENSGALG00000007484	102.34	15.39	37.04	130.16
ENSGALG00000005078	4.91	7.51	8.54	1.58
ENSGALG00000023906	0	0	0.03	1.25
ENSGALG00000001939	17.75	36.11	23.95	32.15
ENSGALG00000015600	0	0	0.04	0
ENSGALG00000014915	54.64	69.56	24.68	198.49
ENSGALG00000020827	0.03	64.03	37.4	3.54
ENSGALG00000001100	18.74	1.95	5.76	1.2
ENSGALG00000023160	0	0	0	0
ENSGALG00000002852	17.61	18.98	8.97	16.37
ENSGALG00000011297	4.36	8.48	8.58	20.39
Locus_47133	4.54	0	0	0.07
ENSGALG00000020210	2.56	4.77	2.15	81.01
ENSGALG00000008201	16.51	12.22	13.22	64.64
ENSGALG00000007899	0	0	0	0.02
ENSGALG00000000165	91.41	20.88	18.52	20.49
ENSGALG00000006057	64.28	87.53	32.72	58.93
ENSGALG00000009718	3.27	8.08	10.55	3.34
ENSGALG00000006226	38.87	17.46	6.43	15.63
ENSGALG00000012310	38.12	42.83	13.59	140.12
ENSGALG00000005825	1.13	5.57	2.39	0.69
ENSGALG00000006395	8.93	15.74	18.94	7.55
CUFF.212354	0.06	0.51	0.82	0.25
blastnGorilla.Locus_391274	0	0	0	0
Locus_99160	0	1.59	1.14	0.04
ENSGALG00000021057	2.29	6.49	2.83	2.29
ENSGALG00000011394	2.25	11.25	7.51	0.58
ENSGALG00000015629	8.62	29.98	46.13	37.28
ENSGALG00000004086	57.59	40.81	24.42	36.54
Locus_65914	0	0	0	3.77
ENSGALG00000018454	0	0	0	0.03
Locus_127020	0	0.18	0	0.68
ENSGALG00000004874	48.33	56.73	65.53	48.03
Locus_22133	0	0	0	1.04
ENSGALG00000000510	11.27	9.3	9.77	9.81
ENSGALG00000001792	34.01	73.33	73.92	22.48
ENSGALG00000011497	7.11	16.85	26.3	14.89
ENSGALG00000010794	6.99	5.41	9.56	0.99
Locus_83889	0	0	0	0.36
CUFF.79948	0.2	0	0	0.84
ENSGALG00000006500	6.88	15.46	8.49	154.89
ENSGALG00000003408	7.39	9.7	11.26	5.23
ENSGALG00000010290	11.01	18.59	17.18	2.42
Locus_65129	0.29	0.26	0.57	0.5
blastnPan.Locus_25495	0	0	0	0
ENSGALG00000007327	616.2	200.57	145.11	64.44
blastnHuman.ENSG00000249306	0	0	0	0.36
ENSGALG00000021620	39.58	0.2	0.88	0.23
ENSGALG00000015073	3.7	9.97	28.02	6.84
CUFF.126965	4.68	4.73	2.78	12.08
ENSGALG00000002266	103.19	0.1	0.04	55.02
CUFF.110230	2.09	1.04	0.16	1.24
CUFF.80216	0	0.74	0	0.04
CUFF.68090	0.42	0.05	0	1.37
ENSGALG00000001619	59.5	36.59	20.38	69.82
ENSGALG00000013725	12.98	17.44	15.78	44.18
ENSGALG00000010063	24.54	54.4	76.23	9.71
ENSGALG00000004284	12.45	5.86	11.86	0.54
ENSGALG00000010048	34.63	24.66	6.25	27.5
ENSGALG00000004175	7.08	35.22	14.79	147.55
Locus_98541	0.16	0.07	0.05	4.42
ENSGALG00000005962	24.03	75.53	54.17	24.36
ENSGALG00000003415	1.54	1.74	3.76	0.95
ENSGALG00000020567	7.93	5.57	4.2	9.02
ENSGALG00000005511	13.58	8.35	2.94	0.45
ENSGALG00000015787	16.54	8.44	6.08	10.94
ENSGALG00000000275	7.85	10.14	20.46	15.98
ENSGALG00000007963	0.9	4.03	8.15	3.19
Locus_19022	0	2.16	0.15	0.29
ENSGALG00000017111	12.97	13.36	9.75	73.92
ENSGALG00000006598	40.34	76.87	24	29.03
ENSGALG00000018875	0.18	0.18	0	0.68
ENSGALG00000000280	14.36	8.46	4.29	11.16
ENSGALG00000005456	6.6	18.27	12.5	25.25
Locus_66473	0.96	0.57	0	1.51
ENSGALG00000015910	2.85	0.87	0.42	5.07
Locus_47397	0	0.08	0.13	0.2
Locus_98170	0	0.12	0.08	0.06
ENSGALG00000010478	0.79	3.81	1.54	24.45
CUFF.154510	0.1	1.28	0.17	0.13
ENSGALG00000000215	2.22	6.32	4.57	4.17
Locus_20626	0	0.47	0.33	0
ENSGALG00000002432	58.82	881.68	127.89	1844.59
ENSGALG00000017304	125.25	11.68	5.04	40.52
Locus_49290	0	0	0	1.5
ENSGALG00000010271	16.04	36.26	34.01	6.23
ENSGALG00000005026	0.71	15.22	8.37	102.6
Locus_20183	0.3	2.46	0.2	1.84
ENSGALG00000002654	2.97	2.5	3.56	0.85
ENSGALG00000010408	0.14	0.43	0.9	0.04
ENSGALG00000010207	14.81	28.55	15.2	257.44
ENSGALG00000005882	35.38	21.42	8.16	12.96
ENSGALG00000005754	0.4	0.59	0.51	0.06
Locus_5488	0.42	0	0	4.04
ENSGALG00000011910	110.38	150.61	36.12	140.34
ENSGALG00000009827	9.09	7.5	16.42	3.43
ENSGALG00000023980	10.72	6.35	0.34	4.08
Locus_49208	0	0	0.06	2.04
blastnHuman.ENSG00000234483	0	0	0	0
ENSGALG00000012770	4.7	12.64	7.17	48.01
CUFF.124466	0	0.79	0.06	0.18
ENSGALG00000000724	17.23	38.7	28.95	21.75
ENSGALG00000012381	1.64	0.23	0	3.43
Locus_4744	0.18	0	0	0.69
ENSGALG00000010853	1.89	0.78	0.09	0.01
ENSGALG00000008732	7.01	0.35	0.09	0.48
ENSGALG00000020538	5.17	3.27	5.54	3.59
ENSGALG00000011103	80.91	78.62	49.59	244.67
ENSGALG00000006879	13.01	3.21	0.83	11.05
ENSGALG00000016571	7.51	0.01	0	0.02
ENSGALG00000000675	11.09	7.32	9.39	13.07
ENSGALG00000008461	1.96	1.84	4.56	0.95
ENSGALG00000017183	0.29	0.98	3.01	0.23
ENSGALG00000008074	2.89	5.77	7.57	1.21
ENSGALG00000000798	11.25	11.02	10.4	6.28
ENSGALG00000008469	0.61	42.12	19.62	3.82
ENSGALG00000010708	55.97	85	29.26	127.95
Locus_46025	0	0.08	0	2.14
Locus_28846	2.06	1.67	0.65	0.38
Locus_79965	0	0	0	5.9
ENSGALG00000000956	0.51	0.98	7.81	0.62
ENSGALG00000005469	0.04	32.96	3.54	0.03
ENSGALG00000001702	17.06	6.5	10.69	6.27
ENSGALG00000009942	72.57	146.71	30.96	283.58
blastnHuman.ENSG00000226861	0	0	0	0
ENSGALG00000018509	109.93	196.54	57.22	111.75
ENSGALG00000011211	22.39	8.82	5.98	18.13
Locus_102002	0	0	0	1.73
ENSGALG00000023183	9.81	0.31	0.51	0.59
ENSGALG00000007728	43.8	25.71	32.19	4.44
CUFF.94194	0.06	0.6	0	0.2
ENSGALG00000010698	19.09	12.2	11.2	11.92
ENSGALG00000005976	100.73	27.97	31.68	361.12
ENSGALG00000003755	215.98	77.23	43.67	109.48
ENSGALG00000007144	14.12	12.14	8.73	12.72
ENSGALG00000023649	7.11	14.2	3.63	6.11
ENSGALG00000001111	1.44	54.1	13.41	20.43
ENSGALG00000008934	11.98	22.57	5.65	41.44
ENSGALG00000000302	2.12	1	0.08	1.47
Locus_1051	0	0	0	0.77
CUFF.5103	0.06	0	0	0.21
Locus_64752	1.36	0.64	23.69	0.18
blastnHuman.ENSG00000233854	0	0	0	0
ENSGALG00000014060	15.03	13.3	15.25	10.26
ENSGALG00000005534	51.66	60.58	39.45	38.72
Locus_52089	0	0	0	1.37
ENSGALG00000012100	1.15	8.23	3.38	45.56
CUFF.110569	0	0.21	0.68	0.4
Locus_28130	0.12	0.02	0	24.74
ENSGALG00000017314	2.99	8.52	2.87	13.87
ENSGALG00000019864	2.04	1.1	0.38	0.21
ENSGALG00000007610	32.77	31.66	30.16	72.49
ENSGALG00000019473	0	0	0	0
ENSGALG00000009007	0.14	0	0	1.24
ENSGALG00000013912	0	30.14	14.59	1.13
CUFF.222504	0	0.05	0	0.73
ENSGALG00000014103	12.81	14.53	7.09	9.12
ENSGALG00000012504	0.43	0.25	0.78	0.37
ENSGALG00000006949	58.08	59.49	12	52.79
Locus_69265	0	0.08	0	0.31
Locus_19910	0.12	0.03	0.07	2.36
ENSGALG00000004809	20.11	16.37	19.06	2.44
ENSGALG00000002603	28.87	18.07	15.9	19.59
ENSGALG00000011058	2.18	2.51	2.12	5.42
ENSGALG00000023934	0.42	0.02	0	1.55
ENSGALG00000009983	9.17	9.78	9.65	9.62
ENSGALG00000004690	160.22	60.84	28.22	46.46
ENSGALG00000011267	0.59	0.14	0.02	325.02
ENSGALG00000007021	10.36	29.15	7.85	169.91
ENSGALG00000009045	60.58	67.61	42.9	123.01
ENSGALG00000022130	0	0	0	0
ENSGALG00000004966	6.99	0.18	0.1	1.79
ENSGALG00000003339	29.84	14.85	7.65	62.68
ENSGALG00000003035	7.33	2.46	2.04	10.83
ENSGALG00000007448	2.48	0.2	0.8	0.27
ENSGALG00000014944	0.91	3.36	3.3	6.93
ENSGALG00000016855	463.24	588.41	190.77	317.47
Locus_19131	0.24	0	0	5.87
ENSGALG00000010936	0.11	0	0	5.82
ENSGALG00000015304	44.43	55.01	78.28	114.99
Locus_19416	0	0	0	1.59
ENSGALG00000001445	2.45	3.41	1.44	5.85
ENSGALG00000024062	160.26	0.05	0	0.09
Locus_127368	0	0.34	0	0
ENSGALG00000011151	152.16	1.56	0.78	0.2
ENSGALG00000006648	35.39	20.28	15.22	32.49
ENSGALG00000001502	35.54	55.49	41.39	116.61
ENSGALG00000009907	5.77	10.91	8.58	31.75
ENSGALG00000006841	21.85	19.63	10.23	16.94
CUFF.67207	0	0	0	0.61
ENSGALG00000003855	5.99	8.2	13.49	5
ENSGALG00000009674	130.32	50.91	16.7	45.37
ENSGALG00000015476	15.22	0	0	0.12
ENSGALG00000002113	4.93	13.17	20.28	1.58
ENSGALG00000022330	0	0	0	0
ENSGALG00000016000	5.46	9.31	7.51	17.88
ENSGALG00000010036	19.52	18.38	8.31	10.32
ENSGALG00000015537	43.7	29.37	26.99	15.94
ENSGALG00000002798	11.99	8.43	10.62	16.61
CUFF.222373	1.18	0.01	0.04	0.06
Locus_28932	0	3.83	0.19	0.11
ENSGALG00000000984	1.23	0.3	0	0.04
ENSGALG00000022487	0	0.27	0.07	0.26
ENSGALG00000010749	4.7	4.05	6.66	12.2
Locus_127911	0	0	0	2.32
ENSGALG00000006862	3.91	27.08	9.53	11.19
Locus_102365	0	0	0	0.95
ENSGALG00000006198	14.89	6.92	7.61	6.87
blastnHuman.ENSG00000232310	0	0	0	0
Locus_118720	0	0	0	1.18
ENSGALG00000006354	0	0.03	0.03	0.21
ENSGALG00000021820	71.61	8.42	10.13	3.01
ENSGALG00000007138	12.6	9.88	25.31	6.6
ENSGALG00000014346	17.53	23.18	4.88	5.24
ENSGALG00000012684	18.32	25.79	23.29	19.58
ENSGALG00000012843	28.15	53.16	16.77	11.46
ENSGALG00000023229	5.67	3.69	5.79	392.24
ENSGALG00000019030	0	0.05	0.53	0.03
ENSGALG00000001587	66.66	57.9	37.08	361.28
Locus_88156	0.18	0.7	0.34	0.27
ENSGALG00000000995	1.55	0.71	6.56	0.2
Locus_80309	0.4	2.55	0.44	0.69
ENSGALG00000016691	551.33	200.62	156.33	64.58
ENSGALG00000002327	8.56	0.07	0.18	2.8
blastnHuman.ENSG00000233082	0	0	0	0
ENSGALG00000016127	2.23	0.17	0.16	23.63
ENSGALG00000004149	26.38	0.09	0.67	0.35
ENSGALG00000022110	0	0	0	0
ENSGALG00000005048	108.54	128.46	18.43	180.52
ENSGALG00000014388	18.77	18.37	16.21	15.34
ENSGALG00000002371	34.98	1.81	1.35	5.79
ENSGALG00000013621	184.45	16.25	7.07	57.12
ENSGALG00000023372	2.42	16.57	33.38	0
ENSGALG00000011081	0	0	0	0
ENSGALG00000004730	5.35	13.47	63.49	2.13
Locus_49337	0	0	0	0.83
ENSGALG00000011518	19.57	4.43	6.09	3.55
