Gene	Gene description
AP3B2	Adaptor-related protein complex 3, beta 2 subunit
APBA1	Amyloid beta (A4) precursor protein-binding, family A, member 1
APBA2	Amyloid beta (A4) precursor protein-binding, family A, member 2
ARC	Activity-regulated cytoskeleton-associated protein
ARHGDIG	Rho GDP dissociation inhibitor (GDI) gamma
ARHGEF4	Rho guanine nucleotide exchange factor (GEF) 4
ASIC2	Acid-sensing (proton-gated) ion channel 2
ASPHD1	Aspartate beta-hydroxylase domain containing 1
ASTN1	Astrotactin 1
ATL1	Atlastin GTPase 1
ATOH7	Atonal homolog 7 (Drosophila)
ATP1A2	ATPase, Na+/K+ transporting, alpha 2 polypeptide
ATP2B2	ATPase, Ca++ transporting, plasma membrane 2
ATRNL1	Attractin-like 1
B3GALT1	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1
B3GALT2	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2
B3GNT1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1
B4GALNT4	Beta-1,4-N-acetyl-galactosaminyl transferase 4
BASP1	Brain abundant, membrane attached signal protein 1
BCAS1	Breast carcinoma amplified sequence 1
BDNF	Brain-derived neurotrophic factor
BEGAIN	Brain-enriched guanylate kinase-associated
BEST3	Bestrophin 3
BEX1	Brain expressed, X-linked 1
BEX2	Brain expressed X-linked 2
BEX5	Brain expressed, X-linked 5
BHLHE22	Basic helix-loop-helix family, member e22
BRINP3	Bone morphogenetic protein/retinoic acid inducible neural-specific 3
BRSK2	BR serine/threonine kinase 2
C12orf68	Chromosome 12 open reading frame 68
C14orf132	Chromosome 14 open reading frame 132
C15orf59	Chromosome 15 open reading frame 59
C17orf96	Chromosome 17 open reading frame 96
C19orf26	Chromosome 19 open reading frame 26
C1orf64	Chromosome 1 open reading frame 64
C1orf95	Chromosome 1 open reading frame 95
C21orf37	Chromosome 21 open reading frame 37
C22orf24	Chromosome 22 open reading frame 24
C2orf82	Chromosome 2 open reading frame 82
C3orf80	Chromosome 3 open reading frame 80
C5orf64	Chromosome 5 open reading frame 64
C8orf56	Chromosome 8 open reading frame 56
C9orf172	Chromosome 9 open reading frame 172
CA10	Carbonic anhydrase X
CA11	Carbonic anhydrase XI
CABP7	Calcium binding protein 7
CACNA1A	Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit
CACNA1G	Calcium channel, voltage-dependent, T type, alpha 1G subunit
CACNA1I	Calcium channel, voltage-dependent, T type, alpha 1I subunit
CACNB4	Calcium channel, voltage-dependent, beta 4 subunit
CADM4	Cell adhesion molecule 4
CADPS	Ca++-dependent secretion activator
CALN1	Calneuron 1
CAMK1G	Calcium/calmodulin-dependent protein kinase IG
CAMK2N1	Calcium/calmodulin-dependent protein kinase II inhibitor 1
CAMKK1	Calcium/calmodulin-dependent protein kinase kinase 1, alpha
CBLN4	Cerebellin 4 precursor
CCDC177	Coiled-coil domain containing 177
CCDC85A	Coiled-coil domain containing 85A
CCK	Cholecystokinin
CCSAP	Centriole, cilia and spindle-associated protein
CDH22	Cadherin 22, type 2
CDH4	Cadherin 4, type 1, R-cadherin (retinal)
CDH7	Cadherin 7, type 2
CDK5R1	Cyclin-dependent kinase 5, regulatory subunit 1 (p35)
CDKL5	Cyclin-dependent kinase-like 5
CELSR3	Cadherin, EGF LAG seven-pass G-type receptor 3
CGREF1	Cell growth regulator with EF-hand domain 1
CHADL	Chondroadherin-like
CHL1	Cell adhesion molecule L1-like
CHRNA4	Cholinergic receptor, nicotinic, alpha 4 (neuronal)
CHST1	Carbohydrate (keratan sulfate Gal-6) sulfotransferase 1
CHST6	Carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6
CIT	Citron (rho-interacting, serine/threonine kinase 21)
CLCN4	Chloride channel, voltage-sensitive 4
CLDN11	Claudin 11
CLIP3	CAP-GLY domain containing linker protein 3
CNGB1	Cyclic nucleotide gated channel beta 1
CNNM1	Cyclin M1
CNR1	Cannabinoid receptor 1 (brain)
CNTN1	Contactin 1
CNTNAP1	Contactin associated protein 1
COLGALT2	Collagen beta(1-O)galactosyltransferase 2
CORO2B	Coronin, actin binding protein, 2B
CPE	Carboxypeptidase E
CPNE4	Copine IV
CPNE9	Copine family member IX
CPT1C	Carnitine palmitoyltransferase 1C
CRB2	Crumbs homolog 2 (Drosophila)
CRHR1	Corticotropin releasing hormone receptor 1
CRMP1	Collapsin response mediator protein 1
CSRNP3	Cysteine-serine-rich nuclear protein 3
CTD-2207O23.12	Uncharacterized protein 
CTD-3193O13.9	Protein FLJ22184 
CTXN1	Cortexin 1
CTXN2	Cortexin 2
CX3CR1	Chemokine (C-X3-C motif) receptor 1
DAGLA	Diacylglycerol lipase, alpha
DBX2	Developing brain homeobox 2
DCLK1	Doublecortin-like kinase 1
DCLK2	Doublecortin-like kinase 2
DGKB	Diacylglycerol kinase, beta 90kDa
DISP2	Dispatched homolog 2 (Drosophila)
DLEU7	Deleted in lymphocytic leukemia, 7
DLG2	Discs, large homolog 2 (Drosophila)
DMRTC1	DMRT-like family C1
DMRTC1B	DMRT-like family C1B
DNAH10OS	Dynein, axonemal, heavy chain 10 opposite strand
DNM3	Dynamin 3
DOCK3	Dedicator of cytokinesis 3
DPP10	Dipeptidyl-peptidase 10 (non-functional)
DPP6	Dipeptidyl-peptidase 6
DPYSL4	Dihydropyrimidinase-like 4
DRD1	Dopamine receptor D1
DSCAML1	Down syndrome cell adhesion molecule like 1
DTNA	Dystrobrevin, alpha
DYNC1I1	Dynein, cytoplasmic 1, intermediate chain 1
EFNB3	Ephrin-B3
EHD3	EH-domain containing 3
EIF4E1B	Eukaryotic translation initiation factor 4E family member 1B
EPHB1	EPH receptor B1
EPHX4	Epoxide hydrolase 4
EXTL1	Exostosin-like glycosyltransferase 1
EYA1	Eyes absent homolog 1 (Drosophila)
FAM107A	Family with sequence similarity 107, member A
FAM131C	Family with sequence similarity 131, member C
FAM133A	Family with sequence similarity 133, member A
FAM135B	Family with sequence similarity 135, member B
FAM169A	Family with sequence similarity 169, member A
FAM171A2	Family with sequence similarity 171, member A2
FAM171B	Family with sequence similarity 171, member B
FAM184B	Family with sequence similarity 184, member B
FAM189A1	Family with sequence similarity 189, member A1
FAM196A	Family with sequence similarity 196, member A
FAM196B	Family with sequence similarity 196, member B
FAM19A2	Family with sequence similarity 19 (chemokine (C-C motif)-like), member A2
FAM19A5	Family with sequence similarity 19 (chemokine (C-C motif)-like), member A5
FAM81A	Family with sequence similarity 81, member A
FAT3	FAT atypical cadherin 3
FBXO2	F-box protein 2
FBXO41	F-box protein 41
FGF14	Fibroblast growth factor 14
FJX1	Four jointed box 1 (Drosophila)
FLRT1	Fibronectin leucine rich transmembrane protein 1
FMN2	Formin 2
FREM3	FRAS1 related extracellular matrix 3
FRMPD3	FERM and PDZ domain containing 3
FSD1	Fibronectin type III and SPRY domain containing 1
GABRB3	Gamma-aminobutyric acid (GABA) A receptor, beta 3
GABRQ	Gamma-aminobutyric acid (GABA) A receptor, theta
GALNT13	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13 (GalNAc-T13)
GALNTL6	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 6
GAREML	GRB2 associated, regulator of MAPK1-like
GDA	Guanine deaminase
GDF1	Growth differentiation factor 1
GHRHR	Growth hormone releasing hormone receptor
GJC2	Gap junction protein, gamma 2, 47kDa
GLDN	Gliomedin
GLRB	Glycine receptor, beta
GNAZ	Guanine nucleotide binding protein (G protein), alpha z polypeptide
GNG13	Guanine nucleotide binding protein (G protein), gamma 13
GNG4	Guanine nucleotide binding protein (G protein), gamma 4
GOLGA7B	Golgin A7 family, member B
GPC5	Glypican 5
GPR12	G protein-coupled receptor 12
GPR123	G protein-coupled receptor 123
GPR162	G protein-coupled receptor 162
GPR173	G protein-coupled receptor 173
GPR19	G protein-coupled receptor 19
GPR22	G protein-coupled receptor 22
GPR3	G protein-coupled receptor 3
GPR37	G protein-coupled receptor 37 (endothelin receptor type B-like)
GPR52	G protein-coupled receptor 52
GPR61	G protein-coupled receptor 61
GPR83	G protein-coupled receptor 83
GPR85	G protein-coupled receptor 85
GPRC5B	G protein-coupled receptor, family C, group 5, member B
GPRIN1	G protein regulated inducer of neurite outgrowth 1
GRIA3	Glutamate receptor, ionotropic, AMPA 3
GRID1	Glutamate receptor, ionotropic, delta 1
GRIK2	Glutamate receptor, ionotropic, kainate 2
GRIK4	Glutamate receptor, ionotropic, kainate 4
GRIK5	Glutamate receptor, ionotropic, kainate 5
GRIN2A	Glutamate receptor, ionotropic, N-methyl D-aspartate 2A
GRIN2D	Glutamate receptor, ionotropic, N-methyl D-aspartate 2D
GRM4	Glutamate receptor, metabotropic 4
GRM7	Glutamate receptor, metabotropic 7
GSG1L	GSG1-like
HCN1	Hyperpolarization activated cyclic nucleotide-gated potassium channel 1
HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1
HEPACAM	Hepatic and glial cell adhesion molecule
HES5	Hes family bHLH transcription factor 5
HES6	Hes family bHLH transcription factor 6
HEY1	Hes-related family bHLH transcription factor with YRPW motif 1
HHIPL1	HHIP-like 1
HOMER1	Homer homolog 1 (Drosophila)
HS3ST5	Heparan sulfate (glucosamine) 3-O-sulfotransferase 5
HS6ST3	Heparan sulfate 6-O-sulfotransferase 3
HSD11B1L	Hydroxysteroid (11-beta) dehydrogenase 1-like
HSPA12A	Heat shock 70kDa protein 12A
HTR3B	5-hydroxytryptamine (serotonin) receptor 3B, ionotropic
IGSF11	Immunoglobulin superfamily, member 11
IGSF21	Immunoglobin superfamily, member 21
IQSEC3	IQ motif and Sec7 domain 3
ISLR2	Immunoglobulin superfamily containing leucine-rich repeat 2
JAKMIP1	Janus kinase and microtubule interacting protein 1
JAKMIP2	Janus kinase and microtubule interacting protein 2
JAKMIP3	Janus kinase and microtubule interacting protein 3
JPH4	Junctophilin 4
KCNA4	Potassium voltage-gated channel, shaker-related subfamily, member 4
KCNB1	Potassium voltage-gated channel, Shab-related subfamily, member 1
KCNB2	Potassium voltage-gated channel, Shab-related subfamily, member 2
KCND2	Potassium voltage-gated channel, Shal-related subfamily, member 2
KCNE1L	KCNE1-like
KCNH3	Potassium voltage-gated channel, subfamily H (eag-related), member 3
KCNH5	Potassium voltage-gated channel, subfamily H (eag-related), member 5
KCNH8	Potassium voltage-gated channel, subfamily H (eag-related), member 8
KCNIP1	Kv channel interacting protein 1
KCNIP3	Kv channel interacting protein 3, calsenilin
KCNIP4	Kv channel interacting protein 4
KCNJ6	Potassium inwardly-rectifying channel, subfamily J, member 6
KCNK10	Potassium channel, subfamily K, member 10
KCNK4	Potassium channel, subfamily K, member 4
KCNMB4	Potassium large conductance calcium-activated channel, subfamily M, beta member 4
KCNN3	Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3
KCNQ5	Potassium voltage-gated channel, KQT-like subfamily, member 5
KCNS1	Potassium voltage-gated channel, delayed-rectifier, subfamily S, member 1
KCNS2	Potassium voltage-gated channel, delayed-rectifier, subfamily S, member 2
KCNT1	Potassium channel, subfamily T, member 1
KCTD16	Potassium channel tetramerization domain containing 16
KCTD8	Potassium channel tetramerization domain containing 8
KHDRBS2	KH domain containing, RNA binding, signal transduction associated 2
KIAA0319	KIAA0319
KIAA0408	KIAA0408
KIAA0513	KIAA0513
KIAA1107	KIAA1107
KIAA1239	KIAA1239
KIAA1467	KIAA1467
KIAA2022	KIAA2022
KIF5C	Kinesin family member 5C
KLHL1	Kelch-like family member 1
KLRC2	Killer cell lectin-like receptor subfamily C, member 2
KLRC3	Killer cell lectin-like receptor subfamily C, member 3
KNDC1	Kinase non-catalytic C-lobe domain (KIND) containing 1
KRT222	Keratin 222
KSR2	Kinase suppressor of ras 2
L1CAM	L1 cell adhesion molecule
LAMP5	Lysosomal-associated membrane protein family, member 5
LGI3	Leucine-rich repeat LGI family, member 3
LMO3	LIM domain only 3 (rhombotin-like 2)
LPHN3	Latrophilin 3
LPPR3	Hsa-mir-3187
LRFN1	Leucine rich repeat and fibronectin type III domain containing 1
LRFN2	Leucine rich repeat and fibronectin type III domain containing 2
LRP1B	Low density lipoprotein receptor-related protein 1B
LRRC16B	Leucine rich repeat containing 16B
LRRC4	Leucine rich repeat containing 4
LRRC55	Leucine rich repeat containing 55
LRRC7	Leucine rich repeat containing 7
LRRN1	Leucine rich repeat neuronal 1
LRRTM1	Leucine rich repeat transmembrane neuronal 1
LSAMP	Limbic system-associated membrane protein
MAGED4	Melanoma antigen family D, 4
MAGED4B	Melanoma antigen family D, 4B
MAGEE1	Melanoma antigen family E, 1
MAGEE2	Melanoma antigen family E, 2
MAGI2	Membrane associated guanylate kinase, WW and PDZ domain containing 2
MAP1B	Microtubule-associated protein 1B
MAP6	Microtubule-associated protein 6
MAP7D2	MAP7 domain containing 2
MAPK4	Mitogen-activated protein kinase 4
MAPK8IP1	Mitogen-activated protein kinase 8 interacting protein 1
MAPT	Microtubule-associated protein tau
MARCH4	Membrane-associated ring finger (C3HC4) 4, E3 ubiquitin protein ligase
MCF2L2	MCF.2 cell line derived transforming sequence-like 2
MCHR1	Melanin-concentrating hormone receptor 1
MED12L	Mediator complex subunit 12-like
MGAT4C	Mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme C (putative)
MKRN3	Makorin ring finger protein 3
MLLT11	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11
MMP16	Matrix metallopeptidase 16 (membrane-inserted)
MMP17	Matrix metallopeptidase 17 (membrane-inserted)
MPP2	Membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)
MTMR7	Myotubularin related protein 7
MYH15	Myosin, heavy chain 15
MYO16	Myosin XVI
NACAD	NAC alpha domain containing
NALCN	Sodium leak channel, non-selective
NANOS3	Nanos homolog 3 (Drosophila)
NAP1L2	Nucleosome assembly protein 1-like 2
NAP1L3	Nucleosome assembly protein 1-like 3
NAP1L5	Nucleosome assembly protein 1-like 5
NAV3	Neuron navigator 3
NCAM1	Neural cell adhesion molecule 1
NCAM2	Neural cell adhesion molecule 2
NCS1	Neuronal calcium sensor 1
NDRG4	NDRG family member 4
NDST3	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3
NEFM	Neurofilament, medium polypeptide
NELL1	NEL-like 1 (chicken)
NELL2	NEL-like 2 (chicken)
NGEF	Neuronal guanine nucleotide exchange factor
NKG2-E	Uncharacterized protein 
NKX2-2	NK2 homeobox 2
NLGN1	Neuroligin 1
NLGN3	Neuroligin 3
NLGN4X	Neuroligin 4, X-linked
NMB	Neuromedin B
NMNAT2	Nicotinamide nucleotide adenylyltransferase 2
NNAT	Neuronatin
NOG	Noggin
NOL4	Nucleolar protein 4
NOS1AP	Nitric oxide synthase 1 (neuronal) adaptor protein
NOVA1	Neuro-oncological ventral antigen 1
NOVA2	Neuro-oncological ventral antigen 2
NPAS3	Neuronal PAS domain protein 3
NPAS4	Neuronal PAS domain protein 4
NPTX2	Neuronal pentraxin II
NPY2R	Neuropeptide Y receptor Y2
NRG3	Neuregulin 3
NRN1	Neuritin 1
NRXN3	Neurexin 3
NTM	Neurotrimin
NTRK2	Neurotrophic tyrosine kinase, receptor, type 2
NTRK3	Neurotrophic tyrosine kinase, receptor, type 3
NUDT11	Nudix (nucleoside diphosphate linked moiety X)-type motif 11
NYAP1	Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 1
NYAP2	Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2
OLFM2	Olfactomedin 2
OMG	Oligodendrocyte myelin glycoprotein
OPN4	Opsin 4
OPRK1	Opioid receptor, kappa 1
OPRL1	Opiate receptor-like 1
OR2L13	Olfactory receptor, family 2, subfamily L, member 13
OSTN	Osteocrin
OTUD7A	OTU domain containing 7A
PAK3	P21 protein (Cdc42/Rac)-activated kinase 3
PAK7	P21 protein (Cdc42/Rac)-activated kinase 7
PALM2	Paralemmin 2
PANX2	Pannexin 2
PCDH10	Protocadherin 10
PCDH11X	Protocadherin 11 X-linked
PCDH11Y	Protocadherin 11 Y-linked
PCDH15	Protocadherin-related 15
PCDH19	Protocadherin 19
PCDH20	Protocadherin 20
PCDHA1	Protocadherin alpha 1
PCDHA10	Protocadherin alpha 10
PCDHA11	Protocadherin alpha 11
PCDHA4	Protocadherin alpha 4
PCDHA6	Protocadherin alpha 6
PCDHAC2	Protocadherin alpha subfamily C, 2
PCDHGA1	Protocadherin gamma subfamily A, 1
PCDHGA7	Protocadherin gamma subfamily A, 7
PCDHGB6	Protocadherin gamma subfamily B, 6
PCDHGC3	Protocadherin gamma subfamily C, 3
PCLO	Piccolo presynaptic cytomatrix protein
PCP4L1	Purkinje cell protein 4 like 1
PCSK1	Proprotein convertase subtilisin/kexin type 1
PCSK1N	Proprotein convertase subtilisin/kexin type 1 inhibitor
PCYT1B	Phosphate cytidylyltransferase 1, choline, beta
PDXP	Pyridoxal (pyridoxine, vitamin B6) phosphatase
PGBD5	PiggyBac transposable element derived 5
PHACTR1	Phosphatase and actin regulator 1
PHACTR3	Phosphatase and actin regulator 3
PHYHIP	Phytanoyl-CoA 2-hydroxylase interacting protein
PHYHIPL	Phytanoyl-CoA 2-hydroxylase interacting protein-like
PIANP	PILR alpha associated neural protein
PLCB1	Phospholipase C, beta 1 (phosphoinositide-specific)
PLEKHB1	Pleckstrin homology domain containing, family B (evectins) member 1
PLXNB3	Plexin B3
PNCK	Pregnancy up-regulated nonubiquitous CaM kinase
PNMA6A	Paraneoplastic Ma antigen family member 6A
PNMA6B	Paraneoplastic Ma antigen family member 6B (pseudogene)
PNMA6C	Paraneoplastic Ma antigen family member 6C
PNMA6D	Paraneoplastic Ma antigen family member 6D (pseudogene)
PNMAL1	Paraneoplastic Ma antigen family-like 1
PNMAL2	Paraneoplastic Ma antigen family-like 2
PNOC	Prepronociceptin
PODXL2	Podocalyxin-like 2
POU3F4	POU class 3 homeobox 4
POU6F2	POU class 6 homeobox 2
PPFIA2	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2
PPFIA4	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4
PPM1E	Protein phosphatase, Mg2+/Mn2+ dependent, 1E
PPP2R2B	Protein phosphatase 2, regulatory subunit B, beta
PPP2R2C	Protein phosphatase 2, regulatory subunit B, gamma
PRKCB	Protein kinase C, beta
PROKR2	Prokineticin receptor 2
PRR7	Proline rich 7 (synaptic)
PRRG3	Proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane)
PRRT2	Proline-rich transmembrane protein 2
PRRT3	Proline-rich transmembrane protein 3
PSD	Pleckstrin and Sec7 domain containing
PSD3	Pleckstrin and Sec7 domain containing 3
PSRC1	Proline/serine-rich coiled-coil 1
PTCHD1	Patched domain containing 1
PTPRD	Protein tyrosine phosphatase, receptor type, D
PTPRR	Protein tyrosine phosphatase, receptor type, R
PURG	Purine-rich element binding protein G
RAB33A	RAB33A, member RAS oncogene family
RAB39B	RAB39B, member RAS oncogene family
RAB3C	RAB3C, member RAS oncogene family
RANBP3L	RAN binding protein 3-like
RAPGEF4	Rap guanine nucleotide exchange factor (GEF) 4
RASGEF1A	RasGEF domain family, member 1A
RASGEF1C	RasGEF domain family, member 1C
RCOR2	REST corepressor 2
REEP2	Receptor accessory protein 2
RESP18	Regulated endocrine-specific protein 18
RFTN2	Raftlin family member 2
RGS20	Regulator of G-protein signaling 20
RGS4	Regulator of G-protein signaling 4
RGS6	Regulator of G-protein signaling 6
RGS7	Regulator of G-protein signaling 7
RGS7BP	Regulator of G-protein signaling 7 binding protein
RGS8	Regulator of G-protein signaling 8
RHBDL3	Rhomboid, veinlet-like 3 (Drosophila)
RIMBP2	RIMS binding protein 2
RIMKLA	Ribosomal modification protein rimK-like family member A
RIMS1	Regulating synaptic membrane exocytosis 1
RIMS2	Regulating synaptic membrane exocytosis 2
RIMS4	Regulating synaptic membrane exocytosis 4
RND2	Rho family GTPase 2
RNF112	Ring finger protein 112
RNF157	Ring finger protein 157
RNF165	Ring finger protein 165
RNF175	Ring finger protein 175
RNF182	Ring finger protein 182
RNFT2	Ring finger protein, transmembrane 2
ROBO2	Roundabout, axon guidance receptor, homolog 2 (Drosophila)
RORB	RAR-related orphan receptor B
RP11-1026M7.2	Uncharacterized protein 
RP11-1102P16.1	Uncharacterized protein 
RP11-247C2.2	HCG2004779; Uncharacterized protein 
RP11-571M6.15	Uncharacterized protein 
RP11-826N14.2	Uncharacterized protein 
RP11-977G19.10	Uncharacterized protein 
RPE65	Retinal pigment epithelium-specific protein 65kDa
RPS6KL1	Ribosomal protein S6 kinase-like 1
RTBDN	Retbindin
RTN4R	Reticulon 4 receptor
RTN4RL1	Reticulon 4 receptor-like 1
RXFP1	Relaxin/insulin-like family peptide receptor 1
SALL3	Spalt-like transcription factor 3
SAMD14	Sterile alpha motif domain containing 14
SCAMP5	Secretory carrier membrane protein 5
SCD5	Stearoyl-CoA desaturase 5
SCG5	Secretogranin V (7B2 protein)
SCHIP1	Schwannomin interacting protein 1
SCN3A	Sodium channel, voltage-gated, type III, alpha subunit
SCRG1	Stimulator of chondrogenesis 1
SEC14L5	SEC14-like 5 (S. cerevisiae)
SEMA5B	Sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B
SEMA6B	Sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B
SEPT4	Septin 4
SERP2	Stress-associated endoplasmic reticulum protein family member 2
SEZ6L2	Seizure related 6 homolog (mouse)-like 2
SGIP1	SH3-domain GRB2-like (endophilin) interacting protein 1
SGTB	Small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta
SHC4	SHC (Src homology 2 domain containing) family, member 4
SHISA6	Shisa family member 6
SHISA9	Shisa family member 9
SLC22A17	Solute carrier family 22, member 17
SLC24A4	Solute carrier family 24 (sodium/potassium/calcium exchanger), member 4
SLC25A22	Solute carrier family 25 (mitochondrial carrier: glutamate), member 22
SLC25A48	Solute carrier family 25, member 48
SLC2A13	Solute carrier family 2 (facilitated glucose transporter), member 13
SLC35F3	Solute carrier family 35, member F3
SLC45A1	Solute carrier family 45, member 1
SLC4A8	Solute carrier family 4, sodium bicarbonate cotransporter, member 8
SLC6A11	Solute carrier family 6 (neurotransmitter transporter), member 11
SLC6A15	Solute carrier family 6 (neutral amino acid transporter), member 15
SLC7A11	Solute carrier family 7 (anionic amino acid transporter light chain, xc- system), member 11
SLCO1A2	Solute carrier organic anion transporter family, member 1A2
SLITRK2	SLIT and NTRK-like family, member 2
SLITRK3	SLIT and NTRK-like family, member 3
SLITRK4	SLIT and NTRK-like family, member 4
SLITRK5	SLIT and NTRK-like family, member 5
SMOC1	SPARC related modular calcium binding 1
SNCA	Synuclein, alpha (non A4 component of amyloid precursor)
SNPH	Syntaphilin
SNTG1	Syntrophin, gamma 1
SNX32	Sorting nexin 32
SOGA3	C6orf174 protein 
SORCS3	Sortilin-related VPS10 domain containing receptor 3
SOX1	SRY (sex determining region Y)-box 1
SOX10	SRY (sex determining region Y)-box 10
SOX2	SRY (sex determining region Y)-box 2
SPOCK1	Sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1
SPTBN2	Spectrin, beta, non-erythrocytic 2
SPTBN4	Spectrin, beta, non-erythrocytic 4
SRCIN1	SRC kinase signaling inhibitor 1
SRGAP3	SLIT-ROBO Rho GTPase activating protein 3
SRRM3	Serine/arginine repetitive matrix 3
SSTR2	Somatostatin receptor 2
ST6GAL2	ST6 beta-galactosamide alpha-2,6-sialyltranferase 2
STAC2	SH3 and cysteine rich domain 2
STMN3	Stathmin-like 3
STX1A	Syntaxin 1A (brain)
STXBP5L	Syntaxin binding protein 5-like
SV2C	Synaptic vesicle glycoprotein 2C
SYN3	Synapsin III
SYNDIG1	Synapse differentiation inducing 1
SYT12	Synaptotagmin XII
SYT13	Synaptotagmin XIII
SYT16	Synaptotagmin XVI
SYT17	Synaptotagmin XVII
SYT2	Synaptotagmin II
SYT6	Synaptotagmin VI
SYT7	Synaptotagmin VII
SYT9	Synaptotagmin IX
TAC1	Tachykinin, precursor 1
TCEAL2	Transcription elongation factor A (SII)-like 2
TCEAL5	Transcription elongation factor A (SII)-like 5
TCEAL6	Transcription elongation factor A (SII)-like 6
TCEAL7	Transcription elongation factor A (SII)-like 7
TGFBR3L	Transforming growth factor, beta receptor III-like
TMEM121	Transmembrane protein 121
TMEM132A	Transmembrane protein 132A
TMEM145	Transmembrane protein 145
TMEM155	Transmembrane protein 155
TMEM169	Transmembrane protein 169
TMEM178A	Transmembrane protein 178A
TMEM178B	Transmembrane protein 178B
TMEM196	Transmembrane protein 196
TMEM240	Transmembrane protein 240
TMEM35	Transmembrane protein 35
TMEM63C	Transmembrane protein 63C
TMEM74	Transmembrane protein 74
TMPRSS5	Transmembrane protease, serine 5
TREM2	Triggering receptor expressed on myeloid cells 2
TRIM46	Tripartite motif containing 46
TRPC5	Transient receptor potential cation channel, subfamily C, member 5
TTBK1	Tau tubulin kinase 1
TTLL7	Tubulin tyrosine ligase-like family, member 7
TTYH1	Tweety family member 1
TUBB3	Tubulin beta-3 chain 
UBE2QL1	Ubiquitin-conjugating enzyme E2Q family-like 1
UGT8	UDP glycosyltransferase 8
UNC5D	Unc-5 homolog D (C. elegans)
UNC79	Unc-79 homolog (C. elegans)
UNC80	Unc-80 homolog (C. elegans)
VAX2	Ventral anterior homeobox 2
VSNL1	Visinin-like 1
VSTM2A	V-set and transmembrane domain containing 2A
VSTM2L	V-set and transmembrane domain containing 2 like
VSX1	Visual system homeobox 1
WASF1	WAS protein family, member 1
WASF3	WAS protein family, member 3
WBSCR17	Williams-Beuren syndrome chromosome region 17
WDR17	WD repeat domain 17
WNT10B	Wingless-type MMTV integration site family, member 10B
WNT7A	Wingless-type MMTV integration site family, member 7A
YPEL4	Yippee-like 4 (Drosophila)
ZIC1	Zic family member 1
ZIC4	Zic family member 4
ZNF488	Zinc finger protein 488
ZNF536	Zinc finger protein 536
ZNF804A	Zinc finger protein 804A
ZSCAN1	Zinc finger and SCAN domain containing 1
