Chromosome Name	Gene Start (bp)	Gene End (bp)	Ensembl Gene ID	Associated Gene Name
14	51808971	51906283	ENSPTRG00000006355	FERMT2
5	144575552	144583931	ENSPTRG00000017364	HMHB1
4	59487148	59499664	ENSPTRG00000016134	IGJ
15	46356407	46523803	ENSPTRG00000007052	GALK2
5	144920628	144931493	ENSPTRG00000017365	YIPF5
8	117656082	117705541	ENSPTRG00000020529	COLEC10
4	59508385	59525690	ENSPTRG00000016133	ENAM
7	101412857	101437776	ENSPTRG00000019507	EPHB4
5	144967500	145238134	ENSPTRG00000017366	KCTD16
16	56848169	56893897	ENSPTRG00000008167	KIFC3
8	118012138	118020266	ENSPTRG00000020531	NOV
12	38850866	38931997	ENSPTRG00000004935	LARP4
5	146576048	146652382	ENSPTRG00000017368	PRELID2
17	15201081	15204956	ENSPTRG00000009197	GHDC
4	59548938	59563930	ENSPTRG00000023351	AMBN
19	11040660	11044797	ENSPTRG00000010484	TMED1
11	63254419	63261871	ENSPTRG00000003871	CDC42EP2
20	39019134	40149568	ENSPTRG00000013505	PTPRT
9	93326243	93361549	ENSPTRG00000021136	FBP2
11	63273390	63293346	ENSPTRG00000003872	DPF2
8	118156435	118237534	ENSPTRG00000020534	ENPP2
19	11057117	11079900	ENSPTRG00000033817	C19orf38
2B	182110436	182113690	ENSPTRG00000012682	TTC30A
17	15209221	15210609	ENSPTRG00000009196	HCRT
2B	182123432	182554988	ENSPTRG00000012684	PDE11A
19	11117450	11135303	ENSPTRG00000010485	CARM1
17	15213379	15237800	ENSPTRG00000009195	KCNH4
6	32446061	32451089	ENSPTRG00000018010	RNF5
1	52008946	52180256	ENSPTRG00000000730	OSBPL9
9	93370879	93407942	ENSPTRG00000021138	FBP1
5	146676844	146699094	ENSPTRG00000028540	GRXCR2
6	32448674	32452021	ENSPTRG00000018011	AGER
5	146767167	146897651	ENSPTRG00000017369	SH3RF2
15	46522398	46821340	ENSPTRG00000007055	FAM227B
19	11136112	11141926	ENSPTRG00000010486	YIPF2
4	59624732	59638868	ENSPTRG00000016132	AMTN
3	53667410	53685377	ENSPTRG00000034152	ITIH4
7	101462975	101477308	ENSPTRG00000019509	SLC12A9
19	11142094	11143593	ENSPTRG00000010487	C19ORF52
19	11177158	11250608	ENSPTRG00000010488	SMARCA4
9	93427087	93434740	ENSPTRG00000029213	
11	63315996	63321894	ENSPTRG00000003874	SLC25A45
9	93536648	93868336	ENSPTRG00000021139	C9orf3
14	52001861	52113192	ENSPTRG00000006357	DDHD1
17	15239681	15269881	ENSPTRG00000009194	RAB5C
16	56904643	56907797	ENSPTRG00000008168	
4	59673679	59683280	ENSPTRG00000016131	MUC7
5	146918791	146941204	ENSPTRG00000017370	PLAC8L1
16	56975676	57059425	ENSPTRG00000008169	CNGB1
15	46623634	46689865	ENSPTRG00000007057	FGF7
4	59753185	59765533	ENSPTRG00000016130	PROL1
4	59773284	59780302	ENSPTRG00000016129	SMR3B
5	146949878	147019757	ENSPTRG00000017372	LARS
15	46821448	46849437	ENSPTRG00000007058	DTWD1
12	38935153	38981626	ENSPTRG00000038900	FAM186A
4	59796733	59801739	ENSPTRG00000016128	SMR3A
19	11308707	11352128	ENSPTRG00000010490	LDLR
2B	182596881	182614047	ENSPTRG00000012686	RBM45
12	39054200	39163930	ENSPTRG00000004928	LIMA1
4	59828094	59830255	ENSPTRG00000016127	CABS1
11	63397207	63408561	ENSPTRG00000038889	
4	59906751	59915596	ENSPTRG00000016126	CSN3
7	101477625	101483736	ENSPTRG00000019510	TRIP6
11	63466613	63480537	ENSPTRG00000003879	SCYL1
4	59922745	59932413	ENSPTRG00000016125	FDCSP
16	57068604	57079094	ENSPTRG00000008170	TEPP
10	71967991	72006859	ENSPTRG00000002629	ANXA7
15	47051895	47316472	ENSPTRG00000007061	ATP8B4
4	59954591	59962650	ENSPTRG00000016124	ODAM
2B	182679038	182889260	ENSPTRG00000012687	OSBPL6
3	53688130	53753182	ENSPTRG00000015018	TMEM110
9	93882748	94100256	ENSPTRG00000021140	FANCC
16	57087513	57089771	ENSPTRG00000031195	ZNF319
16	57093456	57115343	ENSPTRG00000008172	USB1
17	15272961	15281271	ENSPTRG00000009192	KAT2A
1	52180958	52273623	ENSPTRG00000000731	NRD1
14	52896484	52903575	ENSPTRG00000006358	BMP4
2A	44840121	44908505	ENSPTRG00000011881	PPM1B
14	53344556	53367831	ENSPTRG00000006360	CDKN3
4	60000294	60004832	ENSPTRG00000016123	PRR27
3	53759044	53904500	ENSPTRG00000015019	SFMBT1
16	57120405	57141646	ENSPTRG00000008173	MMP15
4	60108185	60116575	ENSPTRG00000016122	HTN1
9	94074328	94076841	ENSPTRG00000039664	
9	95007155	95080063	ENSPTRG00000021150	HSD17B3
4	60130191	60138317	ENSPTRG00000031183	HTN3
20	40423911	40427597	ENSPTRG00000013506	SRSF6
12	39120141	39211155	ENSPTRG00000004927	CERS5
4	60168049	60174576	ENSPTRG00000016121	STATH
20	40481235	40509359	ENSPTRG00000013507	L3MBTL1
16	57208885	57224879	ENSPTRG00000008174	C16ORF80
12	39217353	39217552	ENSPTRG00000039598	
17	15281649	15294258	ENSPTRG00000009191	DHX58
12	39220518	39229263	ENSPTRG00000004926	COX14
11	63480386	63501053	ENSPTRG00000003880	LTBP3
15	47378381	47431652	ENSPTRG00000007062	SLC27A2
2A	44961525	45009598	ENSPTRG00000011883	SLC3A1
12	39230070	39237365	ENSPTRG00000004925	GPD1
4	60209630	60215362	ENSPTRG00000016120	CSN2
19	11367732	11377152	ENSPTRG00000010491	SPC24
6	32452430	32457875	ENSPTRG00000018012	PBX2
3	53950322	53991057	ENSPTRG00000015022	RFT1
7	101485368	101499035	ENSPTRG00000019511	SRRT
9	95098619	95161995	ENSPTRG00000021151	SLC35D2
8	118329261	118433389	ENSPTRG00000020535	TAF2
16	57249006	57282838	ENSPTRG00000008175	CSNK2A2
16	57339879	57372995	ENSPTRG00000008176	CCDC113
19	11386519	11419846	ENSPTRG00000010492	KANK2
12	39242046	39256123	ENSPTRG00000004924	SMARCD1
6	32458485	32460572	ENSPTRG00000023968	GPSM3
4	60224312	60240681	ENSPTRG00000016119	CSN1S1
12	39258469	39285196	ENSPTRG00000004923	ASIC1
10	72016087	72026669	ENSPTRG00000002630	MSS51
3	54044551	54054106	ENSPTRG00000015023	PRKCD
6	32462535	32492701	ENSPTRG00000034379	NOTCH4
17	15334352	15374314	ENSPTRG00000009190	ZNF385C
19	11424607	11489653	ENSPTRG00000010493	DOCK6
20	40533761	40553395	ENSPTRG00000013508	SGK2
3	54087055	54104212	ENSPTRG00000015024	TKT
17	15374256	15379822	ENSPTRG00000009189	NKIRAS2
16	57371180	57386228	ENSPTRG00000008178	PRSS54
14	53372869	53387414	ENSPTRG00000006361	CNIH
15	47437198	47461202	ENSPTRG00000007063	HDC
10	72029898	72092481	ENSPTRG00000002631	PPP3CB
16	57487123	57498262	ENSPTRG00000008179	GINS3
17	15382201	15424871	ENSPTRG00000009188	DNAJC7
14	53420843	53436080	ENSPTRG00000023658	GMFB
16	57559286	57609147	ENSPTRG00000008181	NDRG4
3	54358528	54654674	ENSPTRG00000015026	CACNA1D
12	39317052	39353985	ENSPTRG00000004921	RACGAP1
9	95164235	95196637	ENSPTRG00000021153	ZNF367
4	60311730	60330985	ENSPTRG00000016118	SULT1E1
9	95229490	95272519	ENSPTRG00000021154	HABP4
8	118435457	118456458	ENSPTRG00000020536	DSCC1
2A	45009610	45050412	ENSPTRG00000011884	PREPL
3	54687139	54716185	ENSPTRG00000015027	CHDH
8	118474538	118659335	ENSPTRG00000020537	DEPTOR
15	47472437	47558836	ENSPTRG00000007064	GABPB1
19	11462223	11467524	ENSPTRG00000010494	C19orf80
1	52315505	52375985	ENSPTRG00000000732	RAB3B
3	54716585	54735824	ENSPTRG00000015028	IL17RB
1	52417252	52453281	ENSPTRG00000000733	TXNDC12
7	101501398	101506373	ENSPTRG00000019514	ACHE
19	11523258	11552242	ENSPTRG00000010495	TSPAN16
4	60415324	60449268	ENSPTRG00000016117	SULT1B1
14	53456860	53487305	ENSPTRG00000006363	CGRRF1
11	63513606	63514895	ENSPTRG00000003881	SSSCA1
19	11546861	11565240	ENSPTRG00000010497	RAB3D
7	101561237	101564495	ENSPTRG00000040769	
11	63515506	63517352	ENSPTRG00000003882	FAM89B
7	101565564	101572354	ENSPTRG00000019515	MUC3A
14	53517201	53747785	ENSPTRG00000006364	SAMD4A
9	95280974	95401733	ENSPTRG00000021155	CDC14B
4	60530371	60594450	ENSPTRG00000016116	
2A	45397703	45466737	ENSPTRG00000011886	CAMKMT
11	63519534	63536143	ENSPTRG00000003883	EHBP1L1
19	11568339	11572394	ENSPTRG00000010498	TMEM205
7	101614686	101619482	ENSPTRG00000041925	MUC12
6	32566141	32650813	ENSPTRG00000018014	C6orf10
7	101695718	101697901	ENSPTRG00000019518	TRIM56
7	101735817	101746701	ENSPTRG00000019519	SERPINE1
8	118733674	118981306	ENSPTRG00000020539	COL14A1
2A	45615825	45616510	ENSPTRG00000040114	
2A	45637536	45639978	ENSPTRG00000011887	SIX3
2A	45702199	45706445	ENSPTRG00000011888	SIX2
4	60681669	60697405	ENSPTRG00000031179	UGT2B4
2A	46089832	46313420	ENSPTRG00000011889	SRBD1
1	52453295	52487528	ENSPTRG00000000735	BTF3L4
19	11574218	11580774	ENSPTRG00000040791	CCDC159
3	54737110	54752268	ENSPTRG00000015029	ACTR8
12	39365957	39375843	ENSPTRG00000004920	AQP6
10	72098032	72173052	ENSPTRG00000002632	USP54
9	95424653	95438699	ENSPTRG00000021156	AAED1
19	11600832	11603072	ENSPTRG00000010501	SWSAP1
12	39377399	39381574	ENSPTRG00000004919	AQP5
19	11603746	11611076	ENSPTRG00000029123	EPOR
15	47641212	47719303	ENSPTRG00000007065	USP8
20	40559163	40617412	ENSPTRG00000013509	IFT52
4	60754906	60788768	ENSPTRG00000016110	
9	95536682	95556679	ENSPTRG00000023307	ZNF510
17	15423553	15434570	ENSPTRG00000009187	CNP
19	11621383	11647216	ENSPTRG00000010502	RGL3
11	63536704	63539841	ENSPTRG00000003885	KCNK7
1	52619851	52753665	ENSPTRG00000000736	ZFYVE9
12	39387230	39392367	ENSPTRG00000004918	AQP2
17	15435664	15471238	ENSPTRG00000030946	TTC25
3	54755256	54762020	ENSPTRG00000015030	SELK
2B	182923629	182943153	ENSPTRG00000012688	PRKRA
12	39439665	39476577	ENSPTRG00000004917	FAIM2
11	63541616	63558174	ENSPTRG00000003886	MAP3K11
9	95595586	95631672	ENSPTRG00000021157	ZNF782
4	60820332	60828779	ENSPTRG00000039427	
10	72229069	72239125	ENSPTRG00000002633	MYOZ1
6	32746593	32752086	ENSPTRG00000018016	PATR-DRA
9	95705283	95716366	ENSPTRG00000041325	
9	95727015	95751415	ENSPTRG00000021159	HIATL2
4	60881474	60897989	ENSPTRG00000031178	UGT2B7
14	53797550	53860042	ENSPTRG00000006365	GCH1
9	95803350	95812986	ENSPTRG00000002675	CTSV
10	72242240	72253923	ENSPTRG00000002634	SYNPO2L
7	101761797	101768633	ENSPTRG00000019520	AP1S1
3	54995058	55943448	ENSPTRG00000015031	CACNA2D3
17	15483255	15531142	ENSPTRG00000023148	ACLY
5	147040144	147125258	ENSPTRG00000017373	RBM27
6	32829575	32843448	ENSPTRG00000023735	DRB5*0102
2A	46356512	46898544	ENSPTRG00000011890	PRKCE
4	60973446	60988948	ENSPTRG00000023951	
10	72307371	72308098	ENSPTRG00000041399	
7	101777873	101782278	ENSPTRG00000019522	NAT16
10	72308647	72310471	ENSPTRG00000041595	
20	40635944	40687142	ENSPTRG00000013510	MYBL2
4	61041724	61066221	ENSPTRG00000022603	UGT2A3
7	101803965	101809307	ENSPTRG00000019523	MOGAT3
10	72320447	72349441	ENSPTRG00000002637	SEC24C
12	39499059	39504360	ENSPTRG00000004916	BCDIN3D
11	63560237	63581320	ENSPTRG00000003887	PCNXL3
12	39513378	39556164	ENSPTRG00000023249	NCKAP5L
9	96069448	96074663	ENSPTRG00000038734	
9	96085232	96155625	ENSPTRG00000021162	CCDC180
16	57617127	57623140	ENSPTRG00000008182	SETD6
2A	47018160	47107397	ENSPTRG00000011891	EPAS1
2B	182943358	182952850	ENSPTRG00000029126	DFNB59
4	61131890	61147888	ENSPTRG00000016112	
12	39584698	39608807	ENSPTRG00000004914	TMBIM6
6	32866856	33005089	ENSPTRG00000018001	DRB1*0204
8	119005186	119052535	ENSPTRG00000020541	MRPL13
7	101810063	101811581	ENSPTRG00000028458	
14	53897914	53990784	ENSPTRG00000006366	WDHD1
17	15544865	15555421	ENSPTRG00000009182	KLHL10
7	101814282	101826013	ENSPTRG00000019524	PLOD3
20	40697227	40697759	ENSPTRG00000013511	GTSF1L
2B	182955132	182970660	ENSPTRG00000012689	FKBP7
1	52757584	52771487	ENSPTRG00000000737	CC2D1B
20	40879225	41037094	ENSPTRG00000013512	TOX2
5	147175873	147177369	ENSPTRG00000017374	POU4F3
4	61288813	61313539	ENSPTRG00000022951	UGT2B15
17	15556984	15567976	ENSPTRG00000009181	NT5C3B
16	57622582	57733224	ENSPTRG00000008183	CNOT1
11	63585375	63596087	ENSPTRG00000034510	SIPA1
5	147285497	147350234	ENSPTRG00000017375	TCERG1
2B	182972509	182997079	ENSPTRG00000012690	PLEKHA3
8	119052554	119135340	ENSPTRG00000020542	MTBP
4	61355987	61387947	ENSPTRG00000023166	UGT2B17
2A	47216219	47221474	ENSPTRG00000011892	TMEM247
19	11648688	11663123	ENSPTRG00000010504	CCDC151
2A	47249830	47257985	ENSPTRG00000011893	ATP6V1E2
4	61427541	61477696	ENSPTRG00000016107	TMPRSS11E
20	41165795	41180088	ENSPTRG00000013514	OSER1
2A	47319146	47358727	ENSPTRG00000011895	PIGF
2B	183017973	183301216	ENSPTRG00000012691	TTN
12	39643703	39715582	ENSPTRG00000004913	FMNL3
11	63598755	63608100	ENSPTRG00000003889	RELA
20	41216202	41249554	ENSPTRG00000013515	GDAP1L1
1	52780120	52816776	ENSPTRG00000000738	ORC1
8	119147450	119429661	ENSPTRG00000020543	SNTB1
19	11664260	11677995	ENSPTRG00000010505	PRKCSH
6	33054134	33059354	ENSPTRG00000034186	
4	61570233	61607233	ENSPTRG00000016105	YTHDC1
2A	47358898	47366600	ENSPTRG00000011896	CRIPT
6	33071760	33078556	ENSPTRG00000018018	PATR-DQB1
17	15569982	15580445	ENSPTRG00000009180	FKBP10
8	120262248	120290673	ENSPTRG00000020544	HAS2
2A	47559237	47565202	ENSPTRG00000039967	
6	33152816	33158347	ENSPTRG00000018017	HLA-DQA2
19	11682794	11709340	ENSPTRG00000010506	ELAVL3
6	33168690	33174994	ENSPTRG00000023404	HLA-DQB2
2A	47650016	47689213	ENSPTRG00000011898	MCFD2
7	101825987	101832465	ENSPTRG00000019525	ZNHIT1
8	121332008	121332908	ENSPTRG00000039018	
15	47718993	47767903	ENSPTRG00000007067	USP50
20	41276335	41281013	ENSPTRG00000013516	FITM2
8	121447171	121638219	ENSPTRG00000020545	ZHX2
2A	47689023	47823189	ENSPTRG00000011899	TTC7A
20	41303283	41317994	ENSPTRG00000013517	R3HDML
6	33220240	33224589	ENSPTRG00000018020	PATR-DOB
8	121677293	121707406	ENSPTRG00000020546	DERL1
11	63659174	63666478	ENSPTRG00000003890	KAT5
20	41368854	41398644	ENSPTRG00000013519	HNF4A
19	11712411	11735875	ENSPTRG00000010507	ZNF653
14	53990809	54013445	ENSPTRG00000006368	SOCS4
7	101840390	101846325	ENSPTRG00000033771	CLDN15
15	47781882	47910098	ENSPTRG00000007068	TRPM7
19	11736019	11757924	ENSPTRG00000010508	ECSIT
14	54015597	54029975	ENSPTRG00000006369	MAPK1IP1L
4	61674741	61694511	ENSPTRG00000016104	TMPRSS11B
3	55788538	55797662	ENSPTRG00000015033	LRTM1
7	101846524	101853354	ENSPTRG00000019527	FIS1
19	11768036	11779902	ENSPTRG00000010511	CNN1
14	54099377	54115796	ENSPTRG00000006370	LGALS3
6	33230956	33247276	ENSPTRG00000018021	
3	56337379	56354828	ENSPTRG00000015034	WNT5A
10	72349600	72353973	ENSPTRG00000024232	FUT11
17	15581903	15591455	ENSPTRG00000009179	P3H4
12	39706874	39723037	ENSPTRG00000004912	PRPF40B
7	101923141	101930152	ENSPTRG00000019528	RABL5
17	15608109	15802086	ENSPTRG00000009178	JUP
20	41421369	41434682	ENSPTRG00000030548	
8	121737906	121817953	ENSPTRG00000020547	WDR67
4	61704029	61725515	ENSPTRG00000041441	
10	72360008	72361606	ENSPTRG00000002638	CHCHD1
20	41443828	41463069	ENSPTRG00000013521	TTPAL
4	61787677	61872503	ENSPTRG00000022832	TMPRSS11F
6	33249876	33253192	ENSPTRG00000018022	PSMB8
17	15661639	15671655	ENSPTRG00000009177	HAP1
10	72363617	72379846	ENSPTRG00000034304	ZSWIM8
20	41467731	41491404	ENSPTRG00000013522	SERINC3
5	147428939	147888865	ENSPTRG00000017377	PPP2R2B
2A	47833798	47904409	ENSPTRG00000011900	C2orf61
7	102219390	102235025	ENSPTRG00000019530	MYL10
4	61953837	62005657	ENSPTRG00000016102	TMPRSS11A
14	54118518	54164712	ENSPTRG00000006371	DLGAP5
1	52816852	52830605	ENSPTRG00000000739	PRPF38A
17	15680408	15684015	ENSPTRG00000009176	GAST
7	102422688	102855399	ENSPTRG00000019531	CUX1
3	56376947	57353565	ENSPTRG00000015035	ERC2
2A	47909122	47925989	ENSPTRG00000011901	CALM1
9	96190228	96275420	ENSPTRG00000022912	TDRD7
19	11783624	11784225	ENSPTRG00000010512	ELOF1
17	15701392	15704168	ENSPTRG00000009175	EIF1
19	11804922	11807037	ENSPTRG00000010513	ACP5
19	11828485	11849158	ENSPTRG00000017634	ZNF627
19	12012523	12016812	ENSPTRG00000023924	ZNF441
19	12049084	12065483	ENSPTRG00000023439	
6	33254362	33263145	ENSPTRG00000018023	TAP1
17	15773893	15779084	ENSPTRG00000009173	KRT17
1	52835552	52966056	ENSPTRG00000000740	ZCCHC11
5	148077746	148228910	ENSPTRG00000017379	STK32A
4	62028958	62092153	ENSPTRG00000016101	TMPRSS11D
15	47931878	47991610	ENSPTRG00000007070	SPPL2A
3	57441991	57495354	ENSPTRG00000015037	CCDC66
19	12103124	12105092	ENSPTRG00000010519	ZNF439
19	12146834	12148081	ENSPTRG00000010516	ZNF69
19	12170364	12195347	ENSPTRG00000010515	ZNF700
11	63666560	63667558	ENSPTRG00000038742	RNASEH2C
19	12210323	12225086	ENSPTRG00000004632	
11	63735851	63746333	ENSPTRG00000003893	OVOL1
12	39751090	39775116	ENSPTRG00000004911	FAM186B
19	12259788	12262900	ENSPTRG00000010517	ZNF433
19	12289268	12302391	ENSPTRG00000041125	
2A	48105166	48147435	ENSPTRG00000011902	EPCAM
4	62158460	62176973	ENSPTRG00000016100	GNRHR
11	63784297	63804564	ENSPTRG00000003894	SNX32
10	72379970	72386190	ENSPTRG00000002641	
19	12337887	12345380	ENSPTRG00000029463	
20	41590885	41624043	ENSPTRG00000013524	ADA
9	96281581	96385685	ENSPTRG00000021165	TMOD1
4	62212656	62298589	ENSPTRG00000016099	UBA6
19	12358684	12360533	ENSPTRG00000010522	
12	39795190	39803257	ENSPTRG00000004910	MCRS1
19	12397567	12411346	ENSPTRG00000010523	ZNF625
2A	48280095	48329883	ENSPTRG00000011904	KCNK12
2A	48544720	48570234	ENSPTRG00000011906	MSH6
8	121850534	121851239	ENSPTRG00000041495	
19	12504347	12508151	ENSPTRG00000039144	
14	54245318	54327690	ENSPTRG00000006373	FBXO34
5	148235233	148297390	ENSPTRG00000017380	DPYSL3
8	121851069	121878401	ENSPTRG00000020548	FAM83A
19	12530060	12552455	ENSPTRG00000022562	ZNF44
14	54340645	54386914	ENSPTRG00000006375	ATG14
3	57496492	57557052	ENSPTRG00000015038	FAM208A
19	12576503	12591400	ENSPTRG00000010526	ZNF563
2A	48570204	48671280	ENSPTRG00000011907	FBXO11
11	63805705	63809203	ENSPTRG00000003895	CFL1
8	121889450	121912833	ENSPTRG00000020549	C8ORF76
15	48134794	48232756	ENSPTRG00000007072	AP4E1
6	33263328	33269002	ENSPTRG00000018024	PSMB9
19	12607817	12623027	ENSPTRG00000010525	ZNF442
17	15785915	15788949	ENSPTRG00000009171	KRT16
10	72392924	72452616	ENSPTRG00000002643	CAMK2G
14	54389325	54416528	ENSPTRG00000006376	TBPL2
9	96384024	96419789	ENSPTRG00000021166	TSTD2
19	12642103	12660850	ENSPTRG00000023415	ZNF799
19	12690925	12693964	ENSPTRG00000029117	ZNF443
5	148435883	148628618	ENSPTRG00000017381	JAKMIP2
19	12791081	12816173	ENSPTRG00000023641	ZNF564
11	63811271	63817487	ENSPTRG00000003896	MUS81
6	33349254	33356396	ENSPTRG00000018025	PATR-DMB
8	121919850	121946308	ENSPTRG00000020550	ZHX1
19	12847537	12877921	ENSPTRG00000010528	ZNF490
1	53017258	53024435	ENSPTRG00000000741	GPX7
14	54588052	54660611	ENSPTRG00000006378	KTN1
8	121990488	122067532	ENSPTRG00000020551	ATAD2
19	12878321	12896162	ENSPTRG00000010521	ZNF791
1	53049230	53073384	ENSPTRG00000000744	FAM159A
19	12917929	12932869	ENSPTRG00000010530	MAN2B1
1	53112642	53124983	ENSPTRG00000000745	SELRC1
17	15811678	15816294	ENSPTRG00000009172	KRT14
10	72494153	72500761	ENSPTRG00000002646	PLAU
1	53153700	53260058	ENSPTRG00000000746	ZYG11B
19	12932972	12941990	ENSPTRG00000010532	WDR83
9	96419735	96458150	ENSPTRG00000021167	NCBP1
6	33363236	33367823	ENSPTRG00000018026	HLA-DMA
3	57602966	57959899	ENSPTRG00000015041	ARHGEF3
6	33385846	33396365	ENSPTRG00000018027	BRD2
19	12934204	12937495	ENSPTRG00000010531	WDR83OS
11	63817488	63824002	ENSPTRG00000003897	EFEMP2
12	39803268	39823237	ENSPTRG00000004909	KCNH3
17	15826524	15832734	ENSPTRG00000009169	KRT9
15	48283953	48332882	ENSPTRG00000007073	TNFAIP8L3
19	12941877	12948605	ENSPTRG00000010533	DHPS
20	41689345	41702408	ENSPTRG00000013526	WISP2
15	48431331	48466251	ENSPTRG00000007074	CYP19A1
7	102891820	102928421	ENSPTRG00000019534	SH2B2
16	57782596	57807032	ENSPTRG00000008184	SLC38A7
17	15870475	15875268	ENSPTRG00000009168	KRT19
7	102956619	102964410	ENSPTRG00000028448	
20	41721119	41727594	ENSPTRG00000013527	KCNK15
1	53275080	53334948	ENSPTRG00000030596	ZYG11A
20	41727087	41784225	ENSPTRG00000013528	RIMS4
7	103004900	103034224	ENSPTRG00000039142	PRKRIP1
9	96461417	96486900	ENSPTRG00000021168	XPA
10	72494949	72495508	ENSPTRG00000041808	C10orf55
6	33421263	33425195	ENSPTRG00000018028	HLA-DOA
10	72582333	72703321	ENSPTRG00000002647	VCL
12	39835431	39995146	ENSPTRG00000004907	SPATS2
2A	49093414	49157817	ENSPTRG00000011908	FOXN2
17	15876478	15885127	ENSPTRG00000009167	KRT15
4	62307487	62355870	ENSPTRG00000016098	STAP1
3	57937316	57956000	ENSPTRG00000015042	SPATA12
5	148670494	148677610	ENSPTRG00000017382	SPINK1
3	57975286	58052101	ENSPTRG00000015043	IL17RD
6	33483971	33492557	ENSPTRG00000018029	PATR-DPA1
15	48566927	48630639	ENSPTRG00000007075	GLDN
2A	49219771	49294084	ENSPTRG00000011910	KLRAQ1
1	53336186	53363903	ENSPTRG00000000747	ECHDC2
16	57830375	57857870	ENSPTRG00000008185	GOT2
9	96640124	96641852	ENSPTRG00000029193	FOXE1
20	41858820	41882148	ENSPTRG00000013529	YWHAB
5	148722608	148726085	ENSPTRG00000017383	SCGB3A2
9	96691569	96709744	ENSPTRG00000021170	C9ORF156
4	62369051	62444295	ENSPTRG00000016096	CENPC1
12	40011444	40016089	ENSPTRG00000004906	DNAJC22
7	103042319	103057465	ENSPTRG00000019537	ORAI2
17	15893240	15897931	ENSPTRG00000009166	KRT13
6	33494915	33506071	ENSPTRG00000018030	PATR-DPB1
5	148736586	148750426	ENSPTRG00000017384	C5orf46
12	40026160	40031071	ENSPTRG00000004905	C1QL4
7	103064970	103073655	ENSPTRG00000019538	ALKBH4
12	40031756	40039879	ENSPTRG00000004904	TROAP
5	149002058	149007727	ENSPTRG00000022988	SPINK14
7	103073714	103081671	ENSPTRG00000019539	LRWD1
5	149035124	149049802	ENSPTRG00000017386	SPINK6
20	41883685	41913655	ENSPTRG00000013531	PABPC1L
9	96713953	96735252	ENSPTRG00000021171	HEMGN
1	53369694	53500876	ENSPTRG00000000748	SCP2
19	12954908	12965447	ENSPTRG00000010534	FBXW9
12	40065069	40070045	ENSPTRG00000004903	PRPH
5	149100095	149117984	ENSPTRG00000034142	SPINK13
6	33582731	33612705	ENSPTRG00000018033	COL11A2
15	48667960	48840782	ENSPTRG00000007076	DMXL2
8	122088488	122114729	ENSPTRG00000020554	WDYHV1
11	63830846	63834774	ENSPTRG00000003898	CTSW
20	41916479	41934717	ENSPTRG00000013532	TOMM34
9	96772985	96805571	ENSPTRG00000021172	ANP32B
5	149144309	149147796	ENSPTRG00000017387	SPINK7
3	58080126	58082449	ENSPTRG00000015044	HESX1
16	60821437	61207202	ENSPTRG00000008186	CDH8
8	122176523	122217142	ENSPTRG00000020555	FBXO32
3	58108332	58153632	ENSPTRG00000015045	APPL1
5	149156105	149172203	ENSPTRG00000028533	SPINK9
17	15907016	15913426	ENSPTRG00000009165	KRT36
11	63834773	63839566	ENSPTRG00000003899	FIBP
4	64278250	64630900	ENSPTRG00000016095	EPHA5
5	149219871	149279467	ENSPTRG00000017388	FBXO38
17	15918454	15922798	ENSPTRG00000023885	KRT35
9	96843895	96871758	ENSPTRG00000021173	NANS
7	103081610	103087427	ENSPTRG00000019132	POLR2J
16	64170877	64348634	ENSPTRG00000008189	CDH11
12	40090359	40098669	ENSPTRG00000004902	TUBA1C
17	15932501	15940626	ENSPTRG00000009164	KRT32
19	12968543	12991380	ENSPTRG00000010535	TNPO2
7	103091647	103126038	ENSPTRG00000019540	
12	40180710	40185027	ENSPTRG00000004901	TUBA1A
20	41946002	42053751	ENSPTRG00000013533	STK4
17	15958722	15963699	ENSPTRG00000009163	KRT38
9	96872777	96908665	ENSPTRG00000021174	TRIM14
8	122322802	122329367	ENSPTRG00000020556	KLHL38
10	72703427	72734977	ENSPTRG00000024118	AP3M1
8	122357466	122414246	ENSPTRG00000023152	ANXA13
1	53511309	53695762	ENSPTRG00000000749	PODN
17	15975568	15980886	ENSPTRG00000009162	KRT37
2A	49354930	49369657	ENSPTRG00000011911	STON1
17	15989629	15995166	ENSPTRG00000032515	KRT41
2A	49390505	49453114	ENSPTRG00000039894	SALF
3	58148521	58172818	ENSPTRG00000015046	ASB14
16	65602000	65638297	ENSPTRG00000008190	CDH5
20	42066149	42074942	ENSPTRG00000013534	KCNS1
9	96913638	96983359	ENSPTRG00000021175	CORO2A
17	16003881	16007750	ENSPTRG00000009161	KRT31
11	63843442	63851766	ENSPTRG00000003901	FOSL1
10	72735094	73298250	ENSPTRG00000002649	ADK
1	53537073	53591037	ENSPTRG00000000750	SLC1A7
20	42083555	42089106	ENSPTRG00000013535	WFDC5
11	63868849	63871090	ENSPTRG00000003902	C11ORF68
20	42097232	42098271	ENSPTRG00000013536	WFDC12
1	53645213	53662952	ENSPTRG00000000751	CPT2
11	63872120	63874181	ENSPTRG00000003903	DRAP1
17	16031264	16037573	ENSPTRG00000009159	KRT33B
4	65523714	65657210	ENSPTRG00000031172	TECRL
20	42150551	42152243	ENSPTRG00000013537	PI3
3	58385339	58426570	ENSPTRG00000015049	DNAH12
8	122444953	122492336	ENSPTRG00000020560	FAM91A1
20	42182777	42202165	ENSPTRG00000013538	SEMG1
