	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)	Human_Kidney_Relative_Gene_Expression_Difference(RPKM)	Chimp_Kidney_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Kidney_Relative_Gene_Expression_Difference(RPKM)	Human_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Human_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)
IARS2	1.039800056	1.229369667	0.730830276	0.943440026	1.180464597	0.876095377	1.042947466	1.196238219	0.760814315	1.195894769	1.137931573	0.666173658	1.06318955	1.116224966	0.820585485
SYT1	0.108294614	1.8272326	1.064472786	0.743573348	1.504149829	0.752276823	0.84417656	1.020973154	1.134850286	1.100665501	0.978748976	0.920585523	0.647811629	0.993295173	1.358893198
NAV3	0.990932731	0.725554755	1.283512514	0.352864419	1.105794418	1.541341163	0.756213495	1.110416123	1.133370383	0.954742836	1.106860182	0.938396982	0.625709355	1.10754754	1.266743106
IDH3G	0.918032044	0.955517671	1.126450285	0.655552063	1.066191103	1.278256835	1.075963686	0.809871207	1.114165107	1.035532556	0.812789772	1.151677671	0.958087169	0.935364295	1.106548536
ROGDI	0.855788454	0.603007881	1.541203665	0.543370208	0.64169011	1.814939682	0.984869736	0.848445404	1.166684861	0.73984996	0.847610023	1.412540017	0.76778457	1.090008027	1.142207403
PDZD4	1.282856986	1.086446203	0.63069681	1.427796238	1.182588632	0.38961513	1.400476566	0.747975821	0.851547613	1.100958295	0.793370807	1.105670898	0.95794595	0.943681816	1.098372233
ATP2B3	0.027554001	0.050737066	2.921708933	2.924195988	0	0.075804012	0.663948579	0.934729244	1.401322177	0.938301902	0.82067406	1.241024038	0.592918066	0.839878061	1.567203873
ROCK1	0.941835444	1.14945409	0.908710466	0.929467971	1.164569857	0.905962172	0.970116769	1.103795193	0.926088038	1.061626244	1.079712426	0.85866133	1.106997723	0.960604769	0.932397508
CBFB	0.966431513	1.205888435	0.827680052	1.243529777	0.735975063	1.02049516	1.588276145	0.588235974	0.823487881	1.117672057	0.868217283	1.01411066	1.314166419	0.756237553	0.929596028
PDK3	0.797922983	0.320872361	1.881204656	0.677511641	1.008970964	1.313517395	0.585314079	1.075643498	1.339042422	1.042672943	1.011091101	0.946235956	0.651240883	1.122006853	1.226752264
HYAL2	1.626419672	0.804288642	0.569291687	1.048599709	1.31963075	0.631769541	1.044641204	1.257399148	0.697959648	1.237880159	1.126941956	0.635177885	1.409987913	0.975297029	0.614715058
HDAC4	0.793566033	1.128899464	1.077534503	0.756707876	0.995073067	1.248219057	0.628511238	0.914091615	1.457397147	0.728362117	0.941522267	1.330115616	0.627906949	0.897703191	1.47438986
RASSF1	0.99059956	0.96209374	1.0473067	0.946224401	1.12172499	0.932050609	0.971282796	0.841497688	1.187219515	0.788392232	0.867266561	1.344341207	0.836671612	0.945892183	1.217436205
FGFR3	0.832611021	0.632877833	1.534511146	0.861434299	1.015722514	1.122843187	0.380409166	1.355080963	1.264509871	1.014653843	1.062885672	0.922460486	1.370179383	0.588372949	1.041447668
IFI35	0.663240034	0.47267486	1.864085106	0.770806595	1.614458269	0.614735135	0.773350688	1.001538179	1.225111132	1.098116101	0.812108282	1.089775617	1.536659671	0.733469318	0.729871011
COASY	0.983813825	1.169417338	0.846768837	0.89655478	1.201960294	0.901484926	1.172069086	0.897870757	0.930060156	1.255535331	0.858253343	0.886211326	1.288990179	0.868842491	0.84216733
PLEKHH3	1.027720855	0.811180101	1.161099044	1.059603401	0.846871635	1.093524964	0.875598814	0.790591706	1.333809481	1.062291332	0.719072477	1.218636191	1.047309419	0.730054776	1.222635804
MEF2A	0.854566739	1.319176204	0.826257058	1.564615775	0.842430991	0.592953233	0.841626214	1.047911228	1.110462558	1.199370698	1.039981601	0.760647702	0.747404212	1.019231562	1.233364226
OTUD5	0.854774269	1.295345953	0.849879778	0.889784399	1.051351729	1.058863872	0.913367999	0.968533761	1.11809824	0.988202962	0.930211545	1.081585492	0.773926467	1.047201135	1.178872397
TFE3	0.993204455	1.120503342	0.886292203	1.064430203	0.942883939	0.992685858	0.975555204	0.995722071	1.028722725	0.952007027	0.941059078	1.106933894	0.82260044	0.989021131	1.188378429
TBC1D25	0.835775108	1.461458815	0.702766077	1.050569271	0.798610538	1.150820191	1.00732675	0.960784542	1.031888707	0.932344822	1.056783315	1.010871863	0.73796229	0.942824678	1.319213032
ACSL4	0.125304669	2.63549466	0.23920067	0.636494892	1.296639608	1.0668655	0.8944031	1.176198056	0.929398844	1.129105232	1.157565572	0.713329197	0.732889631	1.245084204	1.022026164
INPP5A	0.874000279	1.208349238	0.917650483	0.89916165	0.987684148	1.113154202	0.730256891	1.173469351	1.096273759	1.131439089	1.042355421	0.826205491	0.638485261	1.306001461	1.055513278
GPKOW	0.972604104	0.898785798	1.128610098	1.137054707	0.76987777	1.093067524	0.968318084	0.779337409	1.252344507	0.872135046	0.903829802	1.224035152	0.959511134	0.962710694	1.077778172
GRIPAP1	0.983768234	0.697061686	1.319170081	1.182413971	0.743224988	1.074361041	1.013941872	0.606234447	1.379823681	1.013074986	0.648615311	1.338309702	0.931979493	0.736802359	1.331218148
FTSJ1	1.066435814	1.384786464	0.548777722	0.936580163	1.21697225	0.846447587	0.809849615	1.022575324	1.167575061	1.008299954	1.041878464	0.949821582	0.585845102	1.162552689	1.251602209
PRR11	2.191165805	0.808834195	0	1.833961547	0.851034853	0.3150036	1.250445489	0.939221189	0.810333321	1.144444647	1.332068212	0.523487141	1.869274303	0.606897319	0.523828378
REEP1	0.586387456	0.948208732	1.465403812	2.274109714	0.44466859	0.281221697	0.588371104	0.88712493	1.524503967	0.994413107	1.028399036	0.977187857	0.620758009	1.179497376	1.199744615
ATP11A	0.67342453	1.243273998	1.083301472	0.715190294	0.772587279	1.512222427	0.573515603	1.328219998	1.098264399	0.848562016	1.217896801	0.933541183	0.969720792	0.950803248	1.07947596
POLR1A	0.344307298	1.331630567	1.324062135	0.669486365	0.978326405	1.35218723	0.58311128	0.871503514	1.545385205	0.721563687	1.004683995	1.273752318	0.573855004	0.964411647	1.461733349
LAPTM4A	0.857340466	1.051395456	1.091264078	0.888708889	1.090306018	1.020985093	0.61895607	1.065458652	1.315585278	0.758674201	1.058857699	1.1824681	0.778865993	0.877167057	1.343966951
TTC7A	1.091576359	1.157351036	0.751072605	0.75208323	1.577052533	0.670864237	1.582396835	1.031534401	0.386068764	1.181181834	1.253722094	0.565096072	1.377561023	1.153598085	0.468840892
IP6K2	1.165441337	1.353859476	0.480699188	1.116324287	1.131530326	0.752145387	0.976562257	1.273809352	0.74962839	0.958879012	1.2708842	0.770236788	0.887080283	1.224397902	0.888521815
STON1-GTF2A1L	0.631636357	1.494178569	0.874185074	0.901813128	1.470128213	0.628058659	0.654697474	1.214478205	1.130824321	1.111300896	1.461150326	0.427548778	0.813535043	1.398360193	0.788104764
SRBD1	1.184911092	1.06272604	0.752362868	1.026076097	1.446581625	0.527342278	0.985449881	1.088398296	0.926151823	0.92885467	1.101392893	0.969752438	0.875045572	1.198659609	0.926294819
KIF2A	0.715861856	0.884180449	1.399957695	0.82186612	1.120148387	1.057985493	0.780538926	0.977897511	1.241563564	1.06711183	0.910761474	1.022126696	0.868603499	0.80235402	1.329042481
RASGRP2	0.95432681	1.189003336	0.856669854	1.402116138	1.113160298	0.484723564	1.379440966	0.440668079	1.179890954	1.204137023	0.841128915	0.954734061	0.87416219	0.822340244	1.303497566
PSME4	0.249041014	1.808786348	0.942172639	0.706382886	1.244801823	1.048815291	0.733508272	1.125575334	1.140916394	0.860629842	1.288254693	0.851115465	0.7414977	1.005779567	1.252722733
IFT80	0.996444117	1.109714798	0.893841086	1.538904899	0.868437141	0.59265796	1.435648618	0.727936983	0.836414399	1.601946799	0.767789795	0.630263406	1.480578268	0.789909027	0.729512705
SIRT2	1.069206633	1.432617736	0.49817563	0.844837148	0.982213775	1.172949077	0.928193621	1.071207634	1.000598746	1.007321914	1.189238342	0.803439743	1.254785163	1.052793471	0.692421366
ERLEC1	0.632900485	1.264588946	1.102510569	0.87251392	1.065942015	1.061544065	0.751058394	1.054368674	1.194572932	1.070149725	0.905478197	1.024372077	0.713456719	0.955912501	1.33063078
PPP2R5B	0.634815028	1.081127379	1.284057593	0.903838923	1.151000597	0.94516048	1.165115399	0.967054708	0.867829893	0.971716833	1.175937998	0.852345169	0.87376375	1.248624601	0.877611649
PYGM	0.89494569	0.680219865	1.424834445	2.167132391	0.644281536	0.188586073	0.43454989	0.732517452	1.832932658	0.640500292	0.698482017	1.661017692	0.797773173	0.40083693	1.801389897
TRPC7	1.17402214	0	1.82597786	1.016771509	1.478170623	0.505057868	0.265407825	0.507968715	2.22662346	0.672463136	0.357429644	1.970107221	1.524765589	0.517737982	0.957496429
MAST4	0.411414706	1.869022365	0.719562929	0.72411971	0.928843663	1.347036628	0.514740641	1.248644945	1.236614413	1.110379719	1.169785501	0.719834779	0.659494852	1.183253333	1.157251815
GPR116	1.027936755	1.345952482	0.626110763	1.313621474	0.958608607	0.727769919	0.965258301	1.308966598	0.725775102	1.615678058	1.004210601	0.38011134	1.590221497	0.855590023	0.554188479
SDK2	0.172203864	0.241888992	2.585907145	0.19542956	1.316720157	1.487850283	0.302401819	0.353171929	2.344426252	0.804477397	0.725850327	1.469672276	0.861078091	0.797219244	1.341702665
NUP133	0.599311687	1.039596307	1.361092006	0.75037071	1.15675172	1.092877569	1.030604816	1.038794723	0.930600461	1.138600732	1.003360322	0.858038947	0.982944545	0.990212864	1.026842591
NUCKS1	0.963044832	1.114830832	0.922124336	1.039116083	1.019935457	0.94094846	1.008427646	1.010212949	0.981359404	1.040389271	0.916752555	1.042858175	1.134083417	0.833633675	1.032282908
VPS35	0.960808695	1.061164487	0.978026818	0.995970082	1.201905541	0.802124377	1.033965103	1.121826082	0.844208815	1.213385137	1.051327341	0.735287522	0.922596491	1.079942931	0.997460579
DNAJA2	0.943871882	1.194875302	0.861252816	1.115462642	1.040641581	0.843895778	0.989687001	1.083335261	0.926977738	1.188951396	1.027364579	0.783684025	0.977496961	1.008144896	1.014358143
BCL3	1.746877622	0.670410466	0.582711912	0.659353054	2.023920549	0.316726397	0.975680986	1.393712638	0.630606376	1.123409637	1.008428272	0.868162091	0.85091415	1.674640231	0.474445619
KCNAB2	0.623489346	1.735257345	0.641253309	2.11168296	0.654613053	0.233703987	0.563553103	0.893743945	1.542702953	0.977864408	1.016340443	1.005795149	0.696797537	0.993077759	1.310124704
ABCC9	0.435897226	1.616576139	0.947526635	1.136811291	1.32262129	0.540567419	0.666650526	1.33820385	0.995145624	1.478587717	0.935049534	0.586362749	1.578590873	0.845773427	0.5756357
GAL	0	0	3	0.132879181	0.140256723	2.726864096	0.214530732	0.302634607	2.482834662	1.034279243	0.806624066	1.159096691	1.651744814	0	1.348255186
FUNDC1	1.082504871	1.127150398	0.790344731	1.334374763	1.268243843	0.397381394	1.169068751	1.320513747	0.510417502	1.359871194	1.341339561	0.298789245	1.299096809	1.36945154	0.331451651
MAOB	1.195780323	1.303149974	0.501069703	0.53729514	0.71577759	1.74692727	0.54225586	0.907928706	1.549815433	0.951672078	1.125252629	0.923075293	0.915427824	1.191141476	0.8934307
RORA	0.900781364	1.760332575	0.338886061	0.883768242	1.174074334	0.942157425	0.538852254	1.424268699	1.036879047	0.741745767	1.483541312	0.774712922	0.658046343	1.034052278	1.307901378
DRD4	3	0	0	2.032880193	0.967119807	0	2.093696538	0.42866384	0.477639622	3	0	0	2.141523472	0.621875247	0.236601281
TGFBR3	0.758508145	1.5022538	0.739238054	0.928165529	1.030436048	1.041398423	0.355766034	1.074635692	1.569598274	0.876880211	1.129291933	0.993827856	0.843675815	1.13132237	1.025001816
KIAA1107	0.713550348	1.037602013	1.248847639	1.073514423	1.28923738	0.637248197	1.053353755	1.056619608	0.890026638	1.052945702	1.091932915	0.855121383	0.788229587	0.970625522	1.24114489
PLA2G10	1.750402002	0	1.249597998	0	0	3	0.982933287	0.248915051	1.768151662	0.885220614	0.410304988	1.704474398	0	1.464557675	1.535442325
ATP1B3	1.315685681	0.877962878	0.806351442	1.443029795	0.954328049	0.602642156	1.186877499	0.769908643	1.043213859	1.293738135	0.934246702	0.772015163	1.00926711	1.032410495	0.958322395
NEDD4	0.589900712	1.894120889	0.515978398	0.855496248	1.233499216	0.911004535	0.68015271	1.244110891	1.075736399	0.745537048	1.417921221	0.836541731	0.869568341	1.127470261	1.002961399
PIGB	0.725469914	1.113863883	1.160666203	0.758823515	1.132314085	1.108862399	0.756488145	1.033258503	1.210253352	0.951737466	0.98745613	1.060806404	0.95409088	1.042838861	1.003070259
MAPK6	1.382653264	1.440826306	0.17652043	1.44705994	1.471711578	0.081228482	1.593172453	1.300247629	0.106579918	1.607051733	1.311163002	0.081785265	1.357885526	1.510084904	0.132029571
GNB5	0.945118933	1.221244594	0.833636474	1.013695942	1.631363558	0.354940499	1.116038283	1.311117847	0.57284387	0.91746098	1.201349809	0.881189211	0.532105937	1.280625532	1.187268531
RAB27A	1.209289713	0.578497752	1.212212535	0.732265647	1.580210782	0.687523572	0.779728272	1.163629647	1.05664208	0.930355191	1.338703334	0.730941475	0.980787497	1.219433917	0.799778586
CECR5	1.286268229	0.777828157	0.935903613	1.198723894	0.643438397	1.157837709	1.200908089	0.850876638	0.948215273	1.261723253	0.921785048	0.816491699	1.19964362	1.023926769	0.77642961
UFD1L	0.73101319	1.246501884	1.022484926	0.914229158	1.069338601	1.016432241	0.995378298	0.769239092	1.23538261	1.112441265	0.80591454	1.081644195	1.112571032	0.813979727	1.073449241
LRP6	0.85216121	1.037656658	1.110182132	0.859840091	1.201489719	0.93867019	0.727454618	1.423909493	0.848635889	0.909547651	1.21028617	0.880166179	0.846212064	0.964322247	1.189465689
GUCY2C	1.035999292	0.407865668	1.556135041	2.550130125	0.449869875	0	0.270901067	0.458950644	2.27014829	0.397664097	0.538499633	2.06383627	0.408246055	0.26809905	2.323654895
PHRF1	0.831925751	1.102952232	1.065122017	1.029815464	1.060844911	0.909339626	0.856729528	0.864220982	1.27904949	0.726794812	1.099125281	1.174079908	0.751477003	1.083202182	1.165320815
IKBKAP	0.539138536	1.243366637	1.217494827	0.917923059	0.861151592	1.220925349	0.773973586	1.473025327	0.753001087	0.834383843	1.185629076	0.979987082	0.689316919	1.116885396	1.193797685
NUCB2	1.158129716	1.450462105	0.39140818	1.203271385	1.325800359	0.470928255	1.013436304	1.124175419	0.862388277	1.19803513	1.034024236	0.767940633	0.983422557	1.168628451	0.847948992
PFN2	0.603037033	1.407982526	0.988980441	0.948465429	1.313415449	0.738119122	0.990343761	0.990435081	1.019221158	1.106480771	1.032403373	0.861115856	0.86182759	1.068143158	1.070029252
PTPN3	0.592288769	1.961200783	0.446510448	0.828887235	1.046579407	1.124533359	0.427272178	1.565041137	1.007686685	0.77726812	0.994611197	1.228120684	0.416520465	1.161164754	1.422314781
SPTB	0.988574768	1.026096895	0.985328337	1.695832197	1.044033222	0.260134581	0.671399944	0.775347895	1.553252161	0.886530929	0.917102341	1.196366731	0.492399243	0.903465661	1.604135096
DAPP1	1.518080725	1.481919275	0	1.107353739	1.522890465	0.369755795	0	0.690338151	2.309661849	0.798798116	2.201201884	0	1.130644945	1.575803063	0.293551992
FGF10	1.508068867	1.023439818	0.468491315	0	2.556931499	0.443068501	0.336022119	0.76152471	1.90245317	0.229589626	0.707567633	2.062842741	0.193210008	0.850659236	1.956130757
SLC44A1	1.120645716	1.160141802	0.719212482	0.898827007	0.981925551	1.119247442	0.604156455	0.872118481	1.523725064	0.954008926	1.043908563	1.002082511	1.422684788	0.826101717	0.751213495
TMEM260	0.696584056	1.413072982	0.890342962	0.633782912	1.086976162	1.279240926	0.775404906	1.157125636	1.067469458	0.905202249	1.042446858	1.052350893	0.778819524	0.993142103	1.228038373
SMG6	0.660735883	1.152616803	1.186647314	0.682276041	1.063467617	1.254256342	0.84020996	1.102646459	1.057143582	0.921576761	1.098684204	0.979739035	0.883853354	0.978086459	1.138060187
EXOC5	0.660505988	1.678147547	0.661346465	0.700036565	1.386959978	0.913003457	0.788503594	1.265936412	0.945559993	1.043976149	1.256629292	0.699394559	1.058124797	1.139429842	0.802445362
FGF22	0.731030625	1.667322553	0.601646822	0.492694012	1.456140918	1.05116507	0.777646776	0.858392254	1.36396097	1.285831962	1.060638354	0.653529683	1.376309695	0.903540241	0.720150064
FSTL3	1.51130441	0.780067919	0.708627671	1.076832292	1.02978117	0.893386539	0.950205438	0.568036179	1.481758383	1.371774097	0.662296133	0.96592977	1.422105855	0.931460839	0.646433306
DGCR2	0.685430024	1.261578006	1.05299197	0.851795889	1.064872855	1.083331255	0.644804002	1.009992821	1.345203177	0.762120285	0.980664841	1.257214874	0.572982311	0.925107328	1.50191036
RNF126	1.692559824	0.471062245	0.836377931	1.445695669	0.603822432	0.950481899	1.445947481	0.598368423	0.955684096	1.427839643	0.6219648	0.950195557	1.424080908	0.729697385	0.846221707
MNT	1.158017483	0.866298012	0.975684505	1.086275144	1.061750526	0.85197433	0.860847418	1.448586757	0.690565825	0.948748556	1.073024204	0.97822724	0.690241764	1.160205455	1.149552781
ZXDC	0.827499314	1.327493056	0.84500763	0.990474614	1.03182004	0.977705346	0.821093666	1.238951382	0.939954953	0.90214243	1.23357474	0.86428283	0.838884805	0.942360548	1.218754647
JMJD6	0.931120227	1.187272886	0.881606887	0.947176987	1.231995112	0.820827901	0.873199206	1.025203353	1.101597441	0.817220241	1.112930912	1.069848847	0.739389954	1.014574272	1.246035774
POLB	1.329205574	0.565898411	1.104896015	1.118039709	1.054778644	0.827181647	1.690683946	1.029288641	0.280027413	1.068428908	0.911841545	1.019729547	1.081701144	1.018626352	0.899672504
ST6GALNAC1	0.668001632	1.591745392	0.740252976	0.156153678	2.730268963	0.11357736	1.02698749	1.834630376	0.138382134	0.98854218	1.792517343	0.218940477	1.702641329	1.193156608	0.104202063
WIPI1	1.121987599	1.428140915	0.449871487	1.181017865	1.403032272	0.415949863	1.535411849	1.129752967	0.334835184	1.254982135	1.250864721	0.494153144	1.414405709	1.135327781	0.45026651
FRMPD1	1.43806291	1.306135775	0.255801315	0.97577568	0.033375721	1.990848598	1.300931062	1.54173461	0.157334328	0.987012909	0.642976852	1.370010239	0.853525175	0.812366624	1.334108201
GBA2	1.340430798	1.102317985	0.557251216	1.222188268	0.99917566	0.778636071	1.249420318	0.957770347	0.792809335	1.161684863	1.110153948	0.728161189	1.052722317	1.08878303	0.858494654
NDST1	0.744132568	1.267110813	0.988756619	0.823900343	1.045299702	1.130799955	0.632614961	1.132579929	1.23480511	0.934742652	1.130525748	0.934731601	1.012492275	1.093545631	0.893962094
ASNS	2.686690393	0.202265717	0.111043889	1.725159335	0.977667985	0.29717268	1.411064859	1.088998845	0.499936296	1.30873429	1.005743589	0.685522121	1.152602033	1.107557806	0.739840162
AP3M2	0.71950657	1.515887098	0.764606332	1.03637882	1.4851426	0.47847858	0.583478983	1.383774811	1.032746206	0.967781685	1.153738827	0.878479487	0.744919184	1.237162921	1.017917895
CNGB1	0	0	3	2.07825718	0	0.92174282	0.188348187	0.188883517	2.622768296	2.562041825	0.132297482	0.305660693	0.452582944	0	2.547417056
ST6GALNAC2	0.970310369	2.008477145	0.021212486	0.68192073	2.195398567	0.122680702	0.139236086	1.142694172	1.718069742	0.363992725	1.511720044	1.124287232	0.560281614	0.836363745	1.603354641
PABPC1	1.434507869	1.193631532	0.371860599	1.69331118	0.973036169	0.333652651	1.469167355	1.246207617	0.284625028	1.319877772	1.323295775	0.356826453	1.226442988	1.389600976	0.383956036
TESK2	1.356030506	0.636989608	1.006979886	0.694888546	1.156573742	1.148537712	0.714667157	0.949660447	1.335672396	0.724278556	1.149359888	1.126361556	1.142099644	0.885163761	0.972736596
CFAP20	1.303931877	0.975901117	0.720167006	0.983394625	1.122090681	0.894514694	1.065180283	1.21807502	0.716744697	1.187438981	1.147371235	0.665189783	1.111224547	1.245399287	0.643376166
CSNK2A2	1.157914008	0.924179806	0.917906186	1.171845035	1.073238963	0.754916001	0.983210957	1.217533334	0.799255708	1.138951488	1.154986253	0.706062259	0.995989934	1.183680837	0.820329229
PTPN21	0.773437205	1.11302659	1.113536205	0.891778851	1.069270463	1.038950686	0.830785339	1.12629568	1.042918981	1.050808078	1.160802018	0.788389903	1.036121079	0.976030106	0.987848815
EIF2B3	1.207860183	1.173611644	0.618528173	0.958603806	1.068081494	0.9733147	0.923311229	1.064801317	1.011887454	0.99629	1.050757513	0.952952487	0.80637455	1.179075757	1.014549693
CAMK2A	1.122792276	1.306273898	0.570933826	1.274267626	0.720461416	1.005270959	0.6499879	1.035268131	1.314743968	1.110892143	1.119177883	0.769929974	0.786200977	1.073004208	1.140794815
TCOF1	0.77249955	1.604174249	0.623326201	1.347319615	0.955343482	0.697336902	1.190802523	0.841725549	0.967471929	1.143948431	1.021302332	0.834749237	0.995681631	0.987849328	1.016469041
CDC42	2.123116952	0	0.876883048	2.285748046	0.00132185	0.712930104	2.409177812	0.055198215	0.535623973	2.447438096	0.050093263	0.502468641	2.338842903	0.089663447	0.57149365
OSBPL3	0.539601876	2.329281242	0.131116882	1.412282056	1.184849051	0.402868893	0.465693348	1.399423709	1.134882943	1.334401372	1.001884117	0.663714511	1.028948514	0.805198512	1.165852974
EPHA8	0	0	3	2.242172929	0.757827071	0	0.161139965	0.253521292	2.585338743	1.397962561	1.14658855	0.455448888	0.798582321	0.778989973	1.422427706
SLC12A3	0	0.061704539	2.938295461	0.747710629	0.204467582	2.047821789	0.082659041	0.20402445	2.713316508	0.048086623	0.037210763	2.914702614	0.06582108	1.029266928	1.904911992
RAD18	1.022661763	0.969933738	1.007404499	1.143768267	1.22653738	0.629694353	0.698262322	1.277297369	1.024440309	0.803712787	1.500172934	0.696114279	0.65260393	1.467953434	0.879442636
ATP2B1	0.567157642	1.045860908	1.386981449	0.808035085	1.119659683	1.072305232	0.721673439	1.00644671	1.271879851	0.987642215	1.114368722	0.897989063	0.651249126	1.10046052	1.248290353
TRPM5	0	0	3	0.810210224	1.387060037	0.80272974	0.785501211	1.277286998	0.93721179	1.227275274	0.967584659	0.805140067	0.790577889	0.851102409	1.358319702
NCK2	0.878260497	1.144170577	0.977568926	1.036654973	1.152831494	0.810513533	1.350477486	0.90674479	0.742777724	1.005507294	0.80952456	1.184968146	0.779078822	0.890912487	1.330008692
MAP4K4	0.444638701	1.418054734	1.137306565	1.021856018	1.130866573	0.84727741	0.925203581	1.248612411	0.826184007	1.046127082	1.338417317	0.615455601	1.444469592	0.957451797	0.598078611
MGAT4A	0.690096414	1.388582818	0.921320768	0.394580475	1.10784949	1.497570035	1.059279348	1.39717822	0.543542432	0.903460246	1.352911103	0.743628651	0.712862101	1.06870486	1.218433039
RPL31	2.993249345	0.005957487	0.000793168	2.995236195	0.004204238	0.000559567	2.989108898	0.00908283	0.001808272	2.981823746	0.016608719	0.001567536	2.986267794	0.01294618	0.000786026
WDR1	1.011559982	1.125210537	0.863229481	1.309697902	0.924035493	0.766266605	0.717047563	1.119783216	1.163169221	0.932502256	0.934482052	1.133015692	0.800045601	1.08925496	1.110699439
SNX13	0.760938064	1.050369069	1.188692867	0.935528374	0.963581022	1.100890604	0.72226289	1.178978061	1.098759049	1.012161172	1.028937312	0.958901516	0.846470555	0.908343704	1.24518574
ARHGAP10	0.985625661	1.357209374	0.657164965	0.674809414	1.379457731	0.945732855	0.751852001	1.65181821	0.596329789	1.237302255	0.719024553	1.043673192	0.957853988	0.922276334	1.119869678
RPS6KA2	0.748398537	0.630511536	1.621089927	1.028044709	1.188351697	0.783603594	1.077291057	1.073226669	0.849482274	0.935607094	1.150307	0.914085906	1.065246021	0.921928976	1.012825004
ING3	0.852307362	1.081495789	1.06619685	1.067498628	0.906612412	1.02588896	1.108116912	0.880456048	1.011427039	1.007921458	1.117862458	0.874216083	0.93743369	1.065443342	0.997122968
VASH1	0.614027919	1.108601214	1.277370866	1.538426801	0.728580663	0.732992536	0.578735032	1.036930339	1.384334629	0.724371547	0.840720799	1.434907654	0.784771561	1.073844452	1.141383987
LMCD1	1.434245376	1.172155106	0.393599518	0.7422312	1.335317073	0.922451727	0.756682319	1.70735716	0.53596052	1.018084687	0.450395795	1.531519518	1.131989331	0.452851804	1.415158864
WBSCR22	0.962810887	1.368235122	0.668953991	0.828866712	1.244076933	0.927056356	1.014118328	1.121626696	0.864254976	0.940749165	1.151321656	0.907929179	0.829768035	1.180691686	0.989540278
SEL1L	0.444892081	1.622670933	0.932436985	0.770216636	1.024833132	1.204950232	0.563548438	1.424796389	1.011655173	0.904281662	1.245542042	0.850176297	0.734111261	1.163931602	1.101957137
TRIP13	1.242755692	0.242114333	1.515129975	0.678628364	0.056612756	2.264758879	0.439462057	0.276037399	2.284500544	1.242482726	0.152393319	1.605123955	0.814582853	0.290499728	1.894917419
ATP6AP1	1.025618946	0.87038524	1.103995814	0.994864101	0.971652781	1.033483118	0.875416935	1.055216005	1.06936706	0.995540216	0.977549052	1.026910733	0.752557475	1.141202794	1.106239731
TCF3	1.124815951	0.91861039	0.956573659	1.317634912	0.618766008	1.063599081	0.724385532	0.737273212	1.538341256	0.860963911	0.676789578	1.46224651	0.875856208	0.673224993	1.450918799
TRIB2	0.855241681	1.283023291	0.861735028	0.929017677	1.267900885	0.803081438	1.023257086	1.097447314	0.8792956	1.070350311	1.031758615	0.897891075	0.649956306	1.05550338	1.294540314
DAZAP1	1.057154148	1.168857475	0.773988377	0.937049403	0.943563276	1.119387321	1.016642428	0.986320221	0.997037351	1.07030268	0.962372064	0.967325256	1.134436553	0.945160259	0.920403188
MBD3	0.839581766	0.885630911	1.274787323	0.938606307	1.02244302	1.038950673	0.903644579	1.005137129	1.091218292	1.011226509	0.835059765	1.153713726	1.149407532	0.860970307	0.989622161
HLTF	0.995433026	0.911834087	1.092732888	0.729655997	1.007110715	1.263233288	0.901310388	1.250088469	0.848601144	1.127190057	1.242321957	0.630487986	0.961191246	1.116690537	0.922118218
FAM50A	1.203264791	1.483424972	0.313310238	1.267964872	1.326455615	0.405579513	1.16270897	0.991761709	0.845529321	1.118499807	1.004901832	0.876598361	1.254185217	1.101615979	0.644198804
FAM3A	1.271429252	1.244840035	0.483730713	1.100806902	1.132887529	0.766305569	1.063710993	1.06125453	0.875034477	1.20988564	0.916099205	0.874015155	1.285484871	1.133973173	0.580541956
CPSF1	0.84256767	0.842838985	1.314593345	1.034545713	0.630299612	1.335154675	0.832404313	0.62390093	1.543694758	0.626287757	0.69945493	1.674257313	0.703678321	0.7823176	1.514004078
MYO3B	0.95839547	1.468321094	0.573283436	0.482237005	1.175397981	1.342365014	0.542140385	1.228760835	1.22909878	0.719684837	1.711263278	0.569051884	0.61373984	1.956571834	0.429688326
CYBRD1	0.806413626	1.145377587	1.048208787	0.447636762	1.54079664	1.011566598	0.448449404	1.789687066	0.76186353	0.8541526	1.404997864	0.740849536	0.960416264	1.159566494	0.880017242
