	log2_hum-chimp_difference	log2_hum-rhe_monkey_difference	log2_chimp-rhe_monkey_difference
MLLT10			-4.299514286913671
ZCWPW1		-1.2868934355923125	-0.6675648633376673
ADCYAP1R1			-3.2566477942969403
FGF20		-0.5100524032160877	-0.11134906288824917
ITM2A		-10.43233417867141	-1.1500368082244175
NRD1	-3.2840193744979067	-1.5095204100370174	-1.5204983200064197
VDAC3	-1.6598900853158647	-2.2644708392189115	
PCM1	-5.741774636779792	-2.587065498348979	-2.0131228607311833
TNRC6C			-3.7275878312082127
CBFA2T2	-2.9917088848176716	-3.890966443639711	-4.584287838478765
BRINP1		-6.074891744792718	-1.4752492409298734
ITCH			-1.3891788710531945
PKD2L2			
TP53INP2	-0.8386960658499308	-6.716853020183569	
SDF4	-0.1380674286550285	-0.4339916650400784	
MYH7B			-2.079769811350507
TP73	-2.0955512176309443	-0.08078195112630043	-0.30121901472410184
TOLLIP	-1.3857655083396148		
UBE2D4			-2.390198384591318
CLUL1	1.632268215499513	1.632268215499513	-3.321928094887362
RUNX1T1		-0.9386294908958219	-0.342331471439187
CDH17	0.3838255788430685	1.1390755942932889	-0.0034645969772558946
THOC1	-2.0182917793112782	-1.3218738243860142	-1.9818514880817575
FKBP7		-2.3539564740553236	-1.1333666171655528
OSBPL6			-4.684167740196888
SLC1A3			-1.6494829246832916
XRCC5		-1.0104205024463595	-0.6446670291073179
LXN		-1.0255791726514243	0.060421975100995055
SP140		0.49813544009568567	0.8380344472462063
MKNK1	0.28973121422519077	0.436982350904983	-2.111806056459504
TNS1			-0.575863888681746
REXO1			
SAR1A			-0.839095413574394
CDC14A			-1.360934279646862
RAPGEF3			
CEACAM1		-4.070968450061524	-0.14067035755468688
SENP1		-2.7309359985978716	-1.2359932049383036
DUSP13	0.6934320897502162	0.27563299735435354	
CIC	-2.3646637822944063	-4.177225540528168	
LIPE			
PAFAH1B3	-0.8928229791487136	-0.8384676599112859	-3.050765710051523
OPHN1			
AFM	0.5917079354884739		
KIF22	-1.1375227302303523	-5.205623038416058	
SCGN	-0.672331208524651	0.8748500258072301	0.3855144450723679
LRRC16A		-3.7467192871487183	-2.319380119957078
PGM1		-6.994156290366262	-1.8348508562430912
DDX1			-3.1480659489206424
DNM2			-3.045580207834335
EPB41L2			
RIMS1	-2.622811467300489	-1.3951829344468862	-1.6536027221563838
MOXD1			
STX7			
RABL2B	-1.2873813233666414		
KEAP1			-3.75803292273118
DDX43	1.632268215499513	1.632268215499513	-3.321928094887362
PTPRH	0.9709379820220473	1.1676721949573021	-1.3719273206850189
DCT		-2.752453821081135	1.4111563875886528
SLC35C2	-2.2087128846209367		
CRYBG3			
EPHA6		-0.9593054948403209	1.2595693476624654
SCTR			
RFX3		-7.40555810912727	-1.6777403552264902
RIF1		-5.647593570010198	-1.7783003461879294
RAB21			
SLC4A4			-2.0365270140013996
SMARCA2	-5.245090973586739	-5.486516251668691	-3.3817688869327878
RDH8	-3.321928094887362		
SESN1		-3.4767001616847772	-2.1342604359636663
MID2			
COL5A3		-3.420576520120623	-1.5699495579348226
SRCAP			-4.3643412845128475
KIAA0020	-1.1804004388331117		
CHRNA3		-1.3080075886614102	0.5199921967601281
KCNN2		-4.318865989254458	-1.9520249674093184
CNOT4		-3.5222925549700084	-1.263284638558272
PSEN1			-2.5070798514328096
CPOX		-4.281166633165876	-1.1268246441658487
CLDND1			-1.6951622763808252
MOK	-0.20347494049499348	-0.33555277938818	-5.379368128428859
HSP90AA1	-0.5103109492682146	-0.43645043443092624	-2.8690231247344182
RBL1			-3.4455225136313743
DLGAP4	-6.595956988377528		-3.906718014007618
IGSF9B			
NDC80	-3.56845244960002		
AP4E1			-8.618001239771798
RSBN1			-1.5294306863519276
MAGI3	-2.85840854683652		
COL4A4			-2.6056967987267052
TCF7			
OSTM1		-2.6961879168770047	-1.7082459427431598
CDH7	-2.4431425908726525	-3.7268281579278804	
IMPG2		-1.6508583361248845	1.1382021053741043
PCNP		-3.555124096092429	-1.67680193567392
EXD2	-1.664247066115081	-4.2811924679586015	
ARG2	-1.3591214708394415	-2.0056803611666205	
MEF2C			
PTPRC			-0.33124940974266215
CACNA1S		-3.321928094887362	1.632268215499513
PKP1			-2.521154636546773
UBA5		-1.3372731863134997	-0.4148141363410329
STK17B			-2.053259442111471
CDC14B			-0.8656926037432714
LRP2		-0.3251936512923007	1.0327467498809317
JMJD4			-1.7658567034599781
DUSP12	-2.6015081229531676		
AACS			
KIAA0141	-1.734317861713285	-1.9614964414751692	-4.153006146794402
SLC13A1			
CADPS2	-3.092112209511902	-2.9831762951088256	-3.194986062964884
PCDHB4	-1.3257025018719961		
PCDHA6	-3.163203598984386	-2.714939546813744	-2.829534562764908
PCDHGA2		-3.590015734589996	-2.167834786212417
HSPB11	-0.5756593516238904	-0.6289229685392365	-3.723954247268974
PHLPP1			-1.965963296760568
ATP8B1	-1.5472491152514225	-0.15454041788384376	-0.6076679362608215
IL12RB2		-3.321928094887362	1.632268215499513
SMARCD3	-3.720329687507196	-4.856994407623822	-4.092057016715767
WDR70		-0.9950518006650132	-0.2234829277115463
FYB			-0.41144094700404
MPP4			
STRADB	-2.1828225776473467		
BZW1			-1.49700294716311
PGR		-0.6837453051032945	-0.03457049404531159
C1QTNF3	-0.7073435087246425	0.4288284367234685	-0.26241160482825987
ME2		-0.5913859651423038	-0.3094704594369622
C5orf22	-3.61383615881504		-8.45931904819431
CCNT2			-1.5118436805852058
FAM135A	-4.769300865511651		
COL19A1		-0.5997411255751142	0.4255387848225516
EPB41L3			-2.422383995726878
COBLL1			-0.1698872140259313
DLG3			
KCNK2			0.9094412539117858
SERTAD4			-0.5910439807906127
TRAF5			-9.460040662805909
MRPL22		-1.3887644578780387	-0.4627018503332606
GEMIN5			-7.575615661337605
OPRK1			1.1540568495983623
NFE2L1			
SEMA5B	-0.24053123075011104	-1.9967544908295183	
GSK3B			-1.3796750619904783
ITGB5			
ERC1			-2.9905293021885426
XPO1	-2.7682946820884937	-1.2675378681035558	-1.4399100649053143
RNF13		-5.781669591830056	-1.1280606491800311
TRPM3		-3.6762420003443688	-0.41876117325843715
PALB2	-1.7756201577138586	-0.8277088813530779	-1.4291308066806165
DOPEY1		-3.775832934727473	-1.5005845134560047
LYRM2		-2.032718712400032	0.15421054669927656
BCKDHB	-7.5946475022985425		
KAT6A			-1.6724337923571586
ZCCHC6			
ULK2		-2.422851843536924	-1.7245816276309573
TNPO1			-2.0825987492406863
PLOD1	-1.9370107038624689	-0.22068527872378133	-0.5207679641221515
P2RX5	-0.7584952379235762		
ITGAE	-1.4113322421367576		
DIS3		-1.1708553868511342	-0.10560751275025579
PIBF1		-0.9701845163342108	-0.7083699868366937
TDRD3	-3.210938073947409		
PDS5B			-2.699201223382332
OXCT1	-3.0450649904033082		
RRAGB	-2.980335351406865	-0.7579097572108049	-0.82460439380619
EPYC		-3.321928094887362	1.632268215499513
CYLD			-1.5671723622080032
SLC27A5	-0.9315222183277602	-2.510712143095361	
ZNF324			-0.2852203797559174
ZNF446		-1.8834674365976563	-1.131519093645706
ZNF264		-3.3363074334102287	-0.9765460162203574
RPS5	-1.7417390880383825	-0.8657286650115761	-1.5155621754521806
FAT1			-6.050903692636194
YTHDC1			-2.1130898634561817
CHMP2B	-1.950099287363393		
SMAP2	-3.3598150796531616	-4.244211672751683	-4.175031642926518
PPIE	-1.4429749073460374	-0.347663147945907	-0.9488425968206481
ZMPSTE24			
STARD7			-2.2779082090568865
NOA1	-1.6295201594097721		
REST			-2.8882471197926938
HAL			1.0220871618541854
SSH1			
GSTP1	-2.5485776168872345	-3.2987336423553213	-5.025747044775917
APLP2		-4.38615319800346	-1.7457546199794252
KIAA1467			
SLCO1A2			
WBP11		-3.6614545065609994	-1.6480131817530514
EIF3I		-1.248719524839702	-0.6607130467793362
NKAIN1	-6.697056310751951		-4.720175649877105
COL16A1	-2.604554802417548	0.05454795685325413	-0.0378358882531594
TXLNA			
APOB			-0.2866426219286505
NCOA1		-4.466803528678571	-1.1012779328366986
AGBL5	-2.3402346789052775	-1.3218842027644284	-1.7248309624247047
EFR3B			
KIF3C			
RAB10		-5.277683612856982	-1.0945685599742276
GCKR	-0.5383844902670597	0.30240940812643186	-0.6333879751001518
HADHA	-9.408973369905304	-0.8825804030524979	-0.6417716058282351
MAPRE3			-4.88969362018313
CAD		-3.9037608824224086	-2.555547074713874
CD59	-3.802937118935964		
CD82			
BCORL1			-2.4239615556473257
ATRX			-4.162517339703729
TAF9	-3.2056646236699597	-2.094128197100833	-2.14677297901387
FCN1	0.8770199922024695	0.9065716536275136	-2.85717872885829
MYNN		-3.466584086117143	-1.6865764272961912
MECOM		-1.7842562666323036	-0.6355422155908254
PREP		-3.868071387253912	-1.764068107586489
HACE1	-3.228182722660736	-1.0654670353220403	-1.0858817331896464
SEH1L			-2.7072677878419245
WDR47		-7.443169463434803	-2.9154060136994455
WDFY1		-5.069767746431995	-1.7458320301614674
OVGP1		-1.1691497142071106	0.8953247394831452
SLC25A24			-2.195445317502111
MAP3K4	-3.0623742855128175		
PILRA	0.2815962999551538	0.8934711627893014	-0.4303121857214894
IGSF9			
ABCB1		-1.9039241950754033	-0.45352616956695835
ZNF213	-2.447056560402323		
AKR1B1	-0.5258547747574724	-0.405842746807084	-2.6416237879441877
CPNE3		-1.7515313657394502	-0.23795033223310927
RRN3		-3.9273195115790664	-1.2461276464210758
CTTN		-2.407286930064271	-1.5619515198238396
WNT11	-1.3528090705202154	-2.5672560103591477	
MTIF2	-2.054341713432735		
DDHD2			-2.263132741915918
TTC39A			
EPS15		-1.9003377064340967	-0.6515711637743438
ORC1			-1.5046507489718968
MGST2	-9.38090609521364	-1.51395699718054	-1.1563389547550438
CHERP			-2.2630310551016506
ATG16L1	-4.689031523019726	-1.8249418619198883	-1.541678500980423
USP40	-1.3666147936244069	-4.111362867581548	
POMGNT1	-2.6420218445375134		
RAD54L	-4.6836362943781795	-1.262724800261421	-1.065388495610134
MAST2			-3.2012119750270207
DNAJA1	-1.1225924596302634	-2.57045332201892	
B4GALT1		-0.21905914277746777	-0.028835555862155984
CHMP5		-2.2839665077711033	-1.5731637770567621
NFX1		-1.4981872387162838	-0.6786731945475094
AQP6			-0.712509706016134
DIMT1		-2.475252465320535	-1.2708955333625076
IPO11			-1.7438045279813874
FOLH1	-0.2948286793806167		
EIF2AK1		-0.5627013155978133	0.251596893543297
NME8		-0.49205827967162835	1.3155604441804232
EPDR1	-6.397123886701472	-0.7036503898747923	-0.5101458432387052
SNX10			-6.399242366168169
SEPHS1	-2.4337142988281992	-1.1071501704897388	-1.399266710783313
MRPL28	-1.5206402965019434	-1.3333513052483645	-2.7532721202809367
HBQ1	1.632268215499513	1.632268215499513	-3.321928094887362
ITPKC			
CEACAM6	-1.8321426830627474		
FAT2	-2.1619206779797655	-1.8570413611938248	-2.7123317687617203
RBM22	-4.4508857849675625	-2.4906543924875417	-2.10655418653833
TMED2	-1.6424194979077489		
ERO1LB			-3.0885362035710306
ZFAND6	-3.990316037493484		
TXLNG		-2.9719705744410345	-1.5811174629923228
PPEF1	-0.6812021959181611		
LAT2	0.8711105713540097	-0.8412992028369964	
HUWE1			-6.409467754618258
ZW10			-4.747249514632031
ALG9		-2.4035166867763516	-1.0839850453403592
MYBPC2			
NOX4	0.7120516663371921	-2.504189261539764	
MTMR2		-5.394437942066399	-1.2614188995756035
HSD17B14		-0.25258326201688613	0.8916980854862018
TRIP6			-2.205976672790294
ACHE	-4.879241899888019		
FTL	-1.598312212527044	0.6341172894127468	0.4024217731049605
SRRT	-1.9129955160308942	-11.286237211989196	
BAX	-1.6971125400592355	-1.9726517164590076	-4.4303046692594314
NLK	-1.189856993858567		
PIGS			-6.903347095020309
ADAMTS2	-3.0559357486925256		
ATXN7L3			-5.293849594224739
PGS1	-3.2341296604587866	-4.502215320371253	-4.723500168007631
PSMC5	-2.3367169490763198		
UIMC1	-1.5460899590417425	-1.8093900126666635	-4.543731477285171
MMP2			0.6047890578703521
MT3	-1.237158780119216	-0.7117336724752023	-1.804003892797731
LPCAT2			-0.45327548163287545
GNAO1			-2.1128603371348884
OGFOD1	-1.7314603605774093	-1.0193946757643972	-1.775088795133773
SH3BP2		-1.6768204722850548	-0.697417637738611
NOP14			-1.9380951314266341
ADD1		-4.459544828562933	-1.6621140455835453
L2HGDH		-0.9586024759766844	-0.5296472667311282
TXNDC16		-2.2660205946641288	-0.5904370019028744
C14orf166	-3.2612340955608787		
NID2	-0.3599246972039662	0.12860277693935213	-1.272195709757121
GMCL1		-2.3256786398951355	-1.260079951283827
SF3B2	-3.1329159394880817	-1.0999955639382737	-1.1439476783958868
KLHL42			-2.0676334643826686
GNAS	-3.6243889591857217	-1.9636403428893456	-1.8609554126394119
DNM1L	-3.630451415380548	-1.862000688646553	-1.7644065514604175
PTHLH			-0.7181702995228084
PHACTR3		-3.476641859368917	-1.8234581417525721
ERGIC2			
TFAP2C		-3.0092572241020767	1.1022979740410206
AURKA			-1.1319151922307442
CASS4	-0.09617790708477028	0.7999474414129968	-0.14316634154665567
PIR	-1.560786248546764		
AAMDC			
RFX2			
METTL2A	-6.8039320904421805		
SULT2B1			0.7588140282657726
ALG6	-10.403746168020854		
CNOT3	-3.1707695059532637		
GP6		0.02246441393046525	0.8618450612791457
PTPN4			-2.273936279461985
DDX18			
KHSRP	-4.536809484920887	-2.8909250993055213	-2.3828053241472897
GNA11	-0.8852807202352171	-1.1085363723476802	-5.481509790335117
ASAP3			-0.885394316709422
EDEM2	-2.9378136028239177	-5.519961538283636	
DNMT3B	-4.4444927844094195		
REM1	-0.11350582136297532	0.18124646973043826	-1.6918769791091768
TPX2			
PDRG1	-1.4847647385582117		
EPB41L1			
SLC15A1	-3.321928094887362		
DOCK9			
ANKRD10	-2.04397435335261	-8.846227416395262	
TGDS		-1.1794596880512367	-0.2909420314433796
DOCK3			-2.18180998906958
C3orf18	-1.2586018644160197		
COQ9	-2.2369968526818327		
KIF9	-1.0202460729420024	-1.7681569555541259	
ARHGAP28		-4.064169681093837	1.2701072060948317
CRLS1	-2.944660372216695	-1.2705689238913216	-1.3785381101921383
PPP1R13B	-2.6281167757122463	-2.192793365137753	-2.6714171453143605
ATRN			-3.4739679790562756
SMOX		-2.441438286010082	-0.729311867945186
SIGLEC1	-3.333911471465552		
FKBP1A	0.5422406861105948	1.0790728119456119	-0.40269214144602977
NSFL1C	-2.8452212578062173	-2.7681884617303334	-3.2158181999838598
SLC4A11		0.31809547698843543	0.696589758638725
C20orf194	-3.8624875083511117	-5.036732726433251	-4.01825944935895
EBF4			
CPXM1			-2.1473889631049254
MAVS			-1.3280328324327944
LZTS3	-2.1103653593156273	-1.036992479521351	-1.4910481287469504
F11		-0.5063624300982498	1.319620688157651
XRN2		-2.4223539566869503	-1.5543186350794855
TESC	-1.6200695847436195		
SNX5		-1.4029409257207175	-0.8425021852443497
RPL6	0.7907096182254156	0.9160633050326937	-1.9599680564491095
MAPKAPK5		-2.4381059659558226	-0.4089958663350963
P2RX7		-0.8166043268162307	0.5664799709497261
ESF1			-2.5997762429584723
RBBP9		-3.122768439319579	-0.6096630367063484
ANAPC5	-1.93095654949713	-1.144508744565298	-1.78543518560286
SLC23A2		-4.155253640103593	-1.4669035157105619
SLC8B1		-1.4746628437095575	-0.6592448792182233
TMEM230	-0.8773965795867504	-2.585898546891475	
DZANK1	-4.504353308785542		
KDM2B	-3.4665214099302233	-2.452578659413551	-2.3791662091002106
CFAP61	-6.222960509019499	-0.7911661281386728	-0.5896822963032372
LHX5			
TASP1	-3.9015622748164076		
OAS1		-3.238679464899478	1.3115299836198977
GCN1L1		-6.675428678681734	-2.6478048595748964
RPLP0			
PXN			
RPH3A	-0.4514470531370389		
KIF16B			
TRMT6		-1.1833048209286023	0.019570151960963657
CHGB	-1.264541655840884	-0.5208705412685606	-1.3931993510289997
PEBP1		-2.9492212022082716	-1.733942507285345
TBX5	1.1842490896752795	1.4255803785207253	-0.9607925936180807
BRAP			-1.9489897499900253
ERP29	-4.613135037943796	-1.7706459896967672	-1.5054653004537315
NOS1			
FUS	-1.7075622836160365	-2.899380127881266	
IGBP1	-0.5834723558772165	-4.954938633055288	
FXYD5		-1.1792617726708625	0.6861130627028814
GRAMD1A	-2.45931520742952		
FXYD3	1.632268215499513	1.632268215499513	-3.321928094887362
HEPH			
CDIP1	-2.0661028865762163		
CMTM1	0.5733635937608272	0.9407835655998061	-0.9116363815762232
KCNH4			
GANAB			-2.690136224643474
GMIP			0.02740319026752715
RBM41			
BIRC5		-2.9146201769586564	-0.7001031592517246
LAG3		0.10046529477226333	0.5738278693928865
MLF2	-2.7584673184339565	-3.458089718009655	-4.532401149556337
OTUB2			
DDX24		-8.701566367602727	-1.936483917023535
ZBTB25	-2.2963352296254183	-1.0737892163918352	-1.4286046601233309
NECAP1		-1.5414936173780847	-1.0327907416286213
ARHGAP4	0.5830983284792822	-0.7492689067231065	
ANKRD24	-1.2736080786768034		
DHX32		-2.6117912723839836	-1.3784102627643366
RCOR1			-1.0664637346454855
GPATCH2L			-1.3064174068845007
LTBP4	-1.3069086840623951		
BLVRB			
SLC9A1	-1.4778306121711549		
SPTLC1		-1.5432532052956853	-0.09629916747713697
PAPOLA			-4.172310124656134
CCNK			-1.5537458349846838
PCBP4			
RGS1	0.30682931925700213	0.15712305127328077	
YPEL3	-2.54577048640086		
MRPS33			
NDUFB2	-1.2152263078981458	-1.9465299257457596	
NUDC	-2.2354887039917157	-1.4699327286785582	-2.0078126738966873
MAEA		-2.5114146842710987	-1.7158078576783862
ICAM1			-0.6187793717276575
STRN4			
IRAK3			
LYZ			
SI	-3.321928094887362		
MUL1	-4.308811199799516		
TFAP4	-8.71948310116125	-0.6183951099756626	-0.41691840478231273
PDCD7	-2.9218070441816817		
SPG21	-1.321136133069823		
DNAJB11	-0.9302142810685217	0.8578935915364462	0.4726019393490398
P3H2			-2.7795653907551863
THPO			
CHRD	-5.239531640292189	-1.294913200230715	-1.0556173737785155
FLT3LG			
RAB11FIP3	-2.5768533988588582	-2.458318882608979	-3.128441880646836
GNPTG	-0.6121273193896127	-0.038290878806666206	-1.2529938358555828
ZNF268	0.13246509303618442	-0.23346244093343693	
GOLGA3	-3.847482766737428		
PABPC4		-1.4937408227420135	-1.094430138966491
CD209		0.49326001361803207	0.8418748876021923
CERS4	-3.671680506916391	-2.9466937215765676	-2.7251536902554836
MCOLN1	-1.8664202364780533		
USP48		-1.4976069831499994	-0.8680062248677002
EFNB1			
PDPR	-1.0400224876591466	-1.3012583053613584	-5.683919906934502
AARS	-4.7265517156750505		
GLG1		-2.449886135479488	-0.6911222860758062
KIF4A	-0.10174159324703895	-0.6225319391831117	
TNRC6A			
PLEKHG2	-0.9187843819608448		
DLL3	0.15062815677021324	0.21371911807139976	-2.7406138424551085
NAT14	-3.2148351360073404	-3.7139653075785644	-3.867758550718953
PITPNM2			
EXOC1		-6.794963732672383	-0.8414352400300128
RBM27		-6.022100394655874	-1.2149796543701659
OSBPL8		-1.9780375818511267	-0.23151437533723712
DTX2	-0.02572771109069678		
NLRC4		-0.7993506388330411	1.0032896686989021
PUS7	-4.79942658251348	-1.315858020054018	-1.1022935456299776
LAMB4	0.8398915835110699	0.7824613120889342	-5.0518293122522335
NRCAM	-5.577343352028948		-3.8744097227380028
LAMB1	0.6092774185983347	0.9574983199989453	-0.9533144369509515
SLC26A4			-7.696780244439496
SLC26A3		-1.12316500749942	1.0378042099780813
DLD	-3.4335556981955153	-1.8219779438808335	-1.784489831579801
WDR7			-6.403107905793284
TXNL1			
ABCC6	0.3459107129671874	0.5753881198984906	-1.6478053431237747
CMTM6			
ITGA6			-3.7449569013690667
RAPGEF4	-5.148605440586343		
pk			-1.417268568343714
SMPX			
FH	0.15604191222290958	-0.47176621213805786	
SEL1L3	-2.5091227290679705		
TF			-0.8824317000404324
CDV3		-2.4193577942142963	-1.2148007286508404
MYO15A	-0.6598282314301334	-0.6715990446993508	-3.398104980838707
ALKBH5	-3.054214970055915		
APOH		-2.1853981573299914	1.5753841801422808
NLRP1	-4.2727020850461885	0.07210338774719012	0.1368643452496856
PITPNM3	-1.888873720020907		
SPAG7	-2.8676284109924226	-0.5778785986197362	-0.6598675135637357
ORC6		-3.401943814417934	0.5621688226225459
ZFHX4			0.1414891711179497
SLC17A6			-1.2908101318577916
ZC3HC1			
ESR1			0.5132021124718545
RGS17	-0.7814997610078707	-2.0256301885760606	
ANGPT2	-5.547027199840002		
TMEM101	-11.305618593902341		
CD200	-4.257432676739855		
CCDC80		-3.4045269628004373	-0.6219450293170612
CMA1		-3.321928094887362	1.632268215499513
PSME1	-3.622880813251947	-2.2140765509396436	-2.0932458678445274
PPP2R3C	-1.994220251588412	-2.1250148194490595	-3.6758559118088296
HAUS4	-1.660875114227719	-0.13150273229392032	-0.5215296403131009
JPH4			
MYH7	-3.2616753085322303		
CEBPE	-2.5922007756840446		
SLC7A8			
OSGEP		-0.2415849489841628	-0.07540982376858157
SLC22A17	-3.6227311652926257		
RNF31	-4.7350647140978905		
SCFD1		-2.2381403825395374	-1.2305647649437068
G2E3		-1.3879513176967122	-0.2038752061700744
HECTD1			-3.170535134896974
HNRNPC		-0.5281115729653073	0.28392884331493473
RPGRIP1	1.1629062493967026	0.8755458189551526	
SUPT16H	-5.077272166786494	-1.3103118103125957	-1.0782179973430939
TOX4			
GEMIN2			-2.025124142874784
TGM1	-2.3149240510934956	0.11881284604846291	-0.0219982188545404
TINF2	-2.009615636781492	-2.4543176759915686	-4.87304653206946
SEMA6A		-2.793820981590443	-0.7683104521260894
TRPM7	-4.211157647632322		
TYRO3	-1.2997958051036265	-1.493865130665234	-4.354719743455972
WDR76	-6.388649800067974		
CAPN3		-0.646482216194238	0.7450957378356756
SNAP23		-3.122701293557182	-1.7044398138067292
TBX15	-1.0685449677194678		
PHGDH			-0.8963789858190743
COL9A3	-0.18823771835705536		
EZR		-1.3926392315769824	0.16749989549426908
MYL6	-4.878075883328851	0.6026745669100813	0.6640488965071938
AGO1			
TEKT2			-0.03702726780447252
CLSPN		-0.4530484721316727	0.014359431652529845
RFFL			-3.5599904101206405
UNC13D	-2.7275426858245995	-0.15286754944086406	-0.2370509099861231
MFSD11	-3.1203356598959284		
DPYSL2		-2.7183329781277648	-1.1088628157106966
TGFB2			
GPATCH2			-2.722628075741304
NUP50	-7.867391746329391		
CDC45			-1.994063174655086
COMT		-1.5809696253734589	-0.9434552594083048
XXbac-B461K10.4			
VNN3	1.632268215499513	1.632268215499513	-3.321928094887362
ECHDC1	-9.383076978334932		
LRRFIP2	-3.30797262079833	-1.5466968560171357	-1.5507995234182126
SEC22C		-1.0421519137032142	0.07071459334477372
XYLB			-1.6392747654861677
HDAC6	-1.631632318889879	-0.8576647814240601	-1.6033046681735645
KRT31	1.6286974638983134	1.6304839444250836	-3.2676826026892636
CDC6		-0.32781387019825775	0.4300539755439669
UPRT		-6.543581475222177	-0.9462619826548069
CDC23			-1.6945488115755136
AAAS		-1.4683354196742167	-0.889611040469922
CBX5			-2.30418840613636
FMO2		-0.7426978845203214	0.4218031999812854
SUCO			-2.249996223557605
MSH2		-1.5951795810717537	-1.2039348734948776
MAP3K1			
DHPS	-0.4039047788965834	-0.7423653004337573	
HOOK2	-1.0890123071917117	0.7445011817186337	0.3843944677859673
NXPE1		-0.054432274400500115	1.1615824658956153
ARCN1			-2.5131150511840845
EPB41L4B			
TMEM38B			-1.602988246147535
PSMD5		-1.888895703999191	-0.9651280555724079
PTGS1	-4.426311973858481		
NUP188	-11.060902829251008		
CRAT		-2.1853794431732037	-1.279028922774061
SH2D3C			-3.824129080425156
NANS	-0.6929625600940941	-1.8581228677537267	
TBC1D2	-0.4991794236161299	-2.492706987155897	
DFNB31			-1.8343851817255419
PDE6C	0.8441239050998037	0.19771002026452583	
CWF19L1		-2.2374364354241045	-1.3274046850797658
SEMA4G			-1.600342371508328
BTAF1			-2.8914365236772888
IKZF5		-3.9078178044337726	-0.8609517421730977
BLNK			0.027464129271864972
TLL2			
CYP26A1			-0.9482744858690305
TDRD1	-5.734211592806289		
SORBS1		-2.00077171275645	-0.9687584684718459
CRTAC1	-0.5429801453422106	-2.6142638309947057	
BAMBI	-1.7989271916309992	-0.7034466025447835	-1.2286547862332216
MYO3A		-2.9843096127977433	1.4673541143309288
WAC		-6.67198020467771	-2.334985140447723
CREM	-1.747617430724439	-2.107913836261617	-4.870321688323603
NUBP2	-2.437317987899655	-2.0454539982794064	-2.665480684115614
SMIM24	1.632268215499513	1.632268215499513	-3.321928094887362
HIVEP1			
TREM2			-2.595468731227205
CRISP3		-3.321928094887362	1.632268215499513
FKBP5			0.1931113038878802
SRPK1	-3.2812032123597175		
BRPF3	-2.6263531408885807	-3.156160436232069	-4.315499140334138
MRPS18A			-4.696174255098354
PGC	-2.0000654524468358	-0.031510304176133264	-0.2715885997494131
TMEM14A		-3.7980703386713155	-2.137846466725166
EFHC1	-1.0906302587908738	-1.5801895624655329	
HSP90AB1	-1.1022880812704556	-2.3072542963047993	
CDC5L			
ITPR3			
ZNF184	-4.1515457842923125		
DSP			
SIRT1			-1.4527696007759394
HNRNPH3	-2.702375468985373	-3.491603572905085	-4.8256438392086
IFT74			-3.155620896429767
JAK2		-2.355981329113417	-1.528422231685757
IL12RB1		0.21153468167136008	1.0300398963902333
ABL1		-3.465821460628471	-0.28395906246452934
ACOT7	-0.9662418909570075	-5.221029429993054	
SH3GLB1			-0.9978374213690692
CDC7		-1.2018807658954338	-0.8245154364139875
SYDE2			-0.6764158504154483
PCSK5			
SCD		-1.1758555521805452	-0.20686098683796944
TMED1	-4.345315985961787		
ABLIM1		-1.5955755352235486	-1.0169913242653557
ERMP1	-4.3348898958435145		
RAB18		-2.826786503650675	-1.268582854332618
NRP1	-5.758379726521038		
PRTFDC1			-2.9166300004200987
PALMD		-0.5409525431578063	0.3752464977399125
TSPAN15	-3.2355533952533864		
H2AFY2	-1.277239733497856	-0.9701028533809416	-2.3372619753230923
MAST3			
MZF1	-0.9591824118670295	-0.36755854447582537	-1.4709496890415774
OCEL1			
MYO9B	-5.834810271997684	-1.2543853721400688	-0.9952423884872561
KCNK6			
CATSPERG	-1.728610150802127	-0.734289578389762	-1.3241968934280839
PSMD8	-1.4302496113867833	-0.9385071935492028	-1.995932657924494
FBXL19	-2.062333263797716		
STX1B			-2.9830438286562666
HSD3B7	-3.1865977592421446		
SETD1A			-5.642226208434362
BCL7C	-0.7627048188856387	-0.7040697881462283	-3.00638661941021
EFNA2	-2.8521448705055503		
CIRBP	-0.10660364516847617	0.0223863821243566	-2.41992329216549
ATP5D	-2.0668562733295985		
C19orf26	-0.8416363015568402		
IGFALS		-1.2691711046726775	0.6668637228438115
HNRNPM	-7.562923023709862		
MARCH2	-1.1199802017672527		
NDUFB7	-1.5201382477182037	-4.337212375752079	
TECR	0.24757297296390873		
TIMM13	-0.9209073754125782	-0.9599062040345666	-3.540969434009736
CDC34	-2.4577398319665766	-1.2730773451516864	-1.5918546474582889
MTAP			-2.0836008739859526
MISP		-3.321928094887362	1.632268215499513
CEP170B		-0.9961687538812256	-0.2575917788042905
POLR2E	-3.749039722545399	-2.4966144285584546	-2.3017488643630872
POLRMT	-0.2971004161801022	-3.5535005744349997	
HCN2	-0.18863111096419605	-0.5686214879623663	
CDHR5		-1.4401300444269602	1.1661389919591232
IZUMO4		0.36860792576148366	0.5692583532110317
RASSF7	-0.5465999365691258	0.4007066735158224	-0.44315828365213267
GADD45B	0.3572051294177185	0.2155616314905657	
PALM	-2.9401140770986918		
MADCAM1	1.1879689538901044	1.1398423125992547	-5.307479010836865
MKNK2	-2.3135826745629235	-1.3989865142403224	-1.846660772577417
